"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00416499","1976","31.45389","-100.49333","598.6","O C FISHER DAM, TX US","    994.2","","     994.2","0","        68","0","        43","0","         6","0","        2","","         2","0","         0","0","        71","0","         3","0","       260","0","        69","0","  -11.7","0,0109,+","    76"," ,0,1113, ","    51"," ,0,1113, ","  47.0"," ,0,1029, ","   37.2","0,0813,+","-0.6","0,1020","-5.0","0,1113","-5.0","0,1113","-9.4","0,1114","-9.4","0,1114","-0.6","0,0316","-3.9","0,0314","-7.2","0,0128","-7.2","0,0128","-11.7","0,0109","","","","","","","    587.2"," ,0","       76"," ,0","     16.97","0","     24.35","0","      9.59","0","",""
"USC00416499","1977","31.45389","-100.49333","598.6","O C FISHER DAM, TX US","   1470.1","","    1470.1","0","        48","0","        29","0","         4","0","        0","","         0","0","         0","0","        61","0","         3","0","       263","0","       121","0","  -11.7","0,0110, ","     0"," ,0,1231,+","     5"," ,0,0311, ","  47.0"," ,0,0828, ","   41.1","0,0824, ","-4.4","0,1110","-4.4","0,1110","-4.4","0,1110","-6.7","0,1221","","","-0.6","0,0307","-2.2","0,0306","-4.4","0,0227","-7.8","0,0130","-9.4","0,0118","    1679.0","0","    1679.0","0","","","    411.1"," ,0","        5"," ,0","     18.56","0","     25.93","0","     11.20","0","",""
"USC00416499","1978","31.45389","-100.49333","598.6","O C FISHER DAM, TX US","   1425.6","","    1425.6","0","        63","0","        30","0","         4","0","        2","","         2","0","         0","0","        70","0","         6","0","       246","0","       108","0","  -11.7","0,1209, ","   102"," ,0,0122, ","    89"," ,0,0122, ","  43.9"," ,0,0503, ","   40.6","0,0718,+","-1.1","0,1128","-3.9","0,1204","-6.7","0,1208","-6.7","0,1208","-11.7","0,1209","-0.6","0,0316","-3.3","0,0309","-6.1","0,0305","-6.7","0,0304","-8.9","0,0218","    1496.3","3","    1496.3","0","","","    441.2"," ,0","      127"," ,0","     17.71","0","     24.52","0","     10.89","0","     49188","0"
"USC00416499","1979","31.45389","-100.49333","598.6","O C FISHER DAM, TX US","","","","","        61","0","        33","0","         2","0","        0","","         0","0","","","","","         7","0","       248","0","       113","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  26.4"," ,0,0205, ","   37.2","0,1009,+","","","","","","","","","","","","","","","","","","","","","","","","","","","    378.7"," ,0","        0"," ,0","","","     24.53","0","","","     50166","0"
"USC00416499","1980","31.45389","-100.49333","598.6","O C FISHER DAM, TX US","   1418.1","","    1418.1","0","        63","0","        40","0","         9","0","","","","","         0","0","        66","0","         3","0","       258","0","       110","0","  -12.8","0,0302, ","","","",""," 142.7"," ,0,0910, ","   41.7","0,0629, ","-1.1","0,1029","-3.9","0,1118","-7.2","0,1226","-7.2","0,1226","","","0.0","0,0413","-3.3","0,0318","-10.0","0,0303","-10.0","0,0303","-10.0","0,0303","","","","","","","    737.2"," ,0","","","     18.17","0","     25.17","0","     11.16","0","     46015","0"
"USC00416499","1981","31.45389","-100.49333","598.6","O C FISHER DAM, TX US","   1256.1","","    1256.1","0","        56","0","        40","0","        10","0","        2","","         0","0","         0","0","        39","0","         1","0","       250","0","        95","0","  -12.8","0,0211, ","    51"," ,0,0118, ","     0"," ,0,1231,+"," 135.4"," ,0,1013, ","   38.3","0,0725,+","-2.8","0,1110","-2.8","0,1110","-8.9","0,1218","-8.9","0,1218","-8.9","0,1218","0.0","0,0319","-2.8","0,0213","-12.2","0,0212","-12.2","0,0212","-12.2","0,0212","    1378.8","8","    1378.8","0","","","    813.0"," ,0","        0"," ,0","     18.19","0","     24.94","0","     11.45","0","     38567","0"
"USC00416499","1982","31.45389","-100.49333","598.6","O C FISHER DAM, TX US","   1295.3","","    1295.3","0","        62","0","        38","0","         6","0","","","         2","0","         0","0","        60","0","         6","0","       262","0","       106","0","  -15.6","0,0111, ","","","   102"," ,0,0114, ","  50.8"," ,0,0612, ","   38.3","0,0828, ","-3.3","0,1104","-3.3","0,1104","-4.4","0,1229","","","","","-1.1","0,0308","-3.3","0,0307","-4.4","0,0211","-10.0","0,0207","-10.0","0,0207","    1374.9","9","    1374.9","0","","","    558.7"," ,0","      153"," ,0","     17.84","0","     24.87","0","     10.82","0","     46017","0"
"USC00416499","1983","31.45389","-100.49333","598.6","O C FISHER DAM, TX US","   1325.7","","    1325.7","0","        66","0","        34","0","         5","0","","","","","         0","0","        58","0","         9","0","       253","0","       111","0","  -15.6","0,1223, ","","","","","  58.4"," ,0,1020, ","   38.9","0,0628, ","-3.3","0,1127","-3.3","0,1127","-6.1","0,1218","-10.0","0,1219","-10.0","0,1219","-1.1","0,0409","-3.3","0,0321","-5.0","0,0203","-6.7","0,0103","","","    1471.1","1","    1471.1","0","","","    466.7"," ,0","","","     17.64","0","     24.84","0","     10.44","0","     48314","0"
"USC00416499","1984","31.45389","-100.49333","598.6","O C FISHER DAM, TX US","   1280.2","","    1280.2","0","        65","0","        36","0","         4","0","","","         0","0","         0","0","        54","0","         3","0","       255","0","       125","0","  -11.7","0,0119, ","","","     0"," ,0,1231,+","  57.7"," ,0,1231, ","   40.6","0,0821, ","-1.7","0,1122","-2.2","0,1123","","","","","","","-1.7","0,0307","-3.9","0,0306","-4.4","0,0229","-6.7","0,0122","-11.1","0,0120","    1571.6","6","    1571.6","0","","","    477.4"," ,0","        0"," ,0","     17.75","0","     25.07","0","     10.43","0","     52253","0"
"USC00416499","1985","31.45389","-100.49333","598.6","O C FISHER DAM, TX US","   1217.1","","    1217.1","0","        62","0","        34","0","         5","0","","","","","         0","0","        70","0","        12","0","       251","0","       103","0","  -16.1","0,0203, ","","","","","  59.2"," ,0,0929, ","   39.4","0,0530,+","-1.1","0,1120","-3.9","0,1201","-6.7","0,1202","-6.7","0,1202","-11.1","0,1214","-1.7","0,0331","-2.2","0,0215","-6.7","0,0212","-6.7","0,0212","-10.0","0,0204","    1527.3","3","    1527.3","0","","","    472.9"," ,0","","","     17.39","0","     24.76","0","     10.01","0","     45663","0"
