"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CTRM","2000","36.9111","-119.305","469.4","TRIMMER CALIFORNIA, CA US","    984.1","","     984.1","U","         0","U","        20","U","         0","U","       203","U","       105","U","   -2.8","U,0106, ","   43.9","U,0801, ","0.0","U,1110","","","","","0.0","U,0109","-2.8","U,0106","","","    1350.5","5","    1350.5","U","     16.78","U","     24.19","U","      9.36","U"
"USR0000CTRM","2001","36.9111","-119.305","469.4","TRIMMER CALIFORNIA, CA US","   1201.4","","    1201.4","U","         0","U","        21","U","         0","U","       222","U","       125","U","   -3.9","U,0117, ","   45.0","U,0703, ","-0.6","U,1126","","","","","-0.6","U,0303","-2.2","U,0208","","","    1639.7","7","    1639.7","U","     17.42","U","     24.87","U","      9.96","U"
"USR0000CTRM","2002","36.9111","-119.305","469.4","TRIMMER CALIFORNIA, CA US","   1053.0","","    1053.0","U","         0","U","        31","U","         0","U","       219","U","       108","U","   -4.4","U,0130, ","   42.8","U,0709, ","-1.1","U,1218","","","","","-0.6","U,0319","-2.2","U,0202","-4.4","U,0130","    1500.9","9","    1500.9","U","     17.07","U","     24.62","U","      9.51","U"
"USR0000CTRM","2003","36.9111","-119.305","469.4","TRIMMER CALIFORNIA, CA US","   1231.5","","    1231.5","U","         0","U","        17","U","         0","U","       194","U","       124","U","   -3.3","U,1228,+","   42.2","U,0717, ","-1.7","U,1122","-2.2","U,1126","","","-0.6","U,0405","","","","","    1476.7","7","    1476.7","U","     17.52","U","     24.91","U","     10.13","U"
"USR0000CTRM","2004","36.9111","-119.305","469.4","TRIMMER CALIFORNIA, CA US","   1013.9","","    1013.9","U","         0","U","        20","U","         0","U","       215","U","       105","U","   -3.3","U,0104, ","   41.1","U,0811, ","0.0","U,1128","-2.2","U,1129","","","-0.6","U,0228","-3.3","U,0104","","","    1371.1","1","    1371.1","U","     16.98","U","     24.12","U","      9.83","U"
"USR0000CTRM","2005","36.9111","-119.305","469.4","TRIMMER CALIFORNIA, CA US","    904.1","","     904.1","U","         0","U","        10","U","         0","U","       204","U","        86","U","   -1.7","U,1127,+","   41.7","U,0718,+","-1.7","U,1127","","","","","0.0","U,0131","","","","","    1714.2","2","    1714.2","U","     16.73","U","     23.69","U","      9.77","U"
"USR0000CTRM","2006","36.9111","-119.305","469.4","TRIMMER CALIFORNIA, CA US","   1079.4","","    1079.4","U","         0","U","        29","U","         0","U","       207","U","       109","U","   -2.8","U,1219,+","   44.4","U,0722, ","0.0","U,1128","-2.2","U,1129","","","-0.6","U,0321","-2.2","U,0220","","","    1492.5","5","    1492.5","U","     16.96","U","     24.15","U","      9.77","U"
"USR0000CTRM","2007","36.9111","-119.305","469.4","TRIMMER CALIFORNIA, CA US","   1098.5","","    1098.5","U","         0","U","        34","U","         0","U","       238","U","       110","U","   -6.1","U,0114,+","   44.4","U,0706,+","0.0","U,1201","-2.2","U,1202","","","-0.6","U,0328","-2.2","U,0301","-4.4","U,0115","    1419.1","1","    1419.1","U","     17.37","U","     25.04","U","      9.70","U"
"USR0000CTRM","2008","36.9111","-119.305","469.4","TRIMMER CALIFORNIA, CA US","   1331.3","","    1331.3","U","         0","U","        20","U","         0","U","       220","U","       121","U","   -2.2","U,1214,+","   43.3","U,0710, ","-2.2","U,1214","-2.2","U,1214","","","0.0","U,0421","-2.2","U,0129","","","    1499.5","5","    1499.5","U","     18.01","U","     25.33","U","     10.68","U"
"USR0000CTRM","2009","36.9111","-119.305","469.4","TRIMMER CALIFORNIA, CA US","","","","","","","","","         0","U","       213","U","       105","U","","","   43.3","U,0719, ","","","","","","","","","","","","","    1412.1","1","    1412.1","U","","","     24.46","U","",""
