"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"NLE00109372","1990","52.3831","5.3667","-3.0","ZEEWOLDE, NL","        45","E","        23","E","         0","E","","","","","  18.0"," ,E,1028, ","    219.8"," ,E"
"NLE00109372","1991","52.3831","5.3667","-3.0","ZEEWOLDE, NL","       149","E","        78","E","         1","E","        4","","    80"," ,E,0215,+","  32.7"," ,E,0711, ","    647.6"," ,E"
"NLE00109372","1992","52.3831","5.3667","-3.0","ZEEWOLDE, NL","       168","E","        92","E","         3","E","        0","","     0"," ,E,1231,+","  43.2"," ,E,0312, ","    922.8"," ,E"
"NLE00109372","1993","52.3831","5.3667","-3.0","ZEEWOLDE, NL","       175","E","        89","E","         1","E","        1","","    40"," ,E,1201, ","  29.4"," ,E,0925, ","    913.9"," ,E"
"NLE00109372","1994","52.3831","5.3667","-3.0","ZEEWOLDE, NL","       178","E","       104","E","         4","E","        0","","    20"," ,E,0224,+","  62.2"," ,E,0810, ","   1099.8"," ,E"
"NLE00109372","1995","52.3831","5.3667","-3.0","ZEEWOLDE, NL","       163","E","        89","E","         2","E","        4","","   150"," ,E,0108,+","  78.9"," ,E,0708, ","    787.1"," ,E"
"NLE00109372","1996","52.3831","5.3667","-3.0","ZEEWOLDE, NL","       139","E","        77","E","         1","E","        0","","    20"," ,E,1231,+","  34.0"," ,E,1122, ","    628.8"," ,E"
"NLE00109372","1997","52.3831","5.3667","-3.0","ZEEWOLDE, NL","       154","E","        80","E","         0","E","        0","","     0"," ,E,1231,+","  24.3"," ,E,1009, ","    705.0"," ,E"
"NLE00109372","1998","52.3831","5.3667","-3.0","ZEEWOLDE, NL","       204","E","       128","E","         6","E","        0","","    20"," ,E,1206,+","  45.0"," ,E,0306, ","   1231.5"," ,E"
"NLE00109372","1999","52.3831","5.3667","-3.0","ZEEWOLDE, NL","       196","E","       106","E","         2","E","        0","","    20"," ,E,1220,+","  38.8"," ,E,0809, ","    937.6"," ,E"
"NLE00109372","2000","52.3831","5.3667","-3.0","ZEEWOLDE, NL","       197","E","       115","E","         3","E","        4","","    80"," ,E,1231,+","  45.1"," ,E,0709, ","   1022.8"," ,E"
"NLE00109372","2001","52.3831","5.3667","-3.0","ZEEWOLDE, NL","       195","E","       121","E","         2","E","        6","","    80"," ,E,0203,+","  30.3"," ,E,0902, ","   1029.2"," ,E"
