"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES"
"NLE00109255","1956","52.5167","4.95","-3.0","PURMEREND, NL","        2","","    80"," ,E,0127,+"
"NLE00109255","1957","52.5167","4.95","-3.0","PURMEREND, NL","        0","","    20"," ,E,0225, "
"NLE00109255","1958","52.5167","4.95","-3.0","PURMEREND, NL","       10","","   230"," ,E,0314, "
"NLE00109255","1959","52.5167","4.95","-3.0","PURMEREND, NL","        9","","    80"," ,E,0112,+"
"NLE00109255","1960","52.5167","4.95","-3.0","PURMEREND, NL","        1","","    40"," ,E,0115, "
"NLE00109255","1961","52.5167","4.95","-3.0","PURMEREND, NL","        0","","    20"," ,E,0204, "
"NLE00109255","1962","52.5167","4.95","-3.0","PURMEREND, NL","       14","","   150"," ,E,0315,+"
"NLE00109255","1964","52.5167","4.95","-3.0","PURMEREND, NL","        1","","    40"," ,E,1230, "
"NLE00109255","1965","52.5167","4.95","-3.0","PURMEREND, NL","        0","","    20"," ,E,1228,+"
"NLE00109255","1966","52.5167","4.95","-3.0","PURMEREND, NL","        1","","    40"," ,E,0117, "
"NLE00109255","1967","52.5167","4.95","-3.0","PURMEREND, NL","        5","","   150"," ,E,0109,+"
"NLE00109255","1968","52.5167","4.95","-3.0","PURMEREND, NL","       13","","    80"," ,E,1231,+"
"NLE00109255","1969","52.5167","4.95","-3.0","PURMEREND, NL","       15","","   150"," ,E,0220,+"
"NLE00109255","1970","52.5167","4.95","-3.0","PURMEREND, NL","       13","","   150"," ,E,0219,+"
"NLE00109255","1971","52.5167","4.95","-3.0","PURMEREND, NL","       12","","    80"," ,E,0307,+"
"NLE00109255","1972","52.5167","4.95","-3.0","PURMEREND, NL","        1","","    40"," ,E,0201, "
"NLE00109255","1973","52.5167","4.95","-3.0","PURMEREND, NL","        6","","    80"," ,E,1203,+"
"NLE00109255","1974","52.5167","4.95","-3.0","PURMEREND, NL","        0","","     0"," ,E,1231,+"
"NLE00109255","1975","52.5167","4.95","-3.0","PURMEREND, NL","        0","","     0"," ,E,1231,+"
"NLE00109255","1976","52.5167","4.95","-3.0","PURMEREND, NL","        6","","    40"," ,E,0201,+"
"NLE00109255","1977","52.5167","4.95","-3.0","PURMEREND, NL","        1","","    40"," ,E,0111, "
"NLE00109255","1978","52.5167","4.95","-3.0","PURMEREND, NL","        2","","    80"," ,E,0412, "
"NLE00109255","1979","52.5167","4.95","-3.0","PURMEREND, NL","       28","","    80"," ,E,0222,+"
"NLE00109255","1980","52.5167","4.95","-3.0","PURMEREND, NL","        7","","   150"," ,E,1107, "
"NLE00109255","1981","52.5167","4.95","-3.0","PURMEREND, NL","       22","","    80"," ,E,1228,+"
"NLE00109255","1982","52.5167","4.95","-3.0","PURMEREND, NL","        0","","    20"," ,E,0107, "
"NLE00109255","1983","52.5167","4.95","-3.0","PURMEREND, NL","        1","","    40"," ,E,0209, "
"NLE00109255","1984","52.5167","4.95","-3.0","PURMEREND, NL","        5","","   230"," ,E,0124, "
"NLE00109255","1985","52.5167","4.95","-3.0","PURMEREND, NL","       20","","   150"," ,E,0121,+"
"NLE00109255","1986","52.5167","4.95","-3.0","PURMEREND, NL","        7","","    80"," ,E,0106,+"
"NLE00109255","1987","52.5167","4.95","-3.0","PURMEREND, NL","        1","","    40"," ,E,0320, "
"NLE00109255","1988","52.5167","4.95","-3.0","PURMEREND, NL","        1","","    40"," ,E,0225, "
"NLE00109255","1989","52.5167","4.95","-3.0","PURMEREND, NL","        0","","     0"," ,E,1231,+"
"NLE00109255","1990","52.5167","4.95","-3.0","PURMEREND, NL","        0","","     0"," ,E,1231,+"
"NLE00109255","1991","52.5167","4.95","-3.0","PURMEREND, NL","        5","","    80"," ,E,0217,+"
"NLE00109255","1992","52.5167","4.95","-3.0","PURMEREND, NL","        0","","     0"," ,E,1231,+"
"NLE00109255","1993","52.5167","4.95","-3.0","PURMEREND, NL","        1","","    40"," ,E,1201, "
"NLE00109255","1994","52.5167","4.95","-3.0","PURMEREND, NL","        1","","    40"," ,E,0224, "
