"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CHM00056492","1951","28.8","104.6","342.0","YIBIN, CH","   1264.2","","    1264.2","s","       143","s","        83","s","        16","s","         0","s","         0","s","         0","s","       185","s","        54","s","    2.5","s,0122, ","  74.8"," ,s,0711, ","   39.4","s,0814, ","","","","","","","","","","","   1216.4"," ,s","     18.73","s","     22.19","s","     15.27","s"
"CHM00056492","1952","28.8","104.6","342.0","YIBIN, CH","   1212.2","","    1212.2","s","       162","s","        98","s","         8","s","         0","s","         0","s","         0","s","       206","s","        39","s","    1.8","s,0218,+","  62.7"," ,s,0724, ","   39.1","s,0723, ","","","","","","","     964.9","9","     964.9","s","   1119.8"," ,s","     18.73","s","     22.09","s","     15.37","s"
"CHM00056492","1953","28.8","104.6","342.0","YIBIN, CH","   1315.5","","    1315.5","s","       184","s","       111","s","         9","s","         0","s","         0","s","         0","s","       201","s","        62","s","    4.0","s,0219, ","  82.4"," ,s,0622, ","   39.3","s,0818, ","","","","","","","    1031.6","6","    1031.6","s","   1252.6"," ,s","     19.36","s","     22.63","s","     16.08","s"
"CHM00056492","1954","28.8","104.6","342.0","YIBIN, CH","   1207.8","","    1207.8","s","       184","s","       100","s","        17","s","         0","s","         0","s","         0","s","       204","s","        41","s","    0.8","s,1231,+"," 147.5"," ,s,0817, ","   36.5","s,0902, ","","","","","","","     958.1","1","     958.1","s","   1625.0"," ,s","     18.69","s","     21.85","s","     15.53","s"
"CHM00056492","1955","28.8","104.6","342.0","YIBIN, CH","   1295.7","","    1295.7","s","       135","s","        66","s","         7","s","         0","s","         0","s","         0","s","       193","s","        52","s","    0.2","s,0111,+"," 107.9"," ,s,0714, ","   37.8","s,0615, ","","","","","","","    1102.6","6","    1102.6","s","    884.2"," ,s","     19.25","s","     22.85","s","     15.64","s"
"CHM00056492","1956","28.8","104.6","342.0","YIBIN, CH","","","","","       159","s","        98","s","        11","s","","","","","","","","","","","",""," 174.8"," ,s,0822, ","","","","","","","","","     932.3","3","     932.3","s","   1337.6"," ,s","","","","","",""
"CHM00056492","1957","28.8","104.6","342.0","YIBIN, CH","   1076.3","","    1076.3","s","       190","s","        96","s","         7","s","         0","s","         0","s","         0","s","       190","s","        38","s","    0.5","s,0206, "," 107.7"," ,s,0616, ","   37.1","s,0725, ","","","","","","","","","","","   1315.2"," ,s","     18.31","s","     21.37","s","     15.24","s"
"CHM00056492","1958","28.8","104.6","342.0","YIBIN, CH","   1158.4","","    1158.4","s","       155","s","        84","s","         9","s","         0","s","         1","s","         0","s","       204","s","        34","s","   -0.4","s,0115, "," 140.5"," ,s,0814, ","   37.0","s,0725, ","","","-0.4","s,0115","","","    1016.6","6","    1016.6","s","   1155.5"," ,s","     18.50","s","     21.77","s","     15.23","s"
"CHM00056492","1959","28.8","104.6","342.0","YIBIN, CH","   1263.0","","    1263.0","s","       159","s","        79","s","        14","s","         0","s","         0","s","         0","s","       203","s","        50","s","    0.5","s,0113, "," 118.7"," ,s,0812, ","   38.5","s,0714, ","","","","","","","    1142.4","4","    1142.4","s","   1225.6"," ,s","     18.61","s","     22.11","s","     15.11","s"
"CHM00056492","1960","28.8","104.6","342.0","YIBIN, CH","   1154.4","","    1154.4","s","       138","s","        78","s","         8","s","         0","s","         2","s","         0","s","       193","s","        39","s","   -1.0","s,0126, ","  74.7"," ,s,0923, ","   36.1","s,0704,+","","","-1.0","s,0126","","","    1011.6","6","    1011.6","s","    946.1"," ,s","     18.61","s","     22.30","s","     14.91","s"
