"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00423413","1948","39.0","-110.15","1239.9","GREEN RIVER RNG GWC, UT US","","","","","","","","","         1"," ","         2"," ","","","","","","","","","",""
"USC00423413","1949","39.0","-110.15","1239.9","GREEN RIVER RNG GWC, UT US","","","","","","","","","","","        24"," ","","","","","    3341.9","9","    3341.9","0","",""
"USC00423413","1950","39.0","-110.15","1239.9","GREEN RIVER RNG GWC, UT US","","","","","","","","","         2"," ","","","","","","","","","","","",""
"USC00423413","1951","39.0","-110.15","1239.9","GREEN RIVER RNG GWC, UT US","        45","0","        17","0","         1","0","","","","","        14"," ","","","  25.7"," ,0,0829, ","","","","","    167.2"," ,0"
"USC00423413","1952","39.0","-110.15","1239.9","GREEN RIVER RNG GWC, UT US","","","","","","","       18","","         4"," ","        11"," ","    76"," ,0,0111,+","","","","","","","",""
"USC00423413","1953","39.0","-110.15","1239.9","GREEN RIVER RNG GWC, UT US","","","","","","","","","         7"," ","","","","","","","","","","","",""
