"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CCP9","2000","34.3617","-118.4217","1219.2","CAMP 9 CALIFORNIA, CA US","    727.3","","     727.3","U","         0","U","         9","U","         0","U","       189","U","        31","U","   -1.1","U,0306,+","   37.2","U,0919,+","0.0","U,1111","","","0.0","U,0307","","","","","","","","","     15.83","U","     20.58","U","     11.09","U"
"USR0000CCP9","2001","34.3617","-118.4217","1219.2","CAMP 9 CALIFORNIA, CA US","    869.8","","     869.8","U","         0","U","        34","U","         0","U","       204","U","        41","U","   -1.7","U,1215,+","   37.8","U,0702, ","0.0","U,1127","","","0.0","U,0421","","","","","    1793.0","0","    1793.0","U","     15.85","U","     20.65","U","     11.04","U"
"USR0000CCP9","2002","34.3617","-118.4217","1219.2","CAMP 9 CALIFORNIA, CA US","    763.4","","     763.4","U","         0","U","        16","U","         0","U","       175","U","        38","U","   -3.9","U,0130, ","   38.3","U,0709, ","0.0","U,1217","","","-2.8","U,0318","-2.8","U,0318","","","    1591.4","4","    1591.4","U","     15.78","U","     20.72","U","     10.85","U"
"USR0000CCP9","2003","34.3617","-118.4217","1219.2","CAMP 9 CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1674.9","9","    1674.9","U","","","","","",""
"USR0000CCP9","2004","34.3617","-118.4217","1219.2","CAMP 9 CALIFORNIA, CA US","    742.6","","     742.6","U","         0","U","         8","U","         0","U","       177","U","        28","U","   -1.1","U,1129,+","   36.7","U,0810, ","0.0","U,1121","","","0.0","U,0228","","","","","","","","","     15.52","U","     20.29","U","     10.75","U"
"USR0000CCP9","2005","34.3617","-118.4217","1219.2","CAMP 9 CALIFORNIA, CA US","    569.9","","     569.9","U","         0","U","         4","U","         0","U","       164","U","        25","U","    0.0","U,0112,+","   38.9","U,0718, ","","","","","0.0","U,0112","","","","","    2000.1","1","    2000.1","U","     14.94","U","     19.59","U","     10.28","U"
"USR0000CCP9","2006","34.3617","-118.4217","1219.2","CAMP 9 CALIFORNIA, CA US","    800.1","","     800.1","U","         0","U","        27","U","         1","U","       178","U","        41","U","   -3.9","U,0312, ","   41.1","U,0722, ","0.0","U,1128","","","-0.6","U,0321","-3.9","U,0312","","","    1823.1","1","    1823.1","U","     15.48","U","     20.24","U","     10.73","U"
"USR0000CCP9","2007","34.3617","-118.4217","1219.2","CAMP 9 CALIFORNIA, CA US","    780.3","","     780.3","U","         0","U","        21","U","         1","U","       200","U","        25","U","   -6.1","U,0113, ","   41.1","U,0705, ","0.0","U,1202","-3.9","U,1227","0.0","U,0418","-3.3","U,0114","-6.1","U,0113","    1546.7","7","    1546.7","U","     15.93","U","     20.80","U","     11.07","U"
"USR0000CCP9","2008","34.3617","-118.4217","1219.2","CAMP 9 CALIFORNIA, CA US","    929.6","","     929.6","U","         0","U","        25","U","         0","U","       193","U","        43","U","   -2.2","U,1226,+","   36.7","U,0906,+","0.0","U,1213","-2.2","U,1217","0.0","U,0331","","","","","    1750.7","7","    1750.7","U","     16.32","U","     21.15","U","     11.49","U"
"USR0000CCP9","2009","34.3617","-118.4217","1219.2","CAMP 9 CALIFORNIA, CA US","    817.9","","     817.9","U","         0","U","        21","U","         0","U","       168","U","        37","U","   -3.9","U,1208, ","   37.2","U,0718, ","-3.3","U,1207","-3.3","U,1207","-0.6","U,0415","-2.2","U,0210","","","    1619.5","5","    1619.5","U","     15.71","U","     20.25","U","     11.17","U"
"USR0000CCP9","2010","34.3617","-118.4217","1219.2","CAMP 9 CALIFORNIA, CA US","    697.1","","     697.1","U","         0","U","        20","U","         0","U","       159","U","        27","U","   -3.3","U,1230, ","   40.0","U,0824, ","-1.1","U,1124","-3.3","U,1230","0.0","U,0429","","","","","    1831.3","3","    1831.3","U","     14.85","U","     19.48","U","     10.21","U"
"USR0000CCP9","2011","34.3617","-118.4217","1219.2","CAMP 9 CALIFORNIA, CA US","    747.0","","     747.0","U","         0","U","        22","U","         0","U","       168","U","        29","U","   -3.9","U,0227,+","   37.8","U,0827,+","0.0","U,1213","","","-1.1","U,0409","-3.9","U,0227","","","    1980.9","9","    1980.9","U","     15.26","U","     20.06","U","     10.45","U"
"USR0000CCP9","2012","34.3617","-118.4217","1219.2","CAMP 9 CALIFORNIA, CA US","    897.3","","     897.3","U","         0","U","        21","U","         0","U","       199","U","        43","U","   -2.8","U,1219, ","   37.8","U,0809, ","0.0","U,1214","-2.8","U,1219","-0.6","U,0414","-2.2","U,0307","","","    1540.7","7","    1540.7","U","     16.46","U","     21.38","U","     11.53","U"
"USR0000CCP9","2013","34.3617","-118.4217","1219.2","CAMP 9 CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1591.3","3","    1591.3","U","","","","","",""
"USR0000CCP9","2014","34.3617","-118.4217","1219.2","CAMP 9 CALIFORNIA, CA US","    784.6","","     784.6","U","         0","U","         7","U","         0","U","       210","U","        32","U","   -3.3","U,1231, ","   37.2","U,0915,+","0.0","U,1226","-3.3","U,1231","0.0","U,0402","","","","","","","","","     17.08","U","     22.01","U","     12.15","U"
"USR0000CCP9","2015","34.3617","-118.4217","1219.2","CAMP 9 CALIFORNIA, CA US","    775.9","","     775.9","U","         0","U","        12","U","         0","U","       196","U","        27","U","   -2.2","U,1226, ","   37.2","U,0815, ","0.0","U,1116","-2.2","U,1226","0.0","U,0101","","","","","    1248.1","1","    1248.1","U","     16.60","U","     21.35","U","     11.86","U"
"USR0000CCP9","2017","34.3617","-118.4217","1219.2","CAMP 9 CALIFORNIA, CA US","    849.2","","     849.2","U","         0","U","        12","U","         0","U","       176","U","        22","U","   -1.7","U,0306,+","   37.8","U,0831,+","-0.6","U,1220","","","-1.7","U,0306","","","","","    1666.0","0","    1666.0","U","     16.37","U","     20.25","U","     12.49","U"
"USR0000CCP9","2018","34.3617","-118.4217","1219.2","CAMP 9 CALIFORNIA, CA US","    713.3","","     713.3","U","         0","U","        13","U","         0","U","       164","U","        16","U","   -2.8","U,0227,+","   39.4","U,0706, ","0.0","U,1231","","","0.0","U,0417","-2.8","U,0227","","","    1448.7","7","    1448.7","U","     16.01","U","     19.80","U","     12.22","U"
"USR0000CCP9","2019","34.3617","-118.4217","1219.2","CAMP 9 CALIFORNIA, CA US","    593.9","","     593.9","U","         0","U","        20","U","         0","U","       148","U","        12","U","   -3.3","U,0211,+","   33.3","U,0831,+","-0.6","U,1128","","","0.0","U,0310","-2.2","U,0222","","","    1908.3","3","    1908.3","U","     14.39","U","     18.05","U","     10.72","U"
"USR0000CCP9","2020","34.3617","-118.4217","1219.2","CAMP 9 CALIFORNIA, CA US","    926.0","","     926.0","U","         0","U","         8","U","         0","U","       176","U","        27","U","   -2.2","U,0203, ","   41.1","U,0906, ","0.0","U,1108","","","-1.1","U,0327","-2.2","U,0203","","","    1742.7","7","    1742.7","U","     16.45","U","     20.41","U","     12.48","U"
"USR0000CCP9","2021","34.3617","-118.4217","1219.2","CAMP 9 CALIFORNIA, CA US","    852.7","","     852.7","U","         0","U","        14","U","         0","U","       177","U","        29","U","   -3.3","U,0125, ","   41.7","U,0616, ","-1.7","U,1214","","","-2.2","U,0316","-2.2","U,0316","","","    1494.0","0","    1494.0","U","     16.27","U","     20.46","U","     12.09","U"
