"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00028196","1996","22.95","-97.9333","89.9","LA CABECERA, MX","   2109.0","","    2109.0","m","        62","m","        40","m","         9","m","         0","m","         0","m","         0","m","       339","m","       136","m","    2.2","m,0113,+","  47.5"," ,m,0622, ","   36.7","m,0725, ","","","","","","","","","     223.7","7","     223.7","m","    729.3"," ,m","     23.50","m","     29.45","m","     17.55","m"
"MXN00028196","1997","22.95","-97.9333","89.9","LA CABECERA, MX","   2106.6","","    2106.6","m","        65","m","        42","m","         6","m","         0","m","         3","m","         0","m","       342","m","       134","m","    0.0","m,1228,+","  79.8"," ,m,1010, ","   39.4","m,0422, ","0.0","m,1215","","","","","0.0","m,0116","     174.9","9","     174.9","m","    682.7"," ,m","     23.53","m","     29.54","m","     17.53","m"
"MXN00028196","1998","22.95","-97.9333","89.9","LA CABECERA, MX","   2356.2","","    2356.2","m","        82","m","        56","m","         6","m","         0","m","         0","m","         0","m","       356","m","       143","m","    3.3","m,1215, ","  55.4"," ,m,1018, ","   42.2","m,0416, ","","","","","","","","","     113.2","2","     113.2","m","    762.4"," ,m","     24.56","m","     30.31","m","     18.81","m"
"MXN00028196","1999","22.95","-97.9333","89.9","LA CABECERA, MX","   2075.7","","    2075.7","m","        73","m","        43","m","        12","m","         0","m","         0","m","         0","m","       342","m","       129","m","    1.1","m,0214, "," 111.0"," ,m,0907, ","   45.0","m,0504, ","","","","","","","","","      99.2","2","      99.2","m","   1028.7"," ,m","     23.85","m","     29.81","m","     17.89","m"
"MXN00028196","2000","22.95","-97.9333","89.9","LA CABECERA, MX","   2052.2","","    2052.2","m","        94","m","        55","m","        13","m","         0","m","         0","m","         0","m","       340","m","       124","m","    2.8","m,0105, "," 135.9"," ,m,0612, ","   37.8","m,0424, ","","","","","","","","","     111.7","7","     111.7","m","   1076.4"," ,m","     23.67","m","     29.46","m","     17.89","m"
"MXN00028196","2001","22.95","-97.9333","89.9","LA CABECERA, MX","   2098.6","","    2098.6","m","        71","m","        52","m","        16","m","         0","m","         0","m","         0","m","       338","m","       120","m","    1.7","m,0121,+","  82.8"," ,m,0828, ","   37.8","m,0619,+","","","","","","","","","     184.5","5","     184.5","m","    966.0"," ,m","     23.75","m","     29.34","m","     18.16","m"
"MXN00028196","2002","22.95","-97.9333","89.9","LA CABECERA, MX","   2033.9","","    2033.9","m","        75","m","        48","m","        12","m","         0","m","         0","m","         0","m","       330","m","       131","m","    1.7","m,0223, "," 133.4"," ,m,1104, ","   37.2","m,0408,+","","","","","","","","","     151.4","4","     151.4","m","   1098.3"," ,m","     23.44","m","     29.14","m","     17.73","m"
"MXN00028196","2003","22.95","-97.9333","89.9","LA CABECERA, MX","   2113.6","","    2113.6","m","        74","m","        47","m","        16","m","         0","m","         1","m","         0","m","       339","m","       129","m","    0.0","m,1211, "," 112.8"," ,m,0716, ","   38.3","m,0318, ","0.0","m,1211","","","","","","","     160.4","4","     160.4","m","   1059.7"," ,m","     23.61","m","     29.34","m","     17.87","m"
"MXN00028196","2004","22.95","-97.9333","89.9","LA CABECERA, MX","   2060.1","","    2060.1","m","        91","m","        59","m","        10","m","         0","m","         2","m","         0","m","       344","m","       102","m","   -2.2","m,1226, ","  72.9"," ,m,0918, ","   38.9","m,0530, ","-2.2","m,1226","-2.2","m,1226","","","","","     175.7","7","     175.7","m","    910.1"," ,m","     23.54","m","     28.83","m","     18.24","m"
"MXN00028196","2005","22.95","-97.9333","89.9","LA CABECERA, MX","","","","","","","","","","","","","","","         0","m","       344","m","       126","m","","","","","   37.8","m,0924, ","","","","","","","","","     116.7","7","     116.7","m","","","","","     29.55","m","",""
"MXN00028196","2009","22.95","-97.9333","89.9","LA CABECERA, MX","   2152.9","","    2152.9","m","        35","m","        28","m","         7","m","         0","m","         0","m","         0","m","       333","m","       107","m","    5.0","m,0113, ","  81.8"," ,m,0926, ","   37.8","m,0828,+","","","","","","","","","","","","","    570.9"," ,m","     23.96","m","     29.11","m","     18.81","m"
"MXN00028196","2012","22.95","-97.9333","89.9","LA CABECERA, MX","   2532.2","","    2532.2","m","        69","m","        60","m","         7","m","         0","m","         0","m","         0","m","       353","m","       175","m","    8.9","m,1231,+","  40.9"," ,m,0713, ","   37.8","m,0626,+","","","","","","","","","","","","","    922.2"," ,m","     25.15","m","     31.37","m","     18.92","m"
