"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA006033785","1928","49.8167","-95.15","363.0","INGOLF, ON CA","","","        64","C","       203","C","  -42.2","C,0224, ","","","0.0","C,0921","-3.3","C,0925","-6.7","C,1022","-6.7","C,1022","-12.8","C,1102","0.0","C,0603","-3.9","C,0512","-6.1","C,0501","-7.2","C,0427","-11.1","C,0420","","","","","","","     -4.34","C"
"CA006033785","1930","49.8167","-95.15","363.0","INGOLF, ON CA","        14","C","","","","","","","   114"," ,C,0204, ","","","","","","","","","","","","","","","","","","","","","","","","","      844"," ,C","",""
"CA006033785","1931","49.8167","-95.15","363.0","INGOLF, ON CA","        22","C","","","","","","","   229"," ,C,1124, ","","","","","","","","","","","","","","","","","","","","","","","","","     1292"," ,C","",""
"CA006033785","1932","49.8167","-95.15","363.0","INGOLF, ON CA","        33","C","","","","","","","   178"," ,C,1017, ","","","","","","","","","","","","","","","","","","","","","","","","","     2117"," ,C","",""
"CA006033785","1934","49.8167","-95.15","363.0","INGOLF, ON CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    6584.8","8","    6584.8","C","","","",""
"CA006033785","1939","49.8167","-95.15","363.0","INGOLF, ON CA","        20","C","","","","","","","   102"," ,C,0404, ","","","","","","","","","","","","","","","","","","","","","","","","","     1052"," ,C","",""
"CA006033785","1940","49.8167","-95.15","363.0","INGOLF, ON CA","        23","C","","","","","","","   152"," ,C,0328, ","","","","","","","","","","","","","","","","","","","","","","","","","     1395"," ,C","",""
