"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000HKAH","2001","21.6792","-157.9894","181.7","KAHUKU TRAINING AREA HAWAII, HI US","   1763.8","","    1763.8","U","         0","U","         0","U","         0","U","       364","U","         0","U","   16.1","U,0322, ","   30.6","U,1126, ","       0.0","0","       0.0","U","     23.18","U","     25.52","U","     20.83","U"
"USR0000HKAH","2002","21.6792","-157.9894","181.7","KAHUKU TRAINING AREA HAWAII, HI US","   1826.1","","    1826.1","U","         0","U","         0","U","         0","U","       360","U","         0","U","   15.6","U,0304,+","   29.4","U,1110,+","       0.2","2","       0.2","U","     23.32","U","     25.86","U","     20.79","U"
"USR0000HKAH","2003","21.6792","-157.9894","181.7","KAHUKU TRAINING AREA HAWAII, HI US","   1917.4","","    1917.4","U","         0","U","         0","U","         0","U","       364","U","         1","U","   14.4","U,0117,+","   32.8","U,1001, ","       0.3","3","       0.3","U","     23.57","U","     26.27","U","     20.87","U"
"USR0000HKAH","2004","21.6792","-157.9894","181.7","KAHUKU TRAINING AREA HAWAII, HI US","   1956.1","","    1956.1","U","         0","U","         0","U","         0","U","       364","U","         0","U","   15.6","U,0228, ","   30.6","U,1014,+","       0.0","0","       0.0","U","     23.70","U","     26.42","U","     20.97","U"
"USR0000HKAH","2005","21.6792","-157.9894","181.7","KAHUKU TRAINING AREA HAWAII, HI US","   1942.8","","    1942.8","U","         0","U","         0","U","         0","U","       363","U","         0","U","   15.6","U,0314, ","   30.0","U,1121,+","       0.0","0","       0.0","U","     23.64","U","     26.47","U","     20.82","U"
"USR0000HKAH","2006","21.6792","-157.9894","181.7","KAHUKU TRAINING AREA HAWAII, HI US","   1896.4","","    1896.4","U","         0","U","         0","U","         0","U","       364","U","         0","U","   16.7","U,0516,+","   31.1","U,1114,+","       0.0","0","       0.0","U","     23.51","U","     26.31","U","     20.72","U"
"USR0000HKAH","2007","21.6792","-157.9894","181.7","KAHUKU TRAINING AREA HAWAII, HI US","   1950.5","","    1950.5","U","         0","U","         0","U","         0","U","       365","U","         0","U","   14.4","U,0204, ","   30.6","U,1105,+","       0.0","0","       0.0","U","     23.67","U","     26.70","U","     20.63","U"
"USR0000HKAH","2009","21.6792","-157.9894","181.7","KAHUKU TRAINING AREA HAWAII, HI US","   1853.2","","    1853.2","U","         0","U","         0","U","         0","U","       362","U","         0","U","   15.6","U,0312,+","   31.7","U,1009, ","       0.5","5","       0.5","U","     23.40","U","     26.39","U","     20.39","U"
"USR0000HKAH","2010","21.6792","-157.9894","181.7","KAHUKU TRAINING AREA HAWAII, HI US","   1829.4","","    1829.4","U","         0","U","         0","U","         0","U","       364","U","         0","U","   15.6","U,0219, ","   31.1","U,0126,+","       0.0","0","       0.0","U","     23.33","U","     26.27","U","     20.39","U"
"USR0000HKAH","2011","21.6792","-157.9894","181.7","KAHUKU TRAINING AREA HAWAII, HI US","   1842.9","","    1842.9","U","         0","U","         0","U","         0","U","       365","U","         0","U","   16.1","U,0111, ","   31.1","U,0114, ","       0.0","0","       0.0","U","     23.38","U","     26.31","U","     20.45","U"
"USR0000HKAH","2012","21.6792","-157.9894","181.7","KAHUKU TRAINING AREA HAWAII, HI US","","","","","","","","","","","","","","","","","","","       0.0","0","       0.0"," ","","","","","",""
"USR0000HKAH","2013","21.6792","-157.9894","181.7","KAHUKU TRAINING AREA HAWAII, HI US","   1951.8","","    1951.8","U","         0","U","         0","U","         0","U","       363","U","         1","U","   14.4","U,0318, ","   32.2","U,1019, ","","","","","     23.67","U","     26.94","U","     20.40","U"
"USR0000HKAH","2014","21.6792","-157.9894","181.7","KAHUKU TRAINING AREA HAWAII, HI US","   2017.1","","    2017.1","U","         0","U","         0","U","         0","U","       363","U","         1","U","   15.6","U,0123, ","   32.2","U,0228, ","       0.0","0","       0.0","U","     23.85","U","     26.92","U","     20.79","U"
"USR0000HKAH","2015","21.6792","-157.9894","181.7","KAHUKU TRAINING AREA HAWAII, HI US","   2001.6","","    2001.6","U","         0","U","         0","U","         0","U","       362","U","         3","U","   15.6","U,0310,+","   32.2","U,0910,+","       0.0","0","       0.0","U","     23.81","U","     26.62","U","     21.00","U"
"USR0000HKAH","2016","21.6792","-157.9894","181.7","KAHUKU TRAINING AREA HAWAII, HI US","   1985.5","","    1985.5","U","         0","U","         0","U","         0","U","       363","U","         2","U","   15.0","U,0208, ","   32.2","U,0807,+","       0.0","0","       0.0","U","     23.77","U","     26.68","U","     20.86","U"
