"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00146217","1960","39.5533","-96.8754","398.7","PARALLEL, KS US","        77","0","        66","0","         9","0","","","        18","0","","","","","   152"," ,0,0316,+","  82.6"," ,0,0712, ","    829.5"," ,0","     1269"," ,0"
"USC00146217","1961","39.5533","-96.8754","398.7","PARALLEL, KS US","        77","0","        58","0","        12","0","       36","","        14","0","","","   229"," ,0,1222, ","   152"," ,0,1209, ","  63.0"," ,0,1030, ","    943.9"," ,0","      657"," ,0"
"USC00146217","1962","39.5533","-96.8754","398.7","PARALLEL, KS US","        68","0","        50","0","         9","0","       52","","         9","0","","","   305"," ,0,0121,+","   102"," ,0,0119, "," 139.2"," ,0,0529, ","    864.8"," ,0","      482"," ,0"
"USC00146217","1963","39.5533","-96.8754","398.7","PARALLEL, KS US","        63","0","        46","0","         7","0","       32","","         7","0","","","   102"," ,0,0124,+","    51"," ,0,0119,+","  83.8"," ,0,0429, ","    577.9"," ,0","      266"," ,0"
"USC00146217","1964","39.5533","-96.8754","398.7","PARALLEL, KS US","        72","0","        59","0","         9","0","       12","","         7","0","","","    76"," ,0,1205,+","    76"," ,0,1204, ","  84.3"," ,0,0622, ","    856.1"," ,0","      265"," ,0"
"USC00146217","1965","39.5533","-96.8754","398.7","PARALLEL, KS US","        70","0","        58","0","        10","0","       24","","         7","0","","","   203"," ,0,0224, ","   203"," ,0,0224, ","  85.1"," ,0,0921, ","    908.4"," ,0","      736"," ,0"
"USC00146217","1966","39.5533","-96.8754","398.7","PARALLEL, KS US","        42","0","        32","0","         6","0","       10","","         4","0","","","   203"," ,0,1228, ","   203"," ,0,1228, ","  44.5"," ,0,0727, ","    428.4"," ,0","      355"," ,0"
"USC00146217","1967","39.5533","-96.8754","398.7","PARALLEL, KS US","        80","0","        64","0","        11","0","       14","","         4","0","","","   102"," ,0,1231,+","   102"," ,0,1227, ","  53.3"," ,0,0612, ","    848.7"," ,0","      216"," ,0"
"USC00146217","1968","39.5533","-96.8754","398.7","PARALLEL, KS US","        70","0","        52","0","         9","0","       21","","         5","0","","","   152"," ,0,0225, ","   127"," ,0,0225, ","  74.7"," ,0,0727, ","    881.2"," ,0","      304"," ,0"
"USC00146217","1969","39.5533","-96.8754","398.7","PARALLEL, KS US","        72","0","        54","0","         9","0","       26","","        10","0","","","   229"," ,0,0216,+","   203"," ,0,1207, ","  54.6"," ,0,0618, ","    803.5"," ,0","      760"," ,0"
"USC00146217","1970","39.5533","-96.8754","398.7","PARALLEL, KS US","        66","0","        55","0","         7","0","       11","","         8","0","","","   102"," ,0,0402, ","   102"," ,0,0402, ","  79.2"," ,0,0509, ","    758.9"," ,0","      381"," ,0"
"USC00146217","1971","39.5533","-96.8754","398.7","PARALLEL, KS US","        83","0","        57","0","         7","0","       46","","        11","0","","","   305"," ,0,0107,+","   178"," ,0,0103, ","  98.3"," ,0,0522, ","    826.6"," ,0","     1016"," ,0"
"USC00146217","1972","39.5533","-96.8754","398.7","PARALLEL, KS US","","","","","","","","","         8","0","","","","","   127"," ,0,1212,+","","","","","      507"," ,0"
"USC00146217","1973","39.5533","-96.8754","398.7","PARALLEL, KS US","        85","0","        70","0","        10","0","","","         9","0","","","","","   127"," ,0,0104, "," 111.3"," ,0,1011, ","   1148.6"," ,0","      630"," ,0"
"USC00146217","1974","39.5533","-96.8754","398.7","PARALLEL, KS US","        64","0","        47","0","         4","0","","","","","","","","","","","  64.8"," ,0,0809, ","    551.1"," ,0","",""
"USC00146217","1975","39.5533","-96.8754","398.7","PARALLEL, KS US","        60","0","        47","0","         7","0","","","","","","","","","","","  85.1"," ,0,0618, ","    798.4"," ,0","",""
"USC00146217","1976","39.5533","-96.8754","398.7","PARALLEL, KS US","        49","0","        41","0","         6","0","","","","","","","","","","","  48.3"," ,0,0424, ","    529.6"," ,0","",""
"USC00146217","1977","39.5533","-96.8754","398.7","PARALLEL, KS US","        73","0","        58","0","        14","0","","","","","","","","","","","  50.8"," ,0,0621, ","    952.0"," ,0","",""
"USC00146217","1978","39.5533","-96.8754","398.7","PARALLEL, KS US","        77","0","        45","0","         5","0","","","         5","0","","","","","   305"," ,0,0213, ","  62.5"," ,0,0918, ","    668.0"," ,0","      763"," ,0"
"USC00146217","1979","39.5533","-96.8754","398.7","PARALLEL, KS US","        71","0","        59","0","         7","0","","","","","","","","","","","  87.1"," ,0,1031, ","    834.6"," ,0","",""
"USC00146217","1980","39.5533","-96.8754","398.7","PARALLEL, KS US","        60","0","        45","0","         6","0","","","         3","0","","","","","   254"," ,0,0208, ","  63.5"," ,0,0811, ","    674.5"," ,0","      355"," ,0"
"USC00146217","1981","39.5533","-96.8754","398.7","PARALLEL, KS US","        63","0","        55","0","         8","0","","","","","","","","","","","  83.8"," ,0,0725, ","    848.7"," ,0","",""
"USC00146217","1982","39.5533","-96.8754","398.7","PARALLEL, KS US","        87","0","        72","0","        12","0","","","","","","","","","","","  53.3"," ,0,0520, ","    897.5"," ,0","",""
"USC00146217","1984","39.5533","-96.8754","398.7","PARALLEL, KS US","        76","0","        64","0","         9","0","","","","","","","","","","","  46.7"," ,0,0621, ","    828.9"," ,0","",""
"USC00146217","1985","39.5533","-96.8754","398.7","PARALLEL, KS US","        71","0","        57","0","         8","0","","","","","","","","","","","  64.5"," ,0,0820, ","    844.0"," ,0","",""
"USC00146217","1986","39.5533","-96.8754","398.7","PARALLEL, KS US","","","","","","","","","","","         5"," ","","","","","","","","","",""
"USC00146217","1987","39.5533","-96.8754","398.7","PARALLEL, KS US","        74","0","        63","0","         6","0","","","         6","0","         4"," ","","","   152"," ,0,0109, ","  49.5"," ,0,0414, ","    744.2"," ,0","      439"," ,0"
"USC00146217","1988","39.5533","-96.8754","398.7","PARALLEL, KS US","        45","0","        38","0","         5","0","","","","","","","","","",""," 132.1"," ,0,0630, ","    584.6"," ,0","",""
"USC00146217","1989","39.5533","-96.8754","398.7","PARALLEL, KS US","        63","0","        51","0","         8","0","","","         6","0","","","","","    89"," ,0,1218, ","  57.2"," ,0,0624, ","    741.3"," ,0","      356"," ,0"
"USC00146217","1990","39.5533","-96.8754","398.7","PARALLEL, KS US","        71","0","        62","0","         7","0","        0","","         4","0","","","     0"," ,0,1231,+","   152"," ,0,0324, ","  76.2"," ,0,0615, ","    811.4"," ,0","      317"," ,0"
"USC00146217","1991","39.5533","-96.8754","398.7","PARALLEL, KS US","        65","0","        48","0","         6","0","","","         4","0","","","","","   114"," ,0,0111, ","  34.0"," ,0,0413, ","    576.2"," ,0","      292"," ,0"
"USC00146217","1992","39.5533","-96.8754","398.7","PARALLEL, KS US","        91","0","        75","0","         7","0","        0","","         7","0","","","     0"," ,0,1231,+","   152"," ,0,0212, ","  40.1"," ,0,1008, ","    858.4"," ,0","      367"," ,0"
"USC00146217","1993","39.5533","-96.8754","398.7","PARALLEL, KS US","       111","0","        91","0","        14","0","","","        11","0","","","","","   178"," ,0,0120, ","  73.2"," ,0,0705, ","   1367.2"," ,0","      711"," ,0"
"USC00146217","1994","39.5533","-96.8754","398.7","PARALLEL, KS US","        67","0","        42","0","         9","0","","","         3","0","","","","","   127"," ,0,0222, ","  66.0"," ,0,0829, ","    783.3"," ,0","      190"," ,0"
"USC00146217","1995","39.5533","-96.8754","398.7","PARALLEL, KS US","        72","0","        60","0","        11","0","","","","","","","","","","","  69.9"," ,0,0508, ","    905.7"," ,0","",""
"USC00146217","1996","39.5533","-96.8754","398.7","PARALLEL, KS US","        75","0","        58","0","        10","0","","","         6","0","","","","","    76"," ,0,0127, ","  54.6"," ,0,1117, ","    891.1"," ,0","      274"," ,0"
"USC00146217","1997","39.5533","-96.8754","398.7","PARALLEL, KS US","        74","0","        52","0","         8","0","","","        10","0","","","","","   127"," ,0,1225,+","  62.2"," ,0,0923, ","    687.5"," ,0","      801"," ,0"
"USC00146217","1998","39.5533","-96.8754","398.7","PARALLEL, KS US","        84","0","        67","0","        13","0","","","         6","0","","","","","   152"," ,0,0308, ","  57.2"," ,0,1102, ","   1027.4"," ,0","      368"," ,0"
"USC00146217","1999","39.5533","-96.8754","398.7","PARALLEL, KS US","        66","0","        50","0","        10","0","        0","","         4","0","","","     0"," ,0,1231,+","    64"," ,0,0223, ","  41.9"," ,0,0627,+","    721.8"," ,0","      165"," ,0"
"USC00146217","2000","39.5533","-96.8754","398.7","PARALLEL, KS US","        78","0","        57","0","         4","0","","","        11","0","","","","","   102"," ,0,0212, ","  57.2"," ,0,0717, ","    598.7"," ,0","      495"," ,0"
"USC00146217","2002","39.5533","-96.8754","398.7","PARALLEL, KS US","        66","0","        49","0","         5","0","        0","","         3","0","","","     0","T,0,1205, ","   152"," ,0,0131, ","  59.7"," ,0,0817, ","    568.8"," ,0","      324"," ,0"
"USC00146217","2003","39.5533","-96.8754","398.7","PARALLEL, KS US","        71","0","        56","0","         5","0","        0","","         6","0","","","     0"," ,0,1231,+","    76"," ,0,1213, ","  43.2"," ,0,1104, ","    609.0"," ,0","      253"," ,0"
"USC00146217","2004","39.5533","-96.8754","398.7","PARALLEL, KS US","        67","0","        51","0","         7","0","","","         6","0","","","","","   152"," ,0,0202, ","  58.4"," ,0,0615, ","    798.3"," ,0","      433"," ,0"
"USC00146217","2005","39.5533","-96.8754","398.7","PARALLEL, KS US","        71","0","        57","0","        10","0","","","         8","0","","","","","   229"," ,0,0209, ","  88.9"," ,0,0610, ","    912.2"," ,0","      609"," ,0"
