"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00515260","1981","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","    338.4"," ,0","        0"," ,0","","","","","",""
"USC00515260","1982","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","    463.8","","     463.8","0","        0","","         0","0","         0","0","         0","0","         0","0","       333","0","         0","0","","","","","    4.4","0,0430, ","     0"," ,0,1231,+","     0"," ,0,1231,+","   29.4","0,1031,+","","","","","","","","","        0"," ,0","     19.05","0","     24.66","0","     13.45","0"
"USC00515260","1983","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","    446.2","","     446.2","0","        0","","         0","0","         0","0","         1","0","         0","0","       353","0","         2","0","","","","","   -1.1","0,1217, ","     0"," ,0,1231,+","     0"," ,0,1231,+","   32.8","0,0528, ","-1.1","0,1217","     267.5","5","     267.5","0","","","        0"," ,0","     18.82","0","     25.05","0","     12.58","0"
"USC00515260","1984","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","    225.4"," ,0","        0"," ,0","","","","","",""
"USC00515260","1985","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","    422.3"," ,0","        0"," ,0","","","","","",""
"USC00515260","1986","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","    881.4"," ,0","        0"," ,0","","","","","",""
"USC00515260","1987","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","    494.8"," ,0","        0"," ,0","","","","","",""
"USC00515260","1988","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","","","         0","0","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","","","","","","","","","    319.7"," ,0","        0"," ,0","","","","","",""
"USC00515260","1989","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","    634.9"," ,0","        0"," ,0","","","","","",""
"USC00515260","1990","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","","","         0","0","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","","","","","","","","","    599.4"," ,0","        0"," ,0","","","","","",""
"USC00515260","1991","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","    400.5"," ,0","        0"," ,0","","","","","",""
"USC00515260","1992","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","    318.1"," ,0","        0"," ,0","","","","","",""
"USC00515260","1993","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","    507.2"," ,0","        0"," ,0","","","","","",""
"USC00515260","1994","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","    299.8"," ,0","        0"," ,0","","","","","",""
"USC00515260","1995","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","        0","","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","","","","","","","","","","","    155.5"," ,0","","","","","","","",""
