"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYTS","DYTS_ATTRIBUTES"
"RMC00914300","1956","5.92112","169.64291","0.0","JABOR, MH RM","         5"," "
"RMC00914300","1957","5.92112","169.64291","0.0","JABOR, MH RM","         4"," "
"RMC00914300","1960","5.92112","169.64291","0.0","JABOR, MH RM","         1"," "
