"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00003017","1995","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","","","","","","","","","","","","","","","","","","","","","","","","","","","        93"," ","        18"," ","        65"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00003017","1996","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","       4.4","X","    390.1","","     390.1","0","        75","0","        25","0","         2","0","","","","","        14","0","       167","0","        27","0","       161","0","        38","0","        99"," ","        28"," ","        49"," ","  -26.7","0,0203,+","","","","","  31.0"," ,0,0918, ","   37.2","0,0704, ","0.0","0,0925","-3.9","0,0927","-5.0","0,1017","-6.7","0,1021","-9.4","0,1108","-1.1","0,0430","-5.6","0,0429","-5.6","0,0429","-6.7","0,0420","-12.2","0,0326","    3431.5","5","    3431.5","0","    264.5"," ,0","","","","","      9.91","0","     18.04","0","      1.77","0","","","       290","X","       290","X","      20.1","X","      22.8","X"
"USW00003017","1997","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","       4.5","X","    343.0","","     343.0","0","       101","0","        47","0","         2","0","","","","","         6","0","       167","0","        38","0","       150","0","        24","0","       110"," ","        21"," ","        56"," ","  -25.6","0,0112, ","","","","","  68.8"," ,0,0730, ","   36.7","0,0718,+","-0.6","0,1012","-2.8","0,1013","-8.3","0,1024","-8.3","0,1024","-13.3","0,1025","-0.6","0,0509","-2.8","0,0503","-7.2","0,0413","-7.2","0,0413","-14.4","0,0412","    3535.3","3","    3535.3","0","    498.0"," ,0","","","","","      9.26","0","     16.48","0","      2.04","0","","","       320","X","       320","X","      23.2","X","      25.0","X"
"USW00003017","1998","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","       4.3","X","    406.2","","     406.2","0","        86","0","        37","0","         3","0","","","","","         6","0","       156","0","        17","0","       157","0","        36","0","       111"," ","        38"," ","        50"," ","  -28.3","0,1222, ","","","","","  68.3"," ,0,0725, ","   37.8","0,0720, ","-1.1","0,1006","-2.2","0,1017","-4.4","0,1107","-11.7","0,1109","-11.7","0,1109","-0.6","0,0428","-6.1","0,0417","-6.1","0,0417","-6.7","0,0331","-8.9","0,0320","    3519.5","5","    3519.5","0","    405.3"," ,0","","","","","     10.25","0","     17.86","0","      2.65","0","","","       310","X","       320","X","      20.6","X","      27.3","X"
"USW00003017","1999","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","       4.6","X","    316.3","","     316.3","0","        81","0","        51","0","         3","0","","","","","         1","0","       159","0","        12","0","       161","0","        16","0","        90"," ","        21"," ","        50"," ","  -19.4","0,0103, ","","","","","  51.6"," ,0,0430, ","   35.0","0,0704,+","-1.1","0,0928","-3.3","0,1016","-7.2","0,1017","-7.2","0,1017","-10.6","0,1102","0.0","0,0517","-2.2","0,0424","-7.8","0,0417","-7.8","0,0417","-8.9","0,0411","    3203.8","8","    3203.8","0","    532.3"," ,0","","","","","     10.71","0","     18.40","0","      3.02","0","","","       130","X","       130","X","      24.1","X","      28.6","X"
"USW00003017","2000","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","       4.4","X","    520.6","","     520.6","0","        81","0","        38","0","         2","0","","","","","         4","0","       162","0","        18","0","       160","0","        61","0","        79"," ","        18"," ","        51"," ","  -18.9","0,1221,+","","","","","  45.0"," ,0,0517, ","   38.3","0,0706, ","0.0","0,0922","-2.2","0,1101","-6.7","0,1104","-6.7","0,1104","-11.7","0,1106","-5.0","0,0513","-5.0","0,0513","-5.0","0,0513","-6.7","0,0408","-8.9","0,0403","    2968.7","7","    2968.7","0","    367.0"," ,0","","","","","     10.50","0","     18.51","0","      2.48","0","","","       260","X","       140","X","      20.6","X","      24.6","X"
"USW00003017","2001","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","       4.4","X","    526.1","","     526.1","0","        86","0","        43","0","         3","0","","","","","         4","0","       159","0","        20","0","       164","0","        46","0","        97"," ","        34"," ","        56"," ","  -26.1","0,0209, ","","","","","  36.6"," ,0,0723, ","   38.3","0,0701, ","-1.1","0,1005","-2.2","0,1010","-6.1","0,1025","-6.7","0,1119","-11.7","0,1126","-0.6","0,0521","-5.0","0,0423","-5.0","0,0423","-7.2","0,0316","-8.9","0,0312","    3615.0","0","    3615.0","0","    418.7"," ,0","","","","","     10.68","0","     17.96","0","      3.40","0","","","       200","X","       200","X","      43.4","X","      43.4","X"
"USW00003017","2002","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","       4.7","X","    493.0","","     493.0","0","        60","0","        25","0","         0","0","","","","","         5","0","       175","0","        29","0","       153","0","        56","0","        81"," ","        20"," ","        34"," ","  -22.2","0,0226, ","","","","","  18.0"," ,0,0603, ","   37.8","0,0816, ","-0.6","0,1004","-2.2","0,1013","-4.4","0,1023","-8.9","0,1029","-8.9","0,1029","0.0","0,0524","-5.6","0,0509","-5.6","0,0509","-7.8","0,0419","-8.9","0,0322","    3332.5","5","    3332.5","0","    190.0"," ,0","","","","","     10.01","0","     17.86","0","      2.16","0","","","       220","X","       110","X","      21.9","X","      27.7","X"
"USW00003017","2003","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","       4.4","X","    415.3","","     415.3","0","        73","0","        26","0","         3","0","","","","","         5","0","       161","0","        18","0","       155","0","        44","0","        89"," ","        24"," ","        54"," ","  -21.7","0,0207, ","","","","","  38.9"," ,0,0318, ","   38.3","0,0716, ","-1.7","0,0914","-3.3","0,1014","-4.4","0,1025","-6.7","0,1106","-16.7","0,1122","0.0","0,0511","-5.6","0,0408","-5.6","0,0408","-6.7","0,0329","-13.9","0,0305","    3386.4","4","    3386.4","0","    354.0"," ,0","","","","","     10.37","0","     17.96","0","      2.78","0","","","       300","X","       330","X","      25.9","X","      26.4","X"
"USW00003017","2004","39.84657","-104.65623","1647.2","DENVER INTERNATIONAL AIRPORT, CO US","       4.5","X","    268.7","","     268.7","0","        82","0","        36","0","         2","0","","","","","         6","0","       157","0","        17","0","       158","0","        20","0","        97"," ","        22"," ","        55"," ","  -23.9","0,0105, ","","","","","  41.1"," ,0,0818, ","   37.2","0,0713, ","0.0","0,1014","-2.8","0,1029","-4.4","0,1031","-8.3","0,1102","-8.9","0,1127","-0.6","0,0514","-2.2","0,0501","-5.0","0,0412","-6.7","0,0304","-11.1","0,0213","    3236.0","0","    3236.0","0","    373.4"," ,0","","","","","     10.19","0","     17.77","0","      2.61","0","","","       280","X","       310","X","      21.5","X","      27.3","X"
