"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00120550","1947","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","","","","","","","","","","","","","","","         7"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00120550","1948","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       109","0","        82","0","        18","0","","","         7","0","","","","","         2"," ","","","","","","","   114"," ,0,0204, ","  74.9"," ,0,1215, ","","","","","","","","","","","","","","","","","","","","","","","","","   1400.9"," ,0","      436"," ,0","",""
"USC00120550","1949","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       111","0","        80","0","        16","0","        5","","         2","0","","","","","","","","","","","    76"," ,0,0131, ","    76"," ,0,0131, "," 106.7"," ,0,0124, ","","","","","","","","","","","","","","","","","","","","","","","","","   1382.2"," ,0","      139"," ,0","",""
"USC00120550","1950","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       138","0","        94","0","        20","0","       18","","         3","0","","","","","","","         4"," ","","","   102"," ,0,1127, ","    76"," ,0,1126, ","  72.4"," ,0,0104, ","","","","","","","","","","","","","","","","","","","","","","","","","   1500.3"," ,0","      234"," ,0","",""
"USC00120550","1951","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       120","0","        90","0","        11","0","       36","","        11","0","","","","","         2"," ","","","","","   178"," ,0,0202, ","   152"," ,0,0201,+","  45.7"," ,0,0221, ","","","","","","","","","","","","","","","","","","","","","","","","","   1107.0"," ,0","     1152"," ,0","",""
"USC00120550","1952","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       107","0","        76","0","         6","0","        7","","         3","0","","","","","","","","","","","   102"," ,0,1202, ","    76"," ,0,1202, ","  66.5"," ,0,0311, ","","","","","","","","","","","","","","","","","","","","","","","","","    938.0"," ,0","      211"," ,0","",""
"USC00120550","1953","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","        92","0","        69","0","         6","0","","","         5","0","","","","","","","","","","","","","   140"," ,0,0302, ","  49.3"," ,0,0722, ","","","","","","","","","","","","","","","","","","","","","","","","","    852.6"," ,0","      456"," ,0","",""
"USC00120550","1954","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       109","0","        73","0","         6","0","","","         5","0","","","","","","","","","","","","","    89"," ,0,1213,+","  47.0"," ,0,0803, ","","","","","","","","","","","","","","","","","","","","","","","","","    826.6"," ,0","      305"," ,0","",""
"USC00120550","1955","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       107","0","        77","0","        15","0","       11","","         7","0","","","","","","","","","","","    51"," ,0,1119,+","   102"," ,0,0326, ","  57.7"," ,0,0930, ","","","","","","","","","","","","","","","","","","","","","","","","","   1177.3"," ,0","      442"," ,0","",""
"USC00120550","1956","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       123","0","        73","0","         9","0","       16","","         9","0","","","","","","","","","","","   178"," ,0,0126, ","   152"," ,0,0119, ","  54.4"," ,0,0830, ","","","","","","","","","","","","","","","","","","","","","","","","","   1004.2"," ,0","      634"," ,0","",""
