"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES"
"USW00023180","1948","34.4","-118.55","370.0","NEWHALL AIRPORT, CA US","         5"," ","","","",""
"USW00023180","1949","34.4","-118.55","370.0","NEWHALL AIRPORT, CA US","        60"," ","    1880.3","3","    1880.3","0"
