"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00290205","1948","34.6","-104.38333","1314.9","SUMNER LAKE, NM US","","","","","        55","0","        27","0","         0","0","       13","","        10","0","","","","","","","","","","","         3"," ","","","   102"," ,0,0130,+","   107"," ,0,0128, ","  20.6"," ,0,0205, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    215.6"," ,0","      539"," ,0","","","","","","","",""
"USC00290205","1949","34.6","-104.38333","1314.9","SUMNER LAKE, NM US","    744.5","","     744.5","0","        72","0","        40","0","         2","0","       10","","         2","0","         2","0","       112","0","         8","0","       228","0","        67","0","         3"," ","  -20.6","0,0130, ","    51"," ,0,0126, ","    64"," ,0,1222, ","  38.4"," ,0,0930, ","   38.3","0,0617, ","-0.6","0,1025","-3.9","0,1031","-5.0","0,1202","-8.3","0,1211","-11.7","0,1212","-1.1","0,0405","-5.0","0,0402","-5.0","0,0402","-7.8","0,0209","-15.0","0,0201","    2145.4","4","    2145.4","0","    404.9"," ,0","      168"," ,0","     14.50","0","     22.65","0","      6.35","0","",""
"USC00290205","1950","34.6","-104.38333","1314.9","SUMNER LAKE, NM US","    680.3","","     680.3","0","        32","0","        19","0","         2","0","        0","","         0","0","         0","0","       100","0","         0","0","       255","0","        67","0","","","  -14.4","0,1207,+","     0","T,0,1206,+","     3"," ,0,1205,+","  63.8"," ,0,0706, ","   37.2","0,0614, ","-1.7","0,1103","-3.3","0,1104","-13.3","0,1110","-13.3","0,1110","-13.3","0,1110","0.0","0,0425","-2.8","0,0329","-4.4","0,0328","-7.2","0,0319","-11.1","0,0313","    1778.2","2","    1778.2","0","    268.2"," ,0","        6"," ,0","     15.68","0","     24.93","0","      6.43","0","",""
"USC00290205","1951","34.6","-104.38333","1314.9","SUMNER LAKE, NM US","    914.3","","     914.3","0","        44","0","        23","0","         0","0","","","         2","0","         2","0","       110","0","         4","0","       221","0","        97","0","","","  -25.0","0,0201, ","","","    94"," ,0,1208, ","  16.0"," ,0,0822, ","   40.6","0,0720,+","-1.7","0,1101","-12.2","0,1102","-12.2","0,1102","-12.2","0,1102","-12.2","0,1102","-1.1","0,0416","-3.3","0,0413","-6.1","0,0411","-8.3","0,0319","-10.6","0,0215","    1813.1","1","    1813.1","0","    148.2"," ,0","      163"," ,0","     15.51","0","     24.64","0","      6.37","0","",""
"USC00290205","1952","34.6","-104.38333","1314.9","SUMNER LAKE, NM US","","","","","        34","0","        18","0","         2","0","        5","","         1","0","","","","","","","","","","","","","","","    51"," ,0,1226,+","    56"," ,0,0103, ","  43.2"," ,0,0812, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    284.5"," ,0","       56"," ,0","","","","","","","",""
"USC00290205","1953","34.6","-104.38333","1314.9","SUMNER LAKE, NM US","","","","","        27","0","        16","0","         2","0","        0","","         1","0","","","","","","","","","","","","","","","     0","T,0,0210,+","    25"," ,0,0122, ","  33.0"," ,0,0718, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    198.2"," ,0","       28"," ,0","","","","","","","",""
"USC00290205","1954","34.6","-104.38333","1314.9","SUMNER LAKE, NM US","   1027.6","","    1027.6","0","        37","0","        18","0","         1","0","","","         1","0","         0","0","        86","0","         1","0","       245","0","       101","0","","","  -12.2","0,1229, ","","","    25"," ,0,0121, ","  58.9"," ,0,1006, ","   40.0","0,0727, ","-0.6","0,1028","-3.3","0,1129","-4.4","0,1209","-7.2","0,1217","-12.2","0,1229","-3.3","0,0331","-3.3","0,0331","-6.7","0,0314","-6.7","0,0314","-9.4","0,0303","","","","","    238.0"," ,0","       68"," ,0","     16.57","0","     25.13","0","      8.00","0","",""
"USC00290205","1955","34.6","-104.38333","1314.9","SUMNER LAKE, NM US","","","","","        40","0","        23","0","         2","0","        1","","         0","0","         0","0","       103","0","         0","0","       236","0","        76","0","","","  -13.3","0,0219, ","    25"," ,0,1204, ","    20"," ,0,1204, ","  50.8"," ,0,0722, ","   37.8","0,0625, ","-1.1","0,1024","-2.2","0,1030","-11.1","0,1108","-11.1","0,1108","-11.1","0,1108","-1.7","0,0406","-2.8","0,0404","-5.6","0,0402","-9.4","0,0327","-9.4","0,0327","","","","","    248.9"," ,0","       36"," ,0","     15.01","0","     23.55","0","      6.47","0","",""
"USC00290205","1956","34.6","-104.38333","1314.9","SUMNER LAKE, NM US","","","","","        27","0","        12","0","         0","0","        7","","","","         0","0","       110","0","         3","0","       231","0","       118","0","","","  -12.8","0,0206, ","   203"," ,0,0205, ","","","  20.3"," ,0,0730, ","   38.3","0,0715,+","0.0","0,1102","-2.8","0,1103","-6.7","0,1104","-6.7","0,1104","-8.9","0,1129","-2.2","0,0410","-2.2","0,0410","-10.6","0,0313","-10.6","0,0313","-10.6","0,0313","    1806.2","2","    1806.2","0","    100.4"," ,0","","","     15.64","0","     25.01","0","      6.28","0","",""
"USC00290205","1957","34.6","-104.38333","1314.9","SUMNER LAKE, NM US","    818.8","","     818.8","0","        53","0","        24","0","         0","0","","","         1","0","         0","0","        86","0","         0","0","       195","0","        75","0","","","  -14.4","0,0117, ","","","    79"," ,0,1224, ","  22.6"," ,0,1006, ","   41.1","0,0629, ","-0.6","0,1027","-2.8","0,1110","-4.4","0,1121","-11.1","0,1122","-11.1","0,1122","0.0","0,0414","-2.2","0,0412","-5.0","0,0307","-7.2","0,0129","-12.8","0,0118","","","","","    266.2"," ,0","      111"," ,0","     15.29","0","     23.08","0","      7.49","0","",""
"USC00290205","1958","34.6","-104.38333","1314.9","SUMNER LAKE, NM US","","","","","        55","0","        32","0","         5","0","","","         2","0","","","","","         2","0","       209","0","        87","0","","","","","","","    53"," ,0,1229, ","  53.6"," ,0,0821, ","   40.6","0,0714, ","","","","","","","","","","","","","","","","","","","","","","","","","    437.0"," ,0","      106"," ,0","","","     23.05","0","","","",""
"USC00290205","1959","34.6","-104.38333","1314.9","SUMNER LAKE, NM US","    825.7","","     825.7","0","        60","0","        37","0","         0","0","","","         0","0","         1","0","       115","0","         0","0","       221","0","        87","0","","","  -18.9","0,0104, ","","","    13"," ,0,0201, ","  17.3"," ,0,0603, ","   38.9","0,0803, ","-4.4","0,1105","-4.4","0,1105","-4.4","0,1105","-7.8","0,1106","-9.4","0,1117","-0.6","0,0412","-2.8","0,0322","-7.8","0,0321","-7.8","0,0321","-9.4","0,0203","    2017.1","1","    2017.1","0","    324.0"," ,0","       13"," ,0","     14.81","0","     23.49","0","      6.12","0","     53583","0"
"USC00290205","1960","34.6","-104.38333","1314.9","SUMNER LAKE, NM US","    727.8","","     727.8","0","        53","0","        32","0","         5","0","","","         0","0","         2","0","       107","0","         9","0","       216","0","        68","0","","","  -18.3","0,0106, ","","","     0"," ,0,1231,+"," 104.1"," ,0,0705, ","   39.4","0,0630, ","0.0","0,1020","-3.9","0,1110","-4.4","0,1118","-6.7","0,1123","-13.9","0,1210","0.0","0,0430","-3.9","0,0403","-7.8","0,0316","-7.8","0,0316","-9.4","0,0304","    2145.4","4","    2145.4","0","    570.2"," ,0","        0"," ,0","     14.04","0","     22.26","0","      5.83","0","     55164","0"
"USC00290205","1961","34.6","-104.38333","1314.9","SUMNER LAKE, NM US","    662.5","","     662.5","0","        52","0","        32","0","         1","0","","","         5","0","         0","0","       117","0","         4","0","       223","0","        66","0","","","  -16.1","0,1213,+","","","   102"," ,0,1211,+","  38.4"," ,0,0912, ","   37.8","0,0718, ","-2.2","0,1026","-2.2","0,1026","-4.4","0,1114","-7.2","0,1115","-11.1","0,1211","0.0","0,0417","-2.8","0,0415","-6.1","0,0309","-6.7","0,0301","-9.4","0,0207","    2267.8","8","    2267.8","0","    275.8"," ,0","      425"," ,0","     13.87","0","     22.54","0","      5.20","0","     55553","0"
"USC00290205","1962","34.6","-104.38333","1314.9","SUMNER LAKE, NM US","    721.2","","     721.2","0","        52","0","        27","0","         1","0","        4","","         2","0","         2","0","       111","0","         2","0","       224","0","        84","0","","","  -22.8","0,0111, ","    51"," ,0,1225, ","    51"," ,0,1225, ","  25.4"," ,0,0709, ","   38.9","0,0828,+","0.0","0,1103","-4.4","0,1108","-4.4","0,1108","-7.8","0,1118","-8.9","0,1213","-1.1","0,0501","-3.9","0,0401","-4.4","0,0317","-12.2","0,0315","-12.2","0,0315","    2235.3","3","    2235.3","0","    271.0"," ,0","       76"," ,0","     14.52","0","     23.47","0","      5.56","0","     51744","0"
"USC00290205","1963","34.6","-104.38333","1314.9","SUMNER LAKE, NM US","    755.7","","     755.7","0","        54","0","        32","0","         3","0","       11","","","","         5","0","       114","0","         7","0","       238","0","        75","0","","","  -31.1","0,0113, ","   203"," ,0,0112,+","","","  64.8"," ,0,0831, ","   39.4","0,0724,+","-1.1","0,1102","-3.9","0,1118","-5.0","0,1123","-6.7","0,1126","-8.9","0,1208","0.0","0,0406","-2.2","0,0321","-5.6","0,0320","-6.7","0,0309","-8.9","0,0307","    2138.5","5","    2138.5","0","    371.2"," ,0","","","     14.48","0","     23.58","0","      5.38","0","     52033","0"
"USC00290205","1964","34.6","-104.38333","1314.9","SUMNER LAKE, NM US","    864.4","","     864.4","0","        37","0","        13","0","         2","0","        5","","","","         1","0","       117","0","         3","0","       224","0","        93","0","","","  -18.3","0,0113, ","    76"," ,0,0204, ","","","  38.6"," ,0,0711, ","   39.4","0,0704, ","0.0","0,1020","-3.3","0,1120","-6.1","0,1122","-6.7","0,1130","-11.7","0,1208","0.0","0,0509","-3.3","0,0408","-6.7","0,0327","-6.7","0,0327","-11.1","0,0228","    2256.7","7","    2256.7","0","    155.1"," ,0","","","     14.60","0","     23.21","0","      5.99","0","     58796","0"
"USC00290205","1965","34.6","-104.38333","1314.9","SUMNER LAKE, NM US","    729.2","","     729.2","0","        45","0","        29","0","         3","0","        3","","         1","0","         0","0","        90","0","         2","0","       232","0","        70","0","","","  -13.9","0,0224, ","    76"," ,0,0208, ","    76"," ,0,0208, ","  37.1"," ,0,0513, ","   37.8","0,0719,+","-7.8","0,1129","-7.8","0,1129","-7.8","0,1129","-7.8","0,1129","-9.4","0,1216","-2.2","0,0330","-2.2","0,0330","-6.1","0,0326","-7.8","0,0324","-11.1","0,0320","    2003.1","1","    2003.1","0","    284.7"," ,0","       89"," ,0","     14.93","0","     23.35","0","      6.50","0","     53740","0"
"USC00290205","1966","34.6","-104.38333","1314.9","SUMNER LAKE, NM US","    777.3","","     777.3","0","        37","0","        24","0","         3","0","        8","","         1","0","         3","0","       112","0","         3","0","       233","0","        67","0","","","  -21.1","0,0122, ","   102"," ,0,0122,+","    51"," ,0,1227, ","  43.2"," ,0,0822, ","   38.3","0,0801,+","-0.6","0,1015","-2.2","0,1019","-5.0","0,1102","-6.7","0,1202","-12.8","0,1210","-1.7","0,0420","-2.2","0,0406","-6.1","0,0323","-9.4","0,0305","-9.4","0,0305","    2046.4","4","    2046.4","0","    254.6"," ,0","       51"," ,0","     14.49","0","     23.07","0","      5.91","0","     48573","0"
"USC00290205","1967","34.6","-104.38333","1314.9","SUMNER LAKE, NM US","    707.6","","     707.6","0","        52","0","        24","0","         2","0","        7","","         0","0","         0","0","        97","0","         3","0","       246","0","        56","0","","","  -14.4","0,0108, ","   127"," ,0,1216, ","     0"," ,0,1231,+","  51.3"," ,0,0804, ","   37.2","0,0727, ","0.0","0,1030","-3.3","0,1031","-5.6","0,1103","-6.7","0,1203","-11.7","0,1210","-1.7","0,0502","-2.8","0,0309","-11.1","0,0308","-11.1","0,0308","-11.1","0,0308","    1852.7","7","    1852.7","0","    246.0"," ,0","        0"," ,0","     14.98","0","     23.37","0","      6.59","0","",""
"USC00290205","1968","34.6","-104.38333","1314.9","SUMNER LAKE, NM US","    654.6","","     654.6","0","        46","0","        30","0","         3","0","        5","","         0","0","         0","0","        98","0","         2","0","       219","0","        60","0","","","  -12.2","0,1231, ","    51"," ,0,0108, ","    13"," ,0,0214,+","  38.6"," ,0,0829, ","   40.6","0,0628, ","-2.2","0,1018","-2.2","0,1018","-4.4","0,1111","-6.7","0,1129","-9.4","0,1220","-3.3","0,0419","-3.3","0,0419","-6.7","0,0322","-6.7","0,0322","-9.4","0,0312","    2158.2","2","    2158.2","0","    374.0"," ,0","       26"," ,0","     14.42","0","     22.83","0","      6.01","0","",""
"USC00290205","1969","34.6","-104.38333","1314.9","SUMNER LAKE, NM US","    827.0","","     827.0","0","        67","0","        35","0","         2","0","        8","","         5","0","         0","0","       102","0","         3","0","       203","0","        78","0","","","  -14.4","0,1230, ","   102"," ,0,1229, ","    76"," ,0,0305, ","  45.7"," ,0,1022, ","   39.4","0,0730, ","-2.2","0,1013","-2.2","0,1013","-4.4","0,1115","-8.3","0,1119","-14.4","0,1230","0.0","0,0330","-2.8","0,0327","-5.0","0,0326","-7.8","0,0316","-10.0","0,0309","    2014.9","9","    2014.9","0","    458.4"," ,0","      254"," ,0","     14.82","0","     22.69","0","      6.95","0","",""
"USC00290205","1970","34.6","-104.38333","1314.9","SUMNER LAKE, NM US","","","","","        34","0","        22","0","         3","0","","","","","         0","0","       107","0","","","","","","","","","  -17.2","0,0107, ","","","","","  68.6"," ,0,0724, ","","","-0.6","0,1008","-3.9","0,1028","-4.4","0,1029","-6.7","0,1115","","","-0.6","0,0406","-3.3","0,0405","-5.0","0,0328","-8.3","0,0203","-10.0","0,0131","    2125.7","7","    2125.7","0","    300.9"," ,0","","","","","","","      6.42","0","",""
"USC00290205","1971","34.6","-104.38333","1314.9","SUMNER LAKE, NM US","    680.1","","     680.1","0","        48","0","        30","0","         0","0","       13","","         4","0","         3","0","       106","0","         6","0","       229","0","        64","0","","","  -23.9","0,0106,+","   152"," ,0,1202, ","   102"," ,0,1201, ","  21.3"," ,0,0924, ","   37.8","0,0704, ","-0.6","0,1020","-2.2","0,1107","-5.0","0,1202","-8.9","0,1203","-8.9","0,1203","-0.6","0,0509","-4.4","0,0422","-4.4","0,0422","-7.2","0,0319","-9.4","0,0307","","","","","    235.5"," ,0","      280"," ,0","     14.28","0","     22.80","0","      5.76","0","",""
"USC00290205","1973","34.6","-104.38333","1314.9","SUMNER LAKE, NM US","","","","","        40","0","        26","0","         0","0","","","         1","0","","","","","","","","","","","","","","","","","   147"," ,0,0222, ","  24.4"," ,0,0330, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    248.0"," ,0","      147"," ,0","","","","","","","",""
"USC00290205","1974","34.6","-104.38333","1314.9","SUMNER LAKE, NM US","","","","","        51","0","        29","0","         1","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0","T,0,0110, ","  29.0"," ,0,0805, ","","","","","","","","","","","","","","","","","","","","","","","    1857.9","9","    1857.9","0","    273.4"," ,0","        0","T,0","","","","","","","",""
