"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00013967","1948","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","   1092.8","","    1092.8","0","        85","0","        52","0","         6","0","       16","","         6","0","         0","0","        87","0","        20","0","       216","0","        74","0","        58"," ","","","        54"," ","  -17.2","0,0311, ","   203"," ,0,0310, ","   213"," ,0,0310, ","  85.6"," ,0,0621, ","   38.9","0,0820, ","0.0","0,1109","-2.2","0,1120","-5.0","0,1129","-7.2","0,1230","","","-2.2","0,0328","-2.2","0,0328","-7.8","0,0313","-7.8","0,0313","-16.1","0,0312","","","","","","","","","","","","","","","","","    766.0"," ,0","","","      486"," ,0","     15.29","0","     21.30","0","      9.28","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013967","1949","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","    983.9","","     983.9","0","        98","0","        58","0","         6","0","       24","","         6","0","         0","0","        81","0","        18","0","       205","0","        53","0","        72"," ","","","        62"," ","  -16.7","0,0130, ","   152"," ,0,0130,+","   188"," ,0,0118, ","  78.2"," ,0,0517, ","   37.8","0,0719, ","-1.1","0,1031","-2.2","0,1121","-5.0","0,1212","-6.7","0,1214","","","-3.9","0,0318","-3.9","0,0318","-7.2","0,0214","-7.2","0,0214","-10.6","0,0201","    2155.4","4","","","    2155.4","0","","","","","","","","","","","    771.9"," ,0","","","      460"," ,0","     15.21","0","     21.02","0","      9.39","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013967","1950","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","    836.3","","     836.3","X","        69","X","        40","X","         8","X","        1","","         1","X","         0","X","        85","X","         9","X","       212","X","        26","X","        69"," ","","","        55"," ","  -15.0","X,1207,+","    25"," ,X,0103, ","    33"," ,X,1205, "," 114.8"," ,X,0510, ","   35.6","X,0808, ","-0.6","0,1103","-3.3","0,1104","-6.7","0,1110","-6.7","0,1110","-9.4","0,1124","-0.6","0,0406","-5.0","0,0320","-5.0","0,0320","-10.0","0,0313","-10.0","0,0313","    1930.1","1","","","    1930.1","X","","","","","","","","","","","    770.4"," ,X","","","       56"," ,X","     15.09","X","     21.33","X","      8.85","X","","","","","","","","","","","","","","","","","","","","","",""
"USW00013967","1951","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","   1061.6","","    1061.6","0","        89","0","        55","0","         8","0","        5","","         4","0","         1","0","        84","0","        11","0","       196","0","        68","0","        56"," ","","","        60"," ","  -18.3","0,0201, ","   203"," ,0,0215, ","   114"," ,0,0214, ","  80.5"," ,0,0517, ","   40.6","0,0817,+","0.0","0,1031","-4.4","0,1102","-4.4","0,1102","-6.7","0,1106","-9.4","0,1214","-1.1","0,0412","-3.3","0,0321","-4.4","0,0319","-10.0","0,0216","-10.0","0,0216","    2074.7","7","","","    2074.7","0","","","","","","","","","","","    821.3"," ,0","","","      322"," ,0","     15.21","0","     21.43","0","      8.99","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013967","1952","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","   1178.3","","    1178.3","0","        74","0","        42","0","         3","0","        6","","         3","0","         0","0","        71","0","         6","0","       205","0","        88","0","        53"," ","","","        41"," ","   -8.9","0,0123, ","    51"," ,0,0103,+","    76"," ,0,0224, ","  78.5"," ,0,0523, ","   41.1","0,0816, ","0.0","0,1007","-3.3","0,1111","-5.0","0,1126","-7.2","0,1215","","","-2.2","0,0410","-2.2","0,0410","-5.0","0,0323","-7.8","0,0304","-8.9","0,0123","    2035.3","3","","","    2035.3","0","","","","","","","","","","","    589.5"," ,0","","","      186"," ,0","     16.08","0","     22.27","0","      9.89","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013967","1953","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","   1164.5","","    1164.5","0","        74","0","        45","0","         9","0","        4","","         2","0","         0","0","        64","0","         3","0","       196","0","        91","0","        54"," ","","","        52"," ","  -12.8","0,0116, ","    51"," ,0,0117, ","    43"," ,0,0116, ","  86.1"," ,0,0405, ","   40.6","0,0620,+","-1.1","0,1108","-2.2","0,1109","-10.0","0,1222","-10.0","0,1222","-10.0","0,1222","-1.1","0,0418","-2.2","0,0304","-5.0","0,0222","-8.9","0,0221","-8.9","0,0221","    1960.9","9","","","    1960.9","0","","","","","","","","","","","    775.3"," ,0","","","      113"," ,0","     16.29","0","     22.47","0","     10.11","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013967","1954","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","   1359.4","","    1359.4","0","        61","0","        35","0","         2","0","        8","","         5","0","         0","0","        74","0","         7","0","       218","0","       107","0","        42"," ","","","        40"," ","  -16.1","0,0121, ","   102"," ,0,1230,+","   102"," ,0,1228, ","  41.4"," ,0,0501, ","   41.7","0,0714,+","0.0","0,1030","-4.4","0,1102","-4.4","0,1102","-7.8","0,1213","-11.7","0,1230","0.0","0,0503","-2.8","0,0330","-8.3","0,0314","-8.3","0,0314","-8.9","0,0303","    1882.1","1","","","    1882.1","0","","","","","","","","","","","    453.9"," ,0","","","      313"," ,0","     17.05","0","     23.79","0","     10.31","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013967","1955","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","   1077.0","","    1077.0","0","        68","0","        43","0","        10","0","        4","","         2","0","         0","0","       100","0","         3","0","       218","0","        69","0","        63"," ","","","        49"," ","  -12.2","0,0211, ","    76"," ,0,0322,+","    81"," ,0,0321, "," 114.8"," ,0,1002, ","   37.2","0,0806,+","-2.8","0,1102","-2.8","0,1102","-4.4","0,1103","-9.4","0,1116","-9.4","0,1116","-3.9","0,0328","-3.9","0,0328","-7.8","0,0327","-7.8","0,0327","-10.6","0,0326","    1916.0","0","","","    1916.0","0","","","","","","","","","","","    951.0"," ,0","","","      173"," ,0","     15.46","0","     21.88","0","      9.04","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013967","1956","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","   1296.3","","    1296.3","0","        69","0","        42","0","         5","0","        8","","         4","0","         0","0","        83","0","        10","0","       218","0","       101","0","        54"," ","","","        49"," ","  -12.2","0,0119, ","    51"," ,0,1209,+","    64"," ,0,0210, ","  62.2"," ,0,1014, ","   41.7","0,0816,+","0.0","0,1108","-5.0","0,1116","-5.0","0,1116","-8.3","0,1129","","","0.0","0,0411","-3.3","0,0316","-7.8","0,0312","-7.8","0,0312","-11.1","0,0202","    2207.6","6","","","    2207.6","0","","","","","","","","","","","    573.5"," ,0","","","      198"," ,0","     16.24","0","     22.88","0","      9.59","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013967","1957","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","    907.7","","     907.7","0","       101","0","        62","0","        11","0","        0","","         0","0","         0","0","        69","0","        10","0","       171","0","        60","0","       110"," ","","","        58"," ","  -12.8","0,0110, ","     0","T,0,1122,+","    18"," ,0,0412, ","  91.7"," ,0,0914, ","   38.9","0,0729, ","-1.7","0,1025","-3.3","0,1026","-5.6","0,1027","-10.6","0,1211","-10.6","0,1211","-2.2","0,0414","-2.2","0,0414","-6.7","0,0413","-6.7","0,0413","-8.9","0,0127","    2116.2","2","","","    2116.2","0","","","","","","","","","","","   1068.3"," ,0","","","       21"," ,0","     14.71","0","     20.14","0","      9.27","0","","","","","","","","","","","","","","","","","","","","","",""
