"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SAM00041061","1999","20.504","45.2","628.5","WADI AL DAWASIR, SA","","","","","         0","S","         0","S","         0","S","       340","S","       234","S","    3.0","S,1220, ","   46.5","S,0627, ","","","","","     27.84","S","     36.66","S","     19.03","S"
"SAM00041061","2001","20.504","45.2","628.5","WADI AL DAWASIR, SA","   3383.8","","    3383.8","S","         0","S","         0","S","         0","S","       347","S","       244","S","    2.0","S,0202,+","   47.0","S,0813, ","     157.4","4","     157.4","S","     27.45","S","     36.29","S","     18.60","S"
"SAM00041061","2002","20.504","45.2","628.5","WADI AL DAWASIR, SA","   3332.0","","    3332.0","S","         0","S","         0","S","         0","S","       344","S","       228","S","    5.0","S,0207, ","   48.0","S,0709, ","      72.9","9","      72.9","S","     27.69","S","     36.15","S","     19.23","S"
"SAM00041061","2003","20.504","45.2","628.5","WADI AL DAWASIR, SA","","","","","","","","","         0","S","       344","S","       244","S","","","   47.0","S,0509,+","","","","","","","     36.56","S","",""
"SAM00041061","2004","20.504","45.2","628.5","WADI AL DAWASIR, SA","","","","","","","","","         0","S","       338","S","       239","S","","","   47.0","S,0727,+","","","","","","","     36.20","S","",""
"SAM00041061","2006","20.504","45.2","628.5","WADI AL DAWASIR, SA","","","","","         0","S","         0","S","         0","S","       333","S","       233","S","    6.0","S,1230,+","   46.5","S,0810, ","","","","","     27.76","S","     35.66","S","     19.86","S"
"SAM00041061","2007","20.504","45.2","628.5","WADI AL DAWASIR, SA","","","","","         0","S","         0","S","         0","S","       343","S","       238","S","    3.0","S,0104, ","   47.0","S,0801, ","","","","","     27.87","S","     35.93","S","     19.79","S"
"SAM00041061","2008","20.504","45.2","628.5","WADI AL DAWASIR, SA","","","","","         0","S","         0","S","         0","S","       340","S","       232","S","    2.0","S,1221,+","   46.0","S,0804,+","","","","","     27.38","S","     35.50","S","     19.26","S"
"SAM00041061","2009","20.504","45.2","628.5","WADI AL DAWASIR, SA","   3550.2","","    3550.2","S","         0","S","         0","S","         0","S","       349","S","       252","S","    3.0","S,0116, ","   46.0","S,0811,+","     150.3","3","     150.3","S","     28.22","S","     36.32","S","     20.12","S"
"SAM00041061","2010","20.504","45.2","628.5","WADI AL DAWASIR, SA","   3499.3","","    3499.3","S","         0","S","         0","S","         0","S","       357","S","       244","S","    4.0","S,1205,+","   48.0","S,0717,+","      58.2","2","      58.2","S","     28.17","S","     36.45","S","     19.89","S"
"SAM00041061","2011","20.504","45.2","628.5","WADI AL DAWASIR, SA","","","","","         0","S","         0","S","         0","S","       333","S","       236","S","    4.0","S,1215,+","   48.0","S,0612, ","     127.1","1","     127.1","S","     27.50","S","     35.40","S","     19.59","S"
"SAM00041061","2012","20.504","45.2","628.5","WADI AL DAWASIR, SA","","","","","","","","","         0","S","       339","S","       231","S","","","   48.0","S,0720, ","","","","","","","     35.79","S","",""
"SAM00041061","2013","20.504","45.2","628.5","WADI AL DAWASIR, SA","","","","","","","","","         0","S","       341","S","       224","S","","","   47.0","S,0720,+","","","","","","","     35.27","S","",""
"SAM00041061","2015","20.504","45.2","628.5","WADI AL DAWASIR, SA","","","","","","","","","         0","S","       339","S","       246","S","","","   47.0","S,0730,+","      70.7","7","      70.7"," ","","","     36.32","S","",""
"SAM00041061","2016","20.504","45.2","628.5","WADI AL DAWASIR, SA","","","","","","","","","         0","S","       341","S","       225","S","","","   48.0","S,0804, ","","","","","","","     35.65","S","",""
"SAM00041061","2018","20.504","45.2","628.5","WADI AL DAWASIR, SA","","","","","         0","S","         0","S","","","","","","","    3.0","S,0116,+","","","","","","","","","","","     20.63","S"
"SAM00041061","2022","20.504","45.2","628.5","WADI AL DAWASIR, SA","","","","","","","","","         0","S","       342","S","       235","S","","","   48.0","S,0809,+","","","","","","","     35.99","S","",""
"SAM00041061","2023","20.504","45.2","628.5","WADI AL DAWASIR, SA","","","","","","","","","         0","S","       317","S","       205","S","","","   47.0","S,0717,+","","","","","","","     35.76","S","",""
