"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00023034","1935","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1238.7","","    1238.7","0","","","","","","","","","","","         0","0","        30","0","         1","0","       247","0","        89","0","","","","","","","  -11.1","0,0122,+","","","","","","","   39.4","0,0810, ","0.0","0,1111","-2.8","0,1217","","","","","","","-5.0","0,0227","-5.0","0,0227","-5.0","0,0227","-7.2","0,0123","-11.1","0,0122","    1047.9","9","","","    1047.9","0","","","","","","","","","","","","","","","     18.30","0","     24.81","0","     11.79","0","","","","","","","","","","","","","","","",""
"USW00023034","1936","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1418.0","","    1418.0","0","","","","","","","","","","","         0","0","        60","0","         5","0","       247","0","       118","0","","","","","","","  -11.1","0,0218,+","","","","","","","   41.7","0,0813,+","-3.3","0,1104","-3.3","0,1104","","","","","","","0.0","0,0408","-2.8","0,0221","-6.7","0,0220","-6.7","0,0220","-10.6","0,0219","    1449.3","3","","","    1449.3","0","","","","","","","","","","","","","","","     18.07","0","     25.22","0","     10.91","0","","","","","","","","","","","","","","","",""
"USW00023034","1937","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1411.1","","    1411.1","0","","","","","","","","","","","         0","0","        67","0","         4","0","       244","0","       128","0","","","","","","","   -9.4","0,0110, ","","","","","","","   41.1","0,0811, ","-2.8","0,1117","-2.8","0,1117","-4.4","0,1119","","","","","-0.6","0,0331","-2.8","0,0328","-6.1","0,0228","-7.2","0,0124","-9.4","0,0110","    1590.5","5","","","    1590.5","0","","","","","","","","","","","","","","","     17.89","0","     24.97","0","     10.80","0","","","","","","","","","","","","","","","",""
"USW00023034","1938","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1424.4","","    1424.4","0","","","","","","","","","","","         0","0","        49","0","         0","0","       274","0","       126","0","","","","","","","   -7.8","0,1124,+","","","","","","","   39.4","0,0708,+","-1.1","0,1107","-3.9","0,1108","-7.8","0,1124","-7.8","0,1124","","","-0.6","0,0410","-2.2","0,0408","-7.8","0,0201","-7.8","0,0201","","","    1249.9","9","","","    1249.9","0","","","","","","","","","","","","","","","     18.87","0","     26.24","0","     11.49","0","","","","","","","","","","","","","","","",""
"USW00023034","1939","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1529.8","","    1529.8","0","","","","","","","","","","","         0","0","        50","0","         1","0","       263","0","       139","0","","","","","","","   -7.8","0,0222, ","","","","","","","   41.1","0,0709, ","-2.2","0,1126","-2.2","0,1126","-5.0","0,1228","","","","","0.0","0,0317","-2.2","0,0303","-7.2","0,0223","-7.2","0,0223","","","    1326.8","8","","","    1326.8","0","","","","","","","","","","","","","","","     18.94","0","     26.40","0","     11.49","0","","","","","","","","","","","","","","","",""
"USW00023034","1940","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1255.0","","    1255.0","0","","","","","","","","","","","         0","0","        56","0","         7","0","       255","0","       109","0","","","","","","","  -12.2","0,0123, ","","","","","","","   40.6","0,0829,+","0.0","0,1016","-3.3","0,1113","-7.2","0,1114","-7.2","0,1114","","","-0.6","0,0413","-2.8","0,0314","-7.8","0,0128","-7.8","0,0128","-10.0","0,0126","    1491.1","1","","","    1491.1","0","","","","","","","","","","","","","","","     17.63","0","     24.99","0","     10.27","0","","","","","","","","","","","","","","","",""
"USW00023034","1943","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1443.1","","    1443.1","0","","","","","","","","","","","         0","0","        61","0","         2","0","       270","0","       132","0","","","","","","","  -13.9","0,0120, ","","","","","","","   43.9","0,0804, ","-1.1","0,1108","-2.2","0,1109","-6.7","0,1215","-6.7","0,1215","","","-1.1","0,0309","-7.2","0,0308","-7.2","0,0308","-7.2","0,0308","-10.6","0,0304","    1384.9","9","","","    1384.9","0","","","","","","","","","","","","","","","     18.41","0","     26.59","0","     10.22","0","","","","","","","","","","","","","","","",""
"USW00023034","1945","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1314.4","","    1314.4","0","        61","0","        34","0","         6","0","","","","","         0","0","        51","0","         0","0","       265","0","       126","0","","","","","","","   -7.8","0,1228, ","","","","","  46.0"," ,0,0929, ","   40.0","0,0820, ","-3.9","0,1122","-3.9","0,1122","-7.2","0,1215","-7.2","0,1215","","","0.0","0,0407","-2.8","0,0228","-5.0","0,0227","","","","","    1244.1","1","","","    1244.1","0","","","","","","","","","","","    482.0"," ,0","","","     18.51","0","     26.26","0","     10.76","0","","","","","","","","","","","","","","","",""
"USW00023034","1946","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1439.2","","    1439.2","0","        53","0","        21","0","         2","0","","","","","         0","0","        47","0","         1","0","       279","0","       115","0","","","","","         3"," ","  -12.8","0,0122, ","","","","","  37.6"," ,0,1211, ","   40.0","0,0715, ","-1.1","0,1127","-2.2","0,1218","-6.1","0,1229","-8.3","0,1231","","","0.0","0,0310","-4.4","0,0216","-4.4","0,0216","-6.7","0,0211","-12.2","0,0123","    1268.2","2","","","    1268.2","0","","","","","","","","","","","    276.0"," ,0","","","     19.10","0","     26.44","0","     11.76","0","","","","","","","","","","","","","","","",""
"USW00023034","1947","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","         6"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1570.9","9","","","    1570.9","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00023034","1948","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1457.4","","    1457.4","0","        38","0","        25","0","         1","0","        0","","         0","0","         0","0","        49","0","         6","0","       263","0","       117","0","        25"," ","","","        36"," ","  -11.7","0,0128, ","     0","T,0,0212,+","    13"," ,0,0123, ","  33.3"," ,0,0705, ","   40.0","0,0606, ","-2.2","0,1110","-2.2","0,1110","-7.2","0,1129","-7.2","0,1129","","","-1.7","X,0313","-10.6","X,0312","-10.6","X,0312","-10.6","X,0312","-10.6","X,0312","","","","","","","","","","","","","","","","","    318.0"," ,0","       16"," ,0","     18.53","0","     25.33","0","     11.73","0","","","","","","","","","","","","","","","",""
"USW00023034","1949","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1249.7","","    1249.7","0","        75","0","        44","0","         7","0","        4","","         3","0","         0","0","        35","0","         6","0","       258","0","        91","0","        36"," ","","","        54"," ","  -13.9","0,0131, ","   102"," ,0,0130, ","    76"," ,0,0129, ","  57.2"," ,0,1023, ","   38.9","0,0814, ","0.0","0,1031","-5.0","0,1215","-5.0","0,1215","","","","","0.0","0,0302","-11.1","0,0201","-11.1","0,0201","-11.1","0,0201","-11.1","0,0201","    1380.7","7","","","    1380.7","0","","","","","","","","","","","    623.1"," ,0","      177"," ,0","     18.03","0","     24.33","0","     11.73","0","","","","","","","","","","","","","","","",""
"USW00023034","1950","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1336.7","","    1336.7","0","        52","0","        28","0","         6","0","        0","","         0","0","         0","0","        45","0","         2","0","       266","0","        97","0","        33"," ","","","        53"," ","  -11.7","0,1206, ","     0"," ,0,1231,+","     0","T,0,1205,+","  40.1"," ,0,0510, ","   36.7","0,0824,+","-4.4","0,1104","-4.4","0,1104","-4.4","0,1104","-8.3","0,1111","-11.7","0,1206","-1.7","0,0314","-3.9","0,0313","-6.1","0,0107","-6.7","0,0105","","","    1083.4","4","","","    1083.4","0","","","","","","","","","","","    388.4"," ,0","        0","T,0","     18.88","0","     25.84","0","     11.92","0","","","","","","","","","","","","","","","",""
