"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00078086","1899","-36.14","141.9878","85.0","JEPARIT, AS","        48","a","        34","a","         2","a","","","","","","","","","","","","","  51.8"," ,a,0302, ","","","","","","","","","    320.5"," ,a","","","","","",""
"ASN00078086","1900","-36.14","141.9878","85.0","JEPARIT, AS","        63","a","        41","a","         2","a","","","","","","","","","","","","","  41.7"," ,a,0517, ","","","","","","","","","    350.6"," ,a","","","","","",""
"ASN00078086","1901","-36.14","141.9878","85.0","JEPARIT, AS","        55","a","        35","a","         0","a","","","","","","","","","","","","","  22.9"," ,a,1029, ","","","","","","","","","    299.3"," ,a","","","","","",""
"ASN00078086","1905","-36.14","141.9878","85.0","JEPARIT, AS","       106","a","        38","a","         1","a","","","","","","","","","","","","","  28.7"," ,a,0629, ","","","","","","","","","    344.3"," ,a","","","","","",""
"ASN00078086","1906","-36.14","141.9878","85.0","JEPARIT, AS","        91","a","        51","a","         1","a","","","","","","","","","","","","","  36.1"," ,a,0524, ","","","","","","","","","    407.6"," ,a","","","","","",""
"ASN00078086","1907","-36.14","141.9878","85.0","JEPARIT, AS","        83","a","        35","a","         1","a","","","","","","","","","","","","","  26.4"," ,a,0406, ","","","","","","","","","    332.4"," ,a","","","","","",""
"ASN00078086","1908","-36.14","141.9878","85.0","JEPARIT, AS","        78","a","        34","a","         3","a","","","","","","","","","","","","","  37.8"," ,a,0902, ","","","","","","","","","    377.8"," ,a","","","","","",""
"ASN00078086","1909","-36.14","141.9878","85.0","JEPARIT, AS","       105","a","        51","a","         1","a","","","","","","","","","","","","","  38.1"," ,a,0819, ","","","","","","","","","    473.5"," ,a","","","","","",""
"ASN00078086","1910","-36.14","141.9878","85.0","JEPARIT, AS","       120","a","        44","a","         2","a","","","","","","","","","","","",""," 127.3"," ,a,0306, ","","","","","","","","","    562.3"," ,a","","","","","",""
"ASN00078086","1911","-36.14","141.9878","85.0","JEPARIT, AS","       105","a","        41","a","         3","a","","","","","","","","","","","","","  89.4"," ,a,0208, ","","","","","","","","","    492.1"," ,a","","","","","",""
"ASN00078086","1912","-36.14","141.9878","85.0","JEPARIT, AS","        95","a","        50","a","         2","a","","","","","","","","","","","","","  29.5"," ,a,0208, ","","","","","","","","","    393.5"," ,a","","","","","",""
"ASN00078086","1913","-36.14","141.9878","85.0","JEPARIT, AS","        80","a","        32","a","         3","a","","","","","","","","","","","","","  61.0"," ,a,0919, ","","","","","","","","","    400.6"," ,a","","","","","",""
"ASN00078086","1914","-36.14","141.9878","85.0","JEPARIT, AS","        65","a","        24","a","         1","a","","","","","","","","","","","","","  36.6"," ,a,1223, ","","","","","","","","","    260.4"," ,a","","","","","",""
"ASN00078086","1915","-36.14","141.9878","85.0","JEPARIT, AS","        98","a","        40","a","         1","a","","","","","","","","","","","","","  39.4"," ,a,0919, ","","","","","","","","","    398.3"," ,a","","","","","",""
"ASN00078086","1916","-36.14","141.9878","85.0","JEPARIT, AS","       103","a","        53","a","         2","a","","","","","","","","","","","","","  46.5"," ,a,1202, ","","","","","","","","","    529.2"," ,a","","","","","",""
"ASN00078086","1917","-36.14","141.9878","85.0","JEPARIT, AS","       104","a","        61","a","         1","a","","","","","","","","","","","","","  29.5"," ,a,0222, ","","","","","","","","","    451.0"," ,a","","","","","",""
"ASN00078086","1918","-36.14","141.9878","85.0","JEPARIT, AS","        76","a","        35","a","         2","a","","","","","","","","","","","","","  35.6"," ,a,0218, ","","","","","","","","","    330.8"," ,a","","","","","",""
"ASN00078086","1919","-36.14","141.9878","85.0","JEPARIT, AS","        75","a","        33","a","         3","a","","","","","","","","","","","","","  42.9"," ,a,0218, ","","","","","","","","","    352.4"," ,a","","","","","",""
"ASN00078086","1920","-36.14","141.9878","85.0","JEPARIT, AS","        95","a","        43","a","         1","a","","","","","","","","","","","","","  31.0"," ,a,1023, ","","","","","","","","","    402.8"," ,a","","","","","",""
"ASN00078086","1921","-36.14","141.9878","85.0","JEPARIT, AS","        75","a","        42","a","         2","a","","","","","","","","","","","","","  45.7"," ,a,0102, ","","","","","","","","","    408.7"," ,a","","","","","",""
"ASN00078086","1922","-36.14","141.9878","85.0","JEPARIT, AS","        90","a","        45","a","         1","a","","","","","","","","","","","","","  26.2"," ,a,0502, ","","","","","","","","","    365.9"," ,a","","","","","",""
"ASN00078086","1923","-36.14","141.9878","85.0","JEPARIT, AS","        84","a","        50","a","         3","a","","","","","","","","","","","","","  39.1"," ,a,1216, ","","","","","","","","","    406.1"," ,a","","","","","",""
"ASN00078086","1924","-36.14","141.9878","85.0","JEPARIT, AS","        87","a","        50","a","         3","a","","","","","","","","","","","","","  62.0"," ,a,1106, ","","","","","","","","","    478.6"," ,a","","","","","",""
"ASN00078086","1925","-36.14","141.9878","85.0","JEPARIT, AS","        76","a","        43","a","         0","a","","","","","","","","","","","","","  15.5"," ,a,0513, ","","","","","","","","","    278.0"," ,a","","","","","",""
"ASN00078086","1926","-36.14","141.9878","85.0","JEPARIT, AS","        70","a","        36","a","         2","a","","","","","","","","","","","","","  38.1"," ,a,0531, ","","","","","","","","","    329.2"," ,a","","","","","",""
"ASN00078086","1927","-36.14","141.9878","85.0","JEPARIT, AS","        70","a","        38","a","         0","a","","","","","","","","","","","","","  13.5"," ,a,0901,+","","","","","","","","","    248.1"," ,a","","","","","",""
"ASN00078086","1928","-36.14","141.9878","85.0","JEPARIT, AS","        80","a","        45","a","         2","a","","","","","","","","","","","","","  33.8"," ,a,0213, ","","","","","","","","","    401.7"," ,a","","","","","",""
"ASN00078086","1929","-36.14","141.9878","85.0","JEPARIT, AS","        82","a","        33","a","         1","a","","","","","","","","","","","","","  40.6"," ,a,1228, ","","","","","","","","","    268.7"," ,a","","","","","",""
"ASN00078086","1930","-36.14","141.9878","85.0","JEPARIT, AS","        89","a","        46","a","         3","a","","","","","","","","","","","",""," 117.3"," ,a,1206, ","","","","","","","","","    517.6"," ,a","","","","","",""
"ASN00078086","1931","-36.14","141.9878","85.0","JEPARIT, AS","        88","a","        38","a","         2","a","","","","","","","","","","","","","  42.4"," ,a,0429, ","","","","","","","","","    371.9"," ,a","","","","","",""
"ASN00078086","1932","-36.14","141.9878","85.0","JEPARIT, AS","        91","a","        39","a","         1","a","","","","","","","","","","","","","  34.0"," ,a,0210, ","","","","","","","","","    368.8"," ,a","","","","","",""
"ASN00078086","1933","-36.14","141.9878","85.0","JEPARIT, AS","        81","a","        43","a","         1","a","","","","","","","","","","","","","  32.3"," ,a,1205, ","","","","","","","","","    418.8"," ,a","","","","","",""
"ASN00078086","1934","-36.14","141.9878","85.0","JEPARIT, AS","        78","a","        44","a","         2","a","","","","","","","","","","","","","  33.3"," ,a,1108, ","","","","","","","","","    347.7"," ,a","","","","","",""
"ASN00078086","1935","-36.14","141.9878","85.0","JEPARIT, AS","        82","a","        44","a","         0","a","","","","","","","","","","","","","  16.5"," ,a,0916, ","","","","","","","","","    311.9"," ,a","","","","","",""
"ASN00078086","1936","-36.14","141.9878","85.0","JEPARIT, AS","        97","a","        39","a","         3","a","","","","","","","","","","","","","  27.7"," ,a,0727, ","","","","","","","","","    424.3"," ,a","","","","","",""
"ASN00078086","1937","-36.14","141.9878","85.0","JEPARIT, AS","        83","a","        40","a","         1","a","","","","","","","","","","","","","  32.5"," ,a,1202, ","","","","","","","","","    432.7"," ,a","","","","","",""
"ASN00078086","1938","-36.14","141.9878","85.0","JEPARIT, AS","        68","a","        28","a","         3","a","","","","","","","","","","","","","  31.0"," ,a,0418, ","","","","","","","","","    253.9"," ,a","","","","","",""
"ASN00078086","1939","-36.14","141.9878","85.0","JEPARIT, AS","       118","a","        40","a","         1","a","","","","","","","","","","","","","  52.3"," ,a,0413, ","","","","","","","","","    417.0"," ,a","","","","","",""
"ASN00078086","1940","-36.14","141.9878","85.0","JEPARIT, AS","        74","a","        23","a","         1","a","","","","","","","","","","","","","  26.4"," ,a,0424, ","","","","","","","","","    233.6"," ,a","","","","","",""
"ASN00078086","1941","-36.14","141.9878","85.0","JEPARIT, AS","        98","a","        39","a","         3","a","","","","","","","","","","","","","  51.6"," ,a,0125, ","","","","","","","","","    474.6"," ,a","","","","","",""
"ASN00078086","1942","-36.14","141.9878","85.0","JEPARIT, AS","       104","a","        54","a","         0","a","","","","","","","","","","","","","  22.1"," ,a,0613, ","","","","","","","","","    496.8"," ,a","","","","","",""
"ASN00078086","1943","-36.14","141.9878","85.0","JEPARIT, AS","       108","a","        37","a","         0","a","","","","","","","","","","","","","  20.3"," ,a,0218, ","","","","","","","","","    297.7"," ,a","","","","","",""
"ASN00078086","1944","-36.14","141.9878","85.0","JEPARIT, AS","        69","a","        24","a","         0","a","","","","","","","","","","","","","  18.8"," ,a,1221, ","","","","","","","","","    214.6"," ,a","","","","","",""
"ASN00078086","1945","-36.14","141.9878","85.0","JEPARIT, AS","       100","a","        33","a","         0","a","","","","","","","","","","","","","  21.3"," ,a,0115, ","","","","","","","","","    285.3"," ,a","","","","","",""
"ASN00078086","1946","-36.14","141.9878","85.0","JEPARIT, AS","       110","a","        44","a","         2","a","","","","","","","","","","","","","  49.5"," ,a,0218, ","","","","","","","","","    435.4"," ,a","","","","","",""
"ASN00078086","1947","-36.14","141.9878","85.0","JEPARIT, AS","       115","a","        50","a","         2","a","","","","","","","","","","","","","  32.3"," ,a,0330, ","","","","","","","","","    460.9"," ,a","","","","","",""
"ASN00078086","1948","-36.14","141.9878","85.0","JEPARIT, AS","        82","a","        25","a","         2","a","","","","","","","","","","","","","  57.7"," ,a,1012, ","","","","","","","","","    466.1"," ,a","","","","","",""
"ASN00078086","1949","-36.14","141.9878","85.0","JEPARIT, AS","        76","a","        21","a","         2","a","","","","","","","","","","","","","  40.6"," ,a,0909, ","","","","","","","","","    313.2"," ,a","","","","","",""
"ASN00078086","1950","-36.14","141.9878","85.0","JEPARIT, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    581.6"," ,a","","","","","",""
"ASN00078086","1951","-36.14","141.9878","85.0","JEPARIT, AS","        93","a","        46","a","         1","a","","","","","","","","","","","","","  39.1"," ,a,0220, ","","","","","","","","","    445.9"," ,a","","","","","",""
"ASN00078086","1952","-36.14","141.9878","85.0","JEPARIT, AS","        99","a","        46","a","         2","a","","","","","","","","","","","","","  38.1"," ,a,0125, ","","","","","","","","","    461.9"," ,a","","","","","",""
"ASN00078086","1953","-36.14","141.9878","85.0","JEPARIT, AS","        92","a","        42","a","         2","a","","","","","","","","","","","","","  28.4"," ,a,1207, ","","","","","","","","","    440.9"," ,a","","","","","",""
"ASN00078086","1954","-36.14","141.9878","85.0","JEPARIT, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    459.5"," ,a","","","","","",""
"ASN00078086","1955","-36.14","141.9878","85.0","JEPARIT, AS","        98","a","        53","a","         2","a","","","","","","","","","","","","","  38.6"," ,a,0602, ","","","","","","","","","    473.1"," ,a","","","","","",""
"ASN00078086","1956","-36.14","141.9878","85.0","JEPARIT, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    455.4"," ,a","","","","","",""
"ASN00078086","1957","-36.14","141.9878","85.0","JEPARIT, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    349.1"," ,a","","","","","",""
