"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00044712","1987","38.492","-122.0039","57.0","LAKE SOLANO, CA US","    664.4","","     664.4","0","        58","0","        43","0","         3","0","","","         0","0","         0","0","        22","0","         0","0","       214","0","        85","0","","","   -4.4","0,1226, ","","","     0"," ,0,1231,+"," 109.5"," ,0,0213, ","   40.6","0,0903,+","","","-1.7","0,1129","-2.2","0,1220","-4.4","0,1226","","","","","0.0","0,0227","-3.3","0,0119","","","","","    1440.9","9","    1440.9","0","","","","","    541.0"," ,0","        0"," ,0","     16.19","0","     23.67","0","      8.71","0","",""
"USC00044712","1988","38.492","-122.0039","57.0","LAKE SOLANO, CA US","    727.3","","     727.3","0","        47","0","        33","0","         4","0","        0","","         0","0","         0","0","        21","0","         0","0","       220","0","        95","0","","","   -3.9","0,1227,+","     0"," ,0,1231,+","     0","T,0,1228, ","  34.3"," ,0,0104, ","   42.2","0,0906,+","","","-1.7","0,1201","-2.2","0,1202","","","","","","","-1.1","0,0328","","","","","","","    1437.4","4","    1437.4","0","","","","","    402.8"," ,0","        0","T,0","     16.28","0","     24.26","0","      8.31","0","",""
"USC00044712","1989","38.492","-122.0039","57.0","LAKE SOLANO, CA US","    542.4","","     542.4","0","        46","0","        29","0","         2","0","        0","","         0","0","         0","0","        52","0","         0","0","       211","0","        86","0","        12"," ","   -6.7","0,0207, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  32.3"," ,0,0917, ","   41.1","0,0708, ","    1822.8","0","-1.1","0,1128","-4.4","0,1212","-4.4","0,1212","","","","","0.0","0,0228","-2.8","0,0214","-5.0","0,0208","-6.7","0,0207","    1580.4","4","    1580.4","0","","","","","    320.5"," ,0","        0"," ,0","     15.26","0","     23.43","0","      7.10","0","",""
"USC00044712","1990","38.492","-122.0039","57.0","LAKE SOLANO, CA US","    812.1","","     812.1","0","        37","0","        23","0","         2","0","        0","","         0","0","         0","0","        51","0","         0","0","       238","0","        93","0","","","  -11.1","0,1222, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  33.8"," ,0,0114, ","   43.9","0,0807,+","","","0.0","0,1107","-2.2","0,1214","-5.0","0,1221","-11.1","0,1222","-11.1","0,1222","-1.1","0,0313","-3.3","0,0220","-5.0","0,0121","","","    1562.3","3","    1562.3","0","","","     22.43","0","    264.5"," ,0","        0"," ,0","     16.24","0","     24.81","0","      7.67","0","     28064","0"
"USC00044712","1991","38.492","-122.0039","57.0","LAKE SOLANO, CA US","    776.1","","     776.1","0","        45","0","        30","0","         8","0","        0","","         0","0","         0","0","        33","0","         0","0","       212","0","       113","0","","","   -5.0","0,0105,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  65.0"," ,0,0304, ","   45.0","0,0704, ","    1976.6","0","-1.1","0,1116","","","","","","","","","-1.7","0,0310","-2.2","0,0130","-4.4","0,0106","","","    1661.5","5","    1661.5","0","      9.50","0","     22.06","0","    531.8"," ,0","        0"," ,0","     16.19","0","     24.63","0","      7.75","0","     28921","0"
"USC00044712","1992","38.492","-122.0039","57.0","LAKE SOLANO, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1334.2","2","    1334.2","0","","","","","","","","","","","","","","","",""
"USC00044712","1993","38.492","-122.0039","57.0","LAKE SOLANO, CA US","    843.3","","     843.3","0","        63","0","        46","0","         9","0","        0","","         0","0","         0","0","        27","0","         0","0","       228","0","       100","0","","","   -5.0","0,1223, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  89.9"," ,0,0113, ","   43.3","0,0802, ","    1767.9","0","0.0","0,1116","-3.9","0,1125","-4.4","0,1219","","","","","0.0","0,0225","-2.2","0,0112","-4.4","0,0104","","","","","","","      9.43","0","     21.70","0","    778.7"," ,0","        0"," ,0","     16.56","0","     24.26","0","      8.86","0","     22475","0"
"USC00044712","1994","38.492","-122.0039","57.0","LAKE SOLANO, CA US","    782.5","","     782.5","0","        55","0","        36","0","         4","0","        0","","         0","0","         0","0","        23","0","         0","0","       224","0","       105","0","","","   -3.9","0,0211, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  50.3"," ,0,1106, ","   40.6","0,0816,+","    1735.4","0","-0.6","0,1114","-2.2","0,1210","","","","","","","0.0","0,0519","-3.9","0,0211","","","","","    1478.9","9","    1478.9","0","      9.16","0","     22.02","0","    500.3"," ,0","        0"," ,0","     16.15","0","     24.22","0","      8.07","0","     21693","0"
"USC00044712","1996","38.492","-122.0039","57.0","LAKE SOLANO, CA US","    948.8","","     948.8","0","        67","0","        50","0","        15","0","        0","","         0","0","         0","0","         4","0","         0","0","       221","0","       100","0","","","   -2.8","0,1219, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  60.5"," ,0,0204, ","   43.9","0,0811, ","    1685.2","0","-0.6","0,1218","-2.8","0,1219","","","","","","","0.0","0,0225","","","","","","","    1056.2","2","    1056.2","0","     11.52","0","     23.42","0","    978.0"," ,0","        0"," ,0","     17.74","0","     24.97","0","     10.51","0","",""
"USC00044712","1997","38.492","-122.0039","57.0","LAKE SOLANO, CA US","    960.8","","     960.8","0","        53","0","        35","0","         5","0","        0","","         0","0","         0","0","         7","0","         0","0","       241","0","       103","0","","","   -3.9","0,0115, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  83.6"," ,0,0123, ","   43.3","0,0808, ","    1815.1","0","0.0","0,1220","","","","","","","","","-2.2","0,0116","-2.2","0,0116","","","","","    1053.2","2","    1053.2","0","     10.94","0","     22.66","0","    625.5"," ,0","        0"," ,0","     17.92","0","     25.02","0","     10.83","0","",""
