"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00347002","2010","35.9987","-97.0483","292.0","PERKINS 2 NNW MESONET, OK US","   1192.6","","    1192.6","0","         0","0","        81","0","        11","0","       210","0","        76","0","  -16.1","0,0109, ","   41.1","0,0813, ","-0.6","0,1105","-3.3","0,1125","-6.1","0,1126","-7.8","0,1206","-8.9","0,1213","-3.3","0,0322","-3.3","0,0322","-6.7","0,0224","-6.7","0,0224","-14.4","0,0110","    2289.6","6","      30.6","0,3,2","    2289.6","0","      41.1","0,3,2","       0.6","0,3,2","       0.6","0,3,2","      14.0","0,3,2","      21.5","0,3,2","","","     15.72","0","     21.60","0","      9.84","0"
"USC00347002","2011","35.9987","-97.0483","292.0","PERKINS 2 NNW MESONET, OK US","   1487.4","","    1487.4","K","         3","K","        82","K","        12","K","       219","K","       109","K","  -25.0","K,0210, ","   44.4","K,0802, ","-0.6","K,1020","-3.9","K,1104","-6.1","K,1128","-7.2","K,1206","-8.9","K,1207","0.0","K,0331","-2.2","K,0315","-5.6","K,0306","-11.1","K,0211","-11.1","K,0211","    2047.9","9","      31.7","K,3,2","    2047.9","K","      41.7","K,3,2","      -2.2","K,3,2","       0.0","K,3,2","      14.4","K,3,2","      21.9","K,3,2","","","     16.67","K","     23.47","K","      9.88","K"
"USC00347002","2012","35.9987","-97.0483","292.0","PERKINS 2 NNW MESONET, OK US","   1380.5","","    1380.5","7","         0","7","        65","7","         4","7","       229","7","       103","7","  -12.2","7,1229, ","   45.6","7,0801, ","-0.6","7,1008","-2.2","7,1027","-4.4","7,1124","-7.2","7,1210","-11.1","7,1226","0.0","K,0310","-3.3","K,0225","-5.0","K,0214","-8.3","K,0212","-9.4","K,0118","    1663.5","5","      32.8","7,3,2","    1663.5","7","      41.7","7,3,2","      -0.6","7,3,2","       1.1","7,3,2","      15.4","7,3,2","      23.4","7,3,2","","","     17.70","7","     24.38","7","     11.02","7"
"USC00347002","2013","35.9987","-97.0483","292.0","PERKINS 2 NNW MESONET, OK US","   1048.5","","    1048.5","7","         0","7","        96","7","        11","7","       189","7","        70","7","  -14.4","7,1207, ","   39.4","7,0831, ","0.0","7,1019","-5.0","7,1112","-5.0","7,1112","-7.2","7,1113","-11.1","7,1206","0.0","7,0503","-2.2","7,0411","-6.7","7,0326","-6.7","7,0326","-8.9","7,0116","    2036.9","9","      28.3","7,3,2","    2036.9","7","      38.3","7,3,2","       0.0","7,3,2","       1.1","7,3,2","      13.0","7,3,2","      20.2","7,3,2","","","     14.91","7","     21.03","7","      8.79","7"
"USC00347002","2014","35.9987","-97.0483","292.0","PERKINS 2 NNW MESONET, OK US","   1093.9","","    1093.9","7","         0","7","        86","7","        18","7","       203","7","        71","7","  -17.2","7,0124, ","   38.3","7,0825,+","0.0","7,1031","-2.2","7,1101","-6.1","7,1112","-7.2","7,1117","-8.9","7,1231","-1.7","7,0415","-3.9","7,0325","-5.0","7,0317","-12.8","7,0304","-12.8","7,0304","    2356.8","8","","","    2356.8","7","","","","","","","","","","","","","     15.13","7","     21.51","7","      8.76","7"
"USC00347002","2015","35.9987","-97.0483","292.0","PERKINS 2 NNW MESONET, OK US","   1090.7","","    1090.7","7","         0","7","        78","7","         9","7","       214","7","        76","7","  -13.3","7,0108, ","   40.0","7,0809,+","-0.6","7,1113","-2.8","7,1121","-4.4","7,1217","-6.7","7,1229","","","-0.6","7,0404","-3.3","7,0306","-9.4","7,0305","-9.4","7,0305","-9.4","7,0305","    2075.6","6","","","    2075.6","7","","","","","","","","","","","","","     16.05","7","     22.16","7","      9.94","7"
"USC00347002","2016","35.9987","-97.0483","292.0","PERKINS 2 NNW MESONET, OK US","   1245.4","","    1245.4","7","         0","7","        68","7","         4","7","       230","7","        91","7","  -16.7","7,1218, ","   38.9","7,0811, ","-2.8","7,1119","-2.8","7,1119","-6.7","7,1208","-6.7","7,1208","-10.6","7,1209","-1.7","7,0402","-5.0","7,0226","-5.0","7,0226","-10.0","7,0118","-10.0","7,0118","    1694.4","4","      30.6","7,3,2","    1694.4","7","      39.4","7,3,2","      -2.2","7,3,2","       0.0","7,3,2","      15.3","7,3,2","      22.3","7,3,2","    742.4"," ,7","     17.03","7","     23.42","7","     10.64","7"
"USC00347002","2017","35.9987","-97.0483","292.0","PERKINS 2 NNW MESONET, OK US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1052.6"," ,7","","","","","",""
"USC00347002","2018","35.9987","-97.0483","292.0","PERKINS 2 NNW MESONET, OK US","   1182.7","","    1182.7","7","         0","7","        94","7","         9","7","       200","7","        79","7","  -16.7","7,0101, ","   43.3","7,0720, ","-5.0","7,1109","-5.0","7,1109","-5.0","7,1109","-7.2","7,1110","-8.9","7,1114","-2.8","7,0416","-2.8","7,0416","-4.4","7,0407","-12.2","7,0212","-12.2","7,0212","    2036.3","3","      29.4","7,3,2","    2036.3","7","      38.9","7,3,2","      -1.1","7,3,2","       0.0","7,3,2","      13.9","7,3,2","      20.6","7,3,2","    978.1"," ,7","     15.43","7","     21.55","7","      9.31","7"
"USC00347002","2019","35.9987","-97.0483","292.0","PERKINS 2 NNW MESONET, OK US","   1115.7","","    1115.7","7","         0","7","        84","7","        12","7","       200","7","        72","7","  -12.8","7,0304, ","   38.9","7,0812, ","0.0","7,1012","-2.2","7,1030","-5.0","7,1031","-7.2","7,1111","-10.6","7,1112","0.0","7,0412","-2.8","7,0316","-8.3","7,0306","-8.3","7,0306","-11.7","7,0305","    2225.9","9","      30.0","7,3,2","    2225.9","7","      38.9","7,3,2","       0.0","7,3,2","       1.1","7,3,2","      13.6","7,3,2","      20.2","7,3,2","   1307.0"," ,7","     15.40","7","     21.24","7","      9.55","7"
