"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES"
"AQC00914021","1955","-14.26667","-170.58333","6.1","AMOULI TUTUILA, AS AQ","","","         7"," "
"AQC00914021","1956","-14.26667","-170.58333","6.1","AMOULI TUTUILA, AS AQ","         1"," ","        11"," "
"AQC00914021","1957","-14.26667","-170.58333","6.1","AMOULI TUTUILA, AS AQ","        25"," ","         4"," "
