"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00125217","1977","39.96667","-86.05","225.6","LYNNWOOD FARMS, IN US","    567.0","","     567.0","0","       116","0","        73","0","         5","0","         5","0","        28","0","       123","0","        54","0","       167","0","        24","0","","","","","  -28.9","0,0117,+","   203"," ,0,0110, ","  85.9"," ,0,1001, ","   37.2","0,0716, ","0.0","0,1010","-2.8","0,1013","-4.4","0,1112","-8.3","0,1113","-13.9","0,1126","0.0","0,0430","-2.8","0,0429","-5.6","0,0325","-6.7","0,0308","-8.9","0,0303","    3656.9","9","","","","","    3656.9","0","","","","","","","","","","","","","","","","","","","","","    948.4"," ,0","      482"," ,0","     10.43","0","     16.46","0","      4.39","0"
"USC00125217","1978","39.96667","-86.05","225.6","LYNNWOOD FARMS, IN US","    478.5","","     478.5","0","       126","0","        88","0","         9","0","         6","0","        32","0","       131","0","        62","0","       150","0","        14","0","","","","","  -27.2","0,0207, ","   127"," ,0,0127, ","  90.4"," ,0,0828, ","   35.0","0,0628, ","-1.1","0,1009","-3.9","0,1024","-5.0","0,1108","-7.8","0,1209","-14.4","0,1210","-1.1","0,0503","-3.9","0,0422","-6.7","0,0319","-6.7","0,0319","-11.1","0,0310","    3829.6","6","","","","","    3829.6","0","","","","","","","","","","","","","","","","","","","","","   1091.6"," ,0","      391"," ,0","      9.04","0","     14.97","0","      3.11","0"
"USC00125217","1979","39.96667","-86.05","225.6","LYNNWOOD FARMS, IN US","    403.0","","     403.0","0","","","","","","","         8","0","        26","0","       135","0","        49","0","       152","0","         4","0","","","","","  -26.7","0,0205, ","   140"," ,0,0128, ","","","   32.8","0,0809, ","-0.6","0,1013","-4.4","0,1014","-4.4","0,1014","-6.7","0,1112","-11.1","0,1202","-0.6","0,0505","-4.4","0,0410","-4.4","0,0410","-8.3","0,0316","-12.2","0,0312","    3632.0","0","","","","","    3632.0","0","","","","","","","","","","","","","","","","","","","","","","","      484"," ,0","      9.30","0","     15.21","0","      3.39","0"
"USC00125217","1980","39.96667","-86.05","225.6","LYNNWOOD FARMS, IN US","    565.1","","     565.1","0","       107","0","        65","0","         9","0","         8","0","         8","0","       134","0","        41","0","       151","0","        28","0","","","","","  -23.3","0,0302, ","   102"," ,0,0228, ","  58.4"," ,0,0608, ","   38.3","0,0716, ","0.0","0,1005","-3.3","0,1006","-4.4","0,1027","-7.8","0,1030","-10.0","0,1126","-2.8","0,0425","-2.8","0,0425","-5.0","0,0315","-7.2","0,0312","-9.4","0,0306","    3292.2","2","","","","","    3292.2","0","","","","","","","","","","","","","","","","","","","","","    901.8"," ,0","      393"," ,0","     10.19","0","     16.03","0","      4.34","0"
"USC00125217","1981","39.96667","-86.05","225.6","LYNNWOOD FARMS, IN US","    466.3","","     466.3","0","       125","0","        74","0","         9","0","         4","0","        17","0","       130","0","        35","0","       153","0","        10","0","","","        10"," ","  -25.0","0,1221, ","   152"," ,0,1217, ","  59.7"," ,0,0830, ","   34.4","0,0714, ","-1.7","0,1003","-7.8","0,1024","-7.8","0,1024","-7.8","0,1024","-11.7","0,1211","-1.7","0,0421","-2.2","0,0406","-5.0","0,0324","-7.8","0,0318","-8.9","0,0303","    3274.2","2","","","","","    3274.2","0","","","","","","","","","","","","","","","","","","","","","    971.7"," ,0","      376"," ,0","     10.23","0","     16.12","0","      4.35","0"
"USC00125217","1982","39.96667","-86.05","225.6","LYNNWOOD FARMS, IN US","    371.7","","     371.7","0","","","","","","","","","        16","0","       125","0","        41","0","       152","0","         8","0","","","         1"," ","  -28.9","0,0210, ","","","","","   33.9","0,0805,+","-3.9","0,1017","-3.9","0,1017","-6.1","0,1022","-6.7","0,1106","-8.9","0,1115","-1.1","0,0423","-2.2","0,0414","-5.0","0,0408","-9.4","0,0407","-9.4","0,0407","    3459.2","2","      27.2","0,1,2","      25.6","0,3,2","    3459.2","0","      30.6","0,1,2","","","      -2.8","0,1,2","      -6.7","0,3,2","      -0.6","0,1,2","","","      13.3","0,1,2","       9.9","0,3,2","      15.3","0,1,2","","","","","","","     10.06","0","     16.10","0","      4.02","0"
"USC00125217","1983","39.96667","-86.05","225.6","LYNNWOOD FARMS, IN US","    608.4","","     608.4","0","       126","0","        77","0","         6","0","","","         8","0","       117","0","        32","0","       145","0","        43","0","","","","","  -27.2","0,1224, ","","","  43.7"," ,0,1111, ","   36.7","0,0821,+","0.0","0,0923","-2.2","0,1027","-5.0","0,1106","-7.8","0,1207","-12.2","0,1217","-1.7","0,0425","-6.1","0,0420","-6.1","0,0420","-8.9","0,0325","-8.9","0,0325","    2928.4","4","      29.4","0,1,2","      28.9","0,3,2","    2928.4","0","      33.3","0,1,2","      38.9","0,3,2","      -0.6","0,1,2","      -7.2","0,3,2","       1.1","0,1,2","      -5.6","0,3,2","      14.7","0,1,2","      10.0","0,3,2","      16.7","0,1,2","      16.7","0,3,2","    951.7"," ,0","","","     10.90","0","     16.69","0","      5.12","0"
"USC00125217","1984","39.96667","-86.05","225.6","LYNNWOOD FARMS, IN US","    456.5","","     456.5","0","       136","0","        71","0","         8","0","         7","0","         5","0","       116","0","        29","0","       141","0","        17","0","        15"," ","","","  -28.9","0,0121, ","   114"," ,0,0308, ","  40.6"," ,0,1102, ","   34.4","0,0711, ","0.0","0,1001","-2.2","0,1103","-7.2","0,1117","-7.2","0,1117","-8.9","0,1122","0.0","0,0516","-2.2","0,0420","-16.1","0,0311","-16.1","0,0311","-16.1","0,0311","    3319.8","8","      27.2","0,1,2","      26.7","0,3,2","    3319.8","0","      30.6","0,1,2","      36.1","0,3,2","      -0.6","0,1,2","      -5.6","0,3,2","      -0.6","0,1,2","      -3.9","0,3,2","      13.6","0,1,2","       9.5","0,3,2","      15.0","0,1,2","      15.9","0,3,2","    984.9"," ,0","      425"," ,0","     10.61","0","     16.34","0","      4.89","0"
"USC00125217","1985","39.96667","-86.05","225.6","LYNNWOOD FARMS, IN US","    430.5","","     430.5","0","       158","0","        86","0","        10","0","","","        21","0","       111","0","        49","0","       169","0","        11","0","        14"," ","","","  -31.1","0,0120, ","","","  63.2"," ,0,1211, ","   33.3","0,0908, ","-2.2","0,1002","-2.2","0,1002","-5.6","0,1121","-11.1","0,1202","-11.1","0,1202","-2.2","0,0410","-2.2","0,0410","-7.8","0,0318","-7.8","0,0318","-9.4","0,0220","    2883.2","2","      26.7","0,1,2","      23.9","0,3,2","    2883.2","0","      30.0","0,1,2","      35.0","0,3,2","       2.2","0,1,2","      -3.3","0,3,2","       2.2","0,1,2","      -1.7","0,3,2","      14.3","0,1,2","       9.7","0,3,2","      16.1","0,1,2","      16.1","0,3,2","   1181.9"," ,0","","","     10.47","0","     16.40","0","      4.54","0"
"USC00125217","1986","39.96667","-86.05","225.6","LYNNWOOD FARMS, IN US","    552.2","","     552.2","0","       133","0","        79","0","        12","0","","","         3","0","       117","0","        34","0","       162","0","        15","0","        18"," ","","","  -18.9","0,0128,+","","","  60.5"," ,0,0501, ","   35.0","0,0718,+","0.0","0,1015","-2.8","0,1103","-6.7","0,1110","-6.7","0,1110","-12.8","0,1113","0.0","0,0503","-5.0","0,0423","-5.0","0,0423","-9.4","0,0321","-9.4","0,0321","    3124.0","0","      28.9","0,1,2","      24.4","0,3,2","    3124.0","0","      33.3","0,1,2","      35.0","0,3,2","       0.0","0,1,2","      -6.7","0,3,2","       1.7","0,1,2","      -5.0","0,3,2","      14.1","0,1,2","       8.9","0,3,2","      15.6","0,1,2","      14.9","0,3,2","   1187.4"," ,0","","","     11.08","0","     16.65","0","      5.51","0"
