"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0021B60S","1996","47.68","-121.61","1008.9","SKOOKUM CREEK, WA US","","","     97.5","","      97.5","T","       211","T","       211","T","        60","T","","","         0","T","       148","T","        38","T","        41","T","         1","T","  -14.2","T,0130, ","",""," 147.3"," ,T,0208, ","   32.9","T,0825, ","-0.7","T,1015","-2.2","T,1019","-7.0","T,1119","-7.0","T,1119","-9.5","T,1122","-0.7","T,0523","-2.3","T,0502","-5.5","T,0325","-9.1","T,0228","-9.1","T,0228","","","","","   4053.3"," ,T","      6.29","T","     10.00","T","      2.59","T"
"USS0021B60S","1997","47.68","-121.61","1008.9","SKOOKUM CREEK, WA US","       0.7","T","     39.3","","      39.3","T","       204","T","       204","T","        62","T","","","         0","T","       122","T","        16","T","        41","T","         0","T","  -10.9","T,0125, ","",""," 134.6"," ,T,0214, ","   29.4","T,0704, ","-0.2","T,1011","-2.6","T,1208","-5.8","T,1221","","","","","-0.2","T,0520","-6.0","T,0404","-6.0","T,0404","-6.9","T,0208","-10.7","T,0126","    4416.3","3","    4416.3","T","   4202.8"," ,T","      6.92","T","     10.70","T","      3.14","T"
"USS0021B60S","1998","47.68","-121.61","1008.9","SKOOKUM CREEK, WA US","       0.6","T","     68.8","","      68.8","T","       197","T","       197","T","        45","T","","","         0","T","       132","T","        21","T","        57","T","         3","T","  -17.3","T,1220, ","",""," 124.5"," ,T,1113, ","   33.3","T,0726, ","-0.2","T,1015","-2.4","T,1128","-4.7","T,1204","-7.3","T,1218","-14.6","T,1219","0.0","T,0525","-2.6","T,0414","-5.0","T,0329","-12.0","T,0111","-12.0","T,0111","    4059.5","5","    4059.5","T","   3285.7"," ,T","      7.16","T","     11.06","T","      3.25","T"
"USS0021B60S","1999","47.68","-121.61","1008.9","SKOOKUM CREEK, WA US","       0.7","T","      9.7","","       9.7","T","       188","T","       188","T","        52","T","","","         0","T","       161","T","        18","T","        38","T","         0","T","   -7.7","T,0209, ","",""," 132.1"," ,T,1211, ","   29.1","T,0523, ","-0.5","T,0924","-2.3","T,0927","-4.5","T,1207","","","","","-0.3","T,0607","-3.6","T,0510","-4.7","T,0409","-7.7","T,0209","","","    4390.7","7","    4390.7","T","   3705.1"," ,T","      5.86","T","      9.91","T","      1.81","T"
"USS0021B60S","2000","47.68","-121.61","1008.9","SKOOKUM CREEK, WA US","       0.7","T","     19.2","","      19.2","T","       180","T","       180","T","        40","T","","","         0","T","       142","T","        14","T","        38","T","         0","T","   -9.0","T,1211, ","",""," 124.5"," ,T,0930, ","   29.5","T,0627, ","-0.7","T,1031","-3.0","T,1109","-6.6","T,1110","-7.1","T,1111","-9.0","T,1211","-1.4","T,0512","-4.9","T,0424","-4.9","T,0424","","","","","    4385.5","5","    4385.5","T","   2912.3"," ,T","      6.45","T","     10.63","T","      2.26","T"
"USS0021B60S","2001","47.68","-121.61","1008.9","SKOOKUM CREEK, WA US","       0.7","T","     22.4","","      22.4","T","       191","T","       191","T","        50","T","","","         0","T","       154","T","        13","T","        44","T","         0","T","   -9.1","T,0207, ","",""," 104.1"," ,T,1114, ","   29.5","T,0522, ","0.0","T,1011","-3.4","T,1027","-4.8","T,1203","","","","","-0.2","T,0612","-5.6","T,0414","-5.6","T,0414","-9.1","T,0207","-9.1","T,0207","    4348.7","7","    4348.7","T","   3407.7"," ,T","      6.53","T","     10.67","T","      2.40","T"
"USS0021B60S","2002","47.68","-121.61","1008.9","SKOOKUM CREEK, WA US","       0.7","T","     40.4","","      40.4","T","       184","T","       184","T","        50","T","","","         0","T","       132","T","        28","T","        50","T","         0","T","   -8.7","T,0128, ","",""," 132.1"," ,T,1119, ","   32.1","T,0710, ","-0.1","T,1010","-2.5","T,1029","-5.3","T,1229","","","","","-0.2","T,0608","-2.2","T,0515","-6.3","T,0318","-6.9","T,0317","","","    4399.9","9","    4399.9","T","   3349.3"," ,T","      6.75","T","     10.93","T","      2.57","T"
"USS0021B60S","2003","47.68","-121.61","1008.9","SKOOKUM CREEK, WA US","","","     82.2","","      82.2","T","       191","T","       191","T","        53","T","","","         0","T","       121","T","        19","T","        70","T","         0","T","   -8.9","T,1121, ","",""," 160.0"," ,T,1020, ","   31.4","T,0729, ","-0.7","T,1029","-3.8","T,1030","-5.6","T,1031","-8.9","T,1121","-8.9","T,1121","-1.9","T,0516","-2.2","T,0425","-5.0","T,0402","-8.3","T,0224","","","    3967.3","3","    3967.3","T","   3585.5"," ,T","      7.54","T","     11.75","T","      3.34","T"
"USS0021B60S","2004","47.68","-121.61","1008.9","SKOOKUM CREEK, WA US","       0.7","T","     55.4","","      55.4","T","       197","T","       197","T","        56","T","      178","","         0","T","        78","T","         8","T","        54","T","         0","T","  -13.0","T,0104, ","  1905"," ,T,0305, "," 132.1"," ,T,1124,+","   31.9","T,0724, ","0.0","T,1103","-2.4","T,1120","","","","","","","-0.3","T,0424","-3.5","T,0401","-8.6","T,0106","-8.6","T,0106","-11.9","T,0105","    3891.5","5","    3891.5","T","   3808.8"," ,T","      8.11","T","     11.75","T","      4.47","T"
"USS0021B60S","2005","47.68","-121.61","1008.9","SKOOKUM CREEK, WA US","       1.0","T","     31.8","","      31.8","T","       163","T","       163","T","        39","T","      148","","         0","T","        71","T","         7","T","        39","T","         0","T","   -7.1","T,0114, ","   965"," ,T,1203, "," 182.9"," ,T,0929, ","   29.1","T,0804, ","-0.1","T,1107","-2.9","T,1126","-4.6","T,1204","","","","","-0.6","T,0414","-2.4","T,0216","-4.9","T,0215","-7.1","T,0114","","","    3612.8","8","    3612.8","T","   3098.1"," ,T","      8.33","T","     11.93","T","      4.74","T"
"USS0021B60S","2006","47.68","-121.61","1008.9","SKOOKUM CREEK, WA US","       1.0","T","     69.7","","      69.7","T","       162","T","       162","T","        53","T","      189","","         0","T","        87","T","         5","T","        55","T","         1","T","  -10.9","T,0217, ","  2159"," ,T,0309, "," 231.1"," ,T,1106, ","   34.3","T,0721, ","-2.4","T,1029","-2.4","T,1029","-6.3","T,1127","-10.6","T,1128","-10.6","T,1128","0.0","T,0509","-2.9","T,0319","-6.6","T,0224","-7.9","T,0218","-10.9","T,0217","    3812.1","1","    3812.1","T","   3573.6"," ,T","      7.96","T","     11.68","T","      4.24","T"
"USS0021B60S","2007","47.68","-121.61","1008.9","SKOOKUM CREEK, WA US","       0.8","T","     26.1","","      26.1","T","       183","T","       183","T","        55","T","      178","","         0","T","        90","T","        14","T","        40","T","         1","T","   -9.0","T,0112, ","  2007"," ,T,0228, "," 134.6"," ,T,0324, ","   32.8","T,0711, ","0.0","T,1025","-3.0","T,1129","-4.7","T,1201","","","","","-0.5","T,0419","-2.7","T,0403","-6.3","T,0301","-7.6","T,0114","-9.0","T,0112","    3879.0","0","    3879.0","T","   3672.6"," ,T","      7.30","T","     10.93","T","      3.67","T"
