"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00368560","1961","40.1","-78.95","548.9","STOYSTOWN, PA US","","","","","","","","","","","","","","","","","","","","","         1"," ","         7"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00368560","1962","40.1","-78.95","548.9","STOYSTOWN, PA US","    155.7","","     155.7","0","","","","","","","        12","0","       162","0","        51","0","       132","0","         2","0","","","","","  -23.3","0,1214,+","","","   32.8","0,0901,+","-0.6","0,0921","-3.3","0,1025","-5.6","0,1026","-7.2","0,1027","-11.7","0,1126","-2.2","0,0421","-2.2","0,0421","-6.1","0,0417","-6.7","0,0404","-14.4","0,0309","    3644.7","7","    3644.7","0","","","      7.79","0","     13.76","0","      1.82","0"
"USC00368560","1963","40.1","-78.95","548.9","STOYSTOWN, PA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4164.7","7","    4164.7","0","","","","","","","",""
"USC00368560","1964","40.1","-78.95","548.9","STOYSTOWN, PA US","    184.2","","     184.2","0","","","","","","","         4","0","       151","0","        40","0","       130","0","         2","0","","","","","  -22.8","0,0101, ","","","   33.9","0,0911, ","-0.6","0,0914","-2.8","0,1006","-5.0","0,1011","-6.7","0,1121","-13.3","0,1122","0.0","0,0530","-2.8","0,0416","-4.4","0,0409","-7.8","0,0405","-8.9","0,0404","","","","","","","      8.38","0","     14.80","0","      1.96","0"
"USC00368560","1965","40.1","-78.95","548.9","STOYSTOWN, PA US","    207.6","","     207.6","0","       159","0","        84","0","         1","0","        11","0","       143","0","        41","0","       134","0","         4","0","","","","","  -22.2","0,0117, ","  40.6"," ,0,0305, ","   33.9","0,0818, ","-2.2","0,1005","-2.2","0,1005","-9.4","0,1029","-9.4","0,1029","-9.4","0,1029","-1.1","0,0417","-5.0","0,0405","-5.0","0,0405","-8.3","0,0404","-8.9","0,0403","    3863.3","3","    3863.3","0","    772.7"," ,0","      8.40","0","     14.55","0","      2.25","0"
"USC00368560","1966","40.1","-78.95","548.9","STOYSTOWN, PA US","    157.9","","     157.9","0","       139","0","        85","0","         4","0","        11","0","       171","0","        63","0","       110","0","         6","0","","","","","  -23.9","0,0129, ","  40.1"," ,0,0815, ","   33.9","0,0703,+","0.0","0,0916","-2.2","0,1021","-4.4","0,1031","-6.7","0,1104","-11.1","0,1120","0.0","0,0602","-5.6","0,0511","-5.6","0,0511","-7.2","0,0330","-9.4","0,0329","    3916.7","7","    3916.7","0","    850.9"," ,0","      7.15","0","     12.72","0","      1.59","0"
"USC00368560","1967","40.1","-78.95","548.9","STOYSTOWN, PA US","     82.2","","      82.2","0","       146","0","        94","0","         8","0","         6","0","       147","0","        56","0","        94","0","         0","0","","","","","  -20.0","0,0319,+","  48.0"," ,0,0306, ","   31.1","0,0618,+","-0.6","0,0911","-2.2","0,1020","-4.4","0,1029","-7.8","0,1106","-9.4","0,1115","-1.1","0,0506","-3.3","0,0429","-6.7","0,0413","-6.7","0,0413","-13.3","0,0320","    4080.6","6","    4080.6","0","   1086.4"," ,0","      6.90","0","     11.91","0","      1.88","0"
"USC00368560","1968","40.1","-78.95","548.9","STOYSTOWN, PA US","    176.9","","     176.9","0","       152","0","        97","0","         4","0","        19","0","       145","0","        75","0","       100","0","         0","0","","","","","  -23.3","0,0112, ","  29.7"," ,0,0820, ","   29.4","0,0825,+","-2.8","0,1006","-2.8","0,1006","-5.0","0,1031","-7.8","0,1206","-10.6","0,1207","-2.8","0,0508","-2.8","0,0508","-6.1","0,0407","-8.3","0,0406","-11.1","0,0315","    4307.3","3","    4307.3","0","    914.2"," ,0","      6.89","0","     11.96","0","      1.82","0"
"USC00368560","1969","40.1","-78.95","548.9","STOYSTOWN, PA US","    191.1","","     191.1","0","       158","0","       100","0","         5","0","         8","0","       158","0","        75","0","       130","0","         1","0","","","","","  -20.6","0,0105, ","  43.7"," ,0,0719, ","   32.2","0,0630, ","-2.8","0,1015","-2.8","0,1015","-4.4","0,1023","-8.9","0,1024","-8.9","0,1024","-1.1","0,0501","-2.8","0,0419","-9.4","0,0331","-9.4","0,0331","-9.4","0,0331","    3947.4","4","    3947.4","0","    972.0"," ,0","      7.46","0","     12.85","0","      2.08","0"
"USC00368560","1970","40.1","-78.95","548.9","STOYSTOWN, PA US","    225.1","","     225.1","0","       164","0","       105","0","        13","0","        16","0","       146","0","        56","0","       137","0","         0","0","","","         2"," ","  -22.2","0,0109,+","  50.8"," ,0,0716, ","   30.6","0,0925, ","-1.7","0,1017","-3.3","0,1116","-4.4","0,1117","-12.8","0,1124","-12.8","0,1124","-3.3","0,0508","-3.3","0,0508","-4.4","0,0410","-8.3","0,0330","-15.6","0,0329","    4015.6","6","    4015.6","0","   1331.8"," ,0","      8.42","0","     13.94","0","      2.90","0"
"USC00368560","1972","40.1","-78.95","548.9","STOYSTOWN, PA US","    139.8","","     139.8","0","       193","0","       122","0","         5","0","         8","0","       153","0","        50","0","       113","0","         0","0","","","","","  -25.0","0,0116, ","  50.8"," ,0,0623, ","   30.6","0,0723, ","-3.3","0,1010","-3.3","0,1010","-4.4","0,1011","-9.4","0,1020","-9.4","0,1020","-1.7","0,0511","-4.4","0,0426","-4.4","0,0426","-6.7","0,0410","-8.9","0,0409","    3738.1","1","    3738.1","0","   1261.1"," ,0","      7.70","0","     13.12","0","      2.28","0"
"USC00368560","1973","40.1","-78.95","548.9","STOYSTOWN, PA US","    210.1","","     210.1","0","       164","0","       100","0","         6","0","         4","0","       125","0","        44","0","       124","0","         1","0","","","","","  -21.7","0,0218, ","  47.2"," ,0,1029, ","   32.8","0,0902, ","-1.1","0,1019","-2.2","0,1020","-5.0","0,1106","-6.7","0,1108","-10.0","0,1211","-0.6","0,0516","-4.4","0,0415","-4.4","0,0415","-10.0","0,0301","-10.0","0,0301","    3765.5","5","    3765.5","0","   1050.6"," ,0","      8.92","0","     14.30","0","      3.54","0"
"USC00368560","1974","40.1","-78.95","548.9","STOYSTOWN, PA US","    105.2","","     105.2","0","       160","0","       106","0","         6","0","         0","0","       159","0","        29","0","       121","0","         0","0","","","","","  -15.0","0,0205,+","  59.4"," ,0,1202, ","   30.0","0,0611, ","0.0","0,0923","-3.3","0,0924","-5.0","0,1004","-8.3","0,1126","-13.3","0,1127","-2.8","0,0508","-2.8","0,0508","-4.4","0,0426","-6.7","0,0411","-13.3","0,0326","    3572.5","5","    3572.5","0","   1093.7"," ,0","      8.32","0","     13.86","0","      2.77","0"
"USC00368560","1975","40.1","-78.95","548.9","STOYSTOWN, PA US","    183.7","","     183.7","0","       164","0","       111","0","        14","0","         3","0","       151","0","        44","0","       122","0","         2","0","","","","","  -21.7","0,0210, ","  60.5"," ,0,0525, ","   33.3","0,0804, ","0.0","0,1003","-8.3","0,1031","-8.3","0,1031","-8.3","0,1031","-12.2","0,1218","-0.6","0,0427","-3.3","0,0422","-4.4","0,0415","-9.4","0,0407","-9.4","0,0407","    3849.9","9","    3849.9","0","   1450.5"," ,0","      8.61","0","     13.99","0","      3.24","0"
