"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00415056","1892","27.50361","-99.51167","121.0","LAREDO, TX US","","","","","","","         9"," ","","","","","",""
"USC00415056","1893","27.50361","-99.51167","121.0","LAREDO, TX US","        42","6","        17","6","         1","6","        26"," ","",""," 162.1"," ,6,0809, ","    359.5"," ,6"
"USC00415056","1894","27.50361","-99.51167","121.0","LAREDO, TX US","","","","","","","         5"," ","","","","","",""
"USC00415056","1912","27.50361","-99.51167","121.0","LAREDO, TX US","","","","","","","         1"," ","","","","","",""
"USC00415056","1914","27.50361","-99.51167","121.0","LAREDO, TX US","        60","6","        35","6","         9","6","","","","","  96.3"," ,6,0512, ","    771.9"," ,6"
"USC00415056","1915","27.50361","-99.51167","121.0","LAREDO, TX US","        45","6","        25","6","        10","6","","","","","  61.0"," ,6,1001, ","    572.2"," ,6"
"USC00415056","1916","27.50361","-99.51167","121.0","LAREDO, TX US","        35","6","        22","6","         6","6","","","","","  88.9"," ,6,0819, ","    466.9"," ,6"
"USC00415056","1918","27.50361","-99.51167","121.0","LAREDO, TX US","        52","6","        31","6","         2","6","","","",""," 129.3"," ,6,0503, ","    425.3"," ,6"
"USC00415056","1919","27.50361","-99.51167","121.0","LAREDO, TX US","        77","6","        51","6","        15","6","","","",""," 133.9"," ,6,1015, ","   1336.1"," ,6"
"USC00415056","1920","27.50361","-99.51167","121.0","LAREDO, TX US","        45","6","        27","6","         1","6","","","","","  27.9"," ,6,1022, ","    279.7"," ,6"
"USC00415056","1921","27.50361","-99.51167","121.0","LAREDO, TX US","        23","6","        19","6","         2","6","","","",""," 152.4"," ,6,0908, ","    331.4"," ,6"
"USC00415056","1922","27.50361","-99.51167","121.0","LAREDO, TX US","        42","6","        28","6","         4","6","","","","","  59.7"," ,6,0513, ","    454.8"," ,6"
"USC00415056","1923","27.50361","-99.51167","121.0","LAREDO, TX US","        60","6","        52","6","         7","6","","","","","  50.0"," ,6,0327, ","    707.4"," ,6"
"USC00415056","1924","27.50361","-99.51167","121.0","LAREDO, TX US","        37","6","        25","6","         3","6","","","","","  34.5"," ,6,0922, ","    263.6"," ,6"
"USC00415056","1925","27.50361","-99.51167","121.0","LAREDO, TX US","        38","6","        30","6","         8","6","","","","","  78.7"," ,6,0802, ","    521.4"," ,6"
"USC00415056","1926","27.50361","-99.51167","121.0","LAREDO, TX US","        58","6","        38","6","         6","6","","","","","  69.9"," ,6,0504, ","    563.1"," ,6"
"USC00415056","1927","27.50361","-99.51167","121.0","LAREDO, TX US","        62","6","        35","6","         1","6","","","","","  33.0"," ,6,0614, ","    309.1"," ,6"
"USC00415056","1928","27.50361","-99.51167","121.0","LAREDO, TX US","        54","6","        35","6","         5","6","","","","","  55.9"," ,6,1110, ","    404.2"," ,6"
"USC00415056","1932","27.50361","-99.51167","121.0","LAREDO, TX US","        77","6","        33","6","         1","6","","","","","  67.3"," ,6,0511, ","    448.4"," ,6"
"USC00415056","1934","27.50361","-99.51167","121.0","LAREDO, TX US","        61","6","        48","6","         6","6","","","","","  80.3"," ,6,0726, ","    552.7"," ,6"
"USC00415056","1935","27.50361","-99.51167","121.0","LAREDO, TX US","        87","6","        53","6","         9","6","","","","","  78.7"," ,6,0615, ","    896.2"," ,6"
"USC00415056","1936","27.50361","-99.51167","121.0","LAREDO, TX US","        66","6","        41","6","        10","6","","","","","  81.3"," ,6,0914, ","    708.7"," ,6"
"USC00415056","1937","27.50361","-99.51167","121.0","LAREDO, TX US","        60","6","        43","6","         1","6","","","","","  41.1"," ,6,1205, ","    326.7"," ,6"
"USC00415056","1938","27.50361","-99.51167","121.0","LAREDO, TX US","        33","6","        24","6","         4","6","","","","","  48.8"," ,6,0525, ","    323.8"," ,6"
"USC00415056","1939","27.50361","-99.51167","121.0","LAREDO, TX US","        31","6","        22","6","         7","6","         2"," ","","","  49.5"," ,6,1010, ","    408.5"," ,6"
"USC00415056","1940","27.50361","-99.51167","121.0","LAREDO, TX US","        38","6","        33","6","         8","6","         1"," ","",""," 132.3"," ,6,1025, ","    585.1"," ,6"
"USC00415056","1941","27.50361","-99.51167","121.0","LAREDO, TX US","","","","","","","        12"," ","","","","","",""
"USC00415056","1942","27.50361","-99.51167","121.0","LAREDO, TX US","","","","","","","         3"," ","","","","","",""
"USC00415056","1943","27.50361","-99.51167","121.0","LAREDO, TX US","        41","6","        26","6","         4","6","         8"," ","","","  51.3"," ,6,0902, ","    365.9"," ,6"
"USC00415056","1944","27.50361","-99.51167","121.0","LAREDO, TX US","","","","","","","         4"," ","","","","","",""
"USC00415056","1945","27.50361","-99.51167","121.0","LAREDO, TX US","        42","6","        20","6","         5","6","         3"," ","","","  52.8"," ,6,0420, ","    319.2"," ,6"
"USC00415056","1946","27.50361","-99.51167","121.0","LAREDO, TX US","","","","","","","         1"," ","","","","","",""
"USC00415056","1947","27.50361","-99.51167","121.0","LAREDO, TX US","","","","","","","         1"," ","         3"," ","","","",""
"USC00415056","1948","27.50361","-99.51167","121.0","LAREDO, TX US","","","","","","","         2"," ","         3"," ","","","",""
