"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00366914","1894","40.0","-75.183333","36.6","PHILADELPHIA CENTENNIAL AVENUE, PA US","    639.9","","     639.9","6","       125","6","        81","6","        11","6","","","         0","6","        70","6","        11","6","       159","6","        29","6","","","  -15.6","6,0225, ","",""," 115.6"," ,6,0521, ","   37.2","6,0624, ","0.0","6,1107","-2.2","6,1112","-5.0","6,1120","-7.8","6,1227","-10.6","6,1228","-0.6","6,0409","-3.9","6,0403","-5.6","6,0327","-15.6","6,0225","-15.6","6,0225","","","","","   1242.2"," ,6","","","     13.00","6","     17.61","6","      8.38","6"
"USC00366914","1895","40.0","-75.183333","36.6","PHILADELPHIA CENTENNIAL AVENUE, PA US","    713.0","","     713.0","6","       107","6","        72","6","         3","6","","","         2","6","        96","6","        21","6","       148","6","        27","6","","","  -18.9","6,0206, ","","","  56.1"," ,6,0408, ","   36.7","6,0923,+","0.0","6,1103","-2.2","6,1121","-6.1","6,1204","-7.8","6,1212","-10.6","6,1213","-0.6","6,0411","-2.2","6,0331","-4.4","6,0317","-6.7","6,0315","-8.9","6,0224","    2922.8","8","    2922.8","6","    816.8"," ,6","","","     12.21","6","     17.09","6","      7.33","6"
"USC00366914","1896","40.0","-75.183333","36.6","PHILADELPHIA CENTENNIAL AVENUE, PA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    2752.5","5","    2752.5","6","","","","","","","","","",""
"USC00366914","1897","40.0","-75.183333","36.6","PHILADELPHIA CENTENNIAL AVENUE, PA US","    559.3","","     559.3","6","       133","6","        86","6","        13","6","","","         0","6","        80","6","        14","6","       157","6","        11","6","","","  -13.3","6,0126,+","","","  53.6"," ,6,0727, ","   35.6","6,0911,+","0.0","6,1114","-4.4","6,1124","-4.4","6,1124","-8.9","6,1224","-8.9","6,1224","-2.8","6,0420","-2.8","6,0420","-5.0","6,0317","-7.2","6,0228","-9.4","6,0227","","","","","   1199.6"," ,6","","","     12.59","6","     17.21","6","      7.97","6"
"USC00366914","1898","40.0","-75.183333","36.6","PHILADELPHIA CENTENNIAL AVENUE, PA US","    721.8","","     721.8","6","       146","6","        92","6","        12","6","","","         0","6","        73","6","        11","6","       161","6","        35","6","","","  -13.9","6,0202, ","",""," 111.5"," ,6,0803, ","   38.3","6,0704,+","-0.6","6,1112","-3.3","6,1125","-5.0","6,1127","-6.7","6,1213","-8.9","6,1214","-2.2","6,0407","-2.2","6,0407","-4.4","6,0406","-7.8","6,0217","-10.6","6,0204","    2536.4","4","    2536.4","6","   1327.8"," ,6","","","     13.19","6","     17.73","6","      8.65","6"
"USC00366914","1899","40.0","-75.183333","36.6","PHILADELPHIA CENTENNIAL AVENUE, PA US","    662.7","","     662.7","6","","","","","","","","","         3","6","        79","6","        22","6","       164","6","        21","6","","","  -21.1","6,0210, ","","","","","   36.7","6,0606, ","-1.7","6,1113","-2.2","6,1206","-5.6","6,1207","-7.2","6,1227","-11.1","6,1230","-0.6","6,0405","-2.2","6,0327","-5.6","6,0321","-8.9","6,0216","-8.9","6,0216","    2793.6","6","    2793.6","6","","","","","     12.65","6","     17.37","6","      7.93","6"
"USC00366914","1900","40.0","-75.183333","36.6","PHILADELPHIA CENTENNIAL AVENUE, PA US","    828.6","","     828.6","6","       118","6","        74","6","        13","6","","","         0","6","        76","6","        14","6","       162","6","        39","6","","","  -13.3","6,0227,+","",""," 109.2"," ,6,0916, ","   38.3","6,0811, ","-1.7","6,1116","-5.0","6,1210","-5.0","6,1210","-7.2","6,1214","-10.6","6,1215","-1.7","6,0411","-2.8","6,0325","-11.7","6,0318","-11.7","6,0318","-11.7","6,0318","    2599.1","1","    2599.1","6","   1129.8"," ,6","","","     13.62","6","     18.21","6","      9.04","6"
"USC00366914","1901","40.0","-75.183333","36.6","PHILADELPHIA CENTENNIAL AVENUE, PA US","    681.4","","     681.4","6","       127","6","        81","6","        15","6","","","         0","6","        84","6","        27","6","       141","6","        24","6","         1"," ","  -12.8","6,0120, ","","","  71.9"," ,6,0819, ","   39.4","6,0702, ","-0.6","6,1116","-2.8","6,1120","-6.1","6,1128","-7.8","6,1205","-8.9","6,1206","0.0","6,0330","-2.8","6,0317","-8.3","6,0307","-8.3","6,0307","-10.0","6,0306","    2610.5","5","    2610.5","6","   1325.8"," ,6","","","     12.23","6","     16.46","6","      8.02","6"
"USC00366914","1902","40.0","-75.183333","36.6","PHILADELPHIA CENTENNIAL AVENUE, PA US","    534.3","","     534.3","6","       131","6","        84","6","        23","6","","","         0","6","        82","6","        21","6","       159","6","         9","6","","","  -10.6","6,0205, ","","","  58.4"," ,6,1001, ","   35.6","6,0705, ","0.0","6,1129","-2.2","6,1205","-7.2","6,1206","-7.2","6,1206","","","-1.7","6,0320","-5.6","6,0319","-5.6","6,0319","-7.8","6,0220","-8.9","6,0219","    2753.1","1","    2753.1","6","   1419.7"," ,6","","","     12.56","6","     16.97","6","      8.16","6"
"USC00366914","1903","40.0","-75.183333","36.6","PHILADELPHIA CENTENNIAL AVENUE, PA US","    513.4","","     513.4","6","       136","6","        77","6","        15","6","","","         0","6","        76","6","        18","6","       151","6","        13","6","","","  -15.6","6,0219, ","",""," 110.0"," ,6,1009, ","   36.1","6,0710, ","0.0","6,1107","-3.3","6,1119","-6.1","6,1126","-7.2","6,1127","-8.9","6,1219","-2.2","6,0405","-2.2","6,0405","-4.4","6,0223","-8.3","6,0221","-12.8","6,0220","    2410.5","5","    2410.5","6","   1341.8"," ,6","","","     12.58","6","     16.86","6","      8.29","6"
