"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00417705","1902","28.01667","-97.05","3.0","ROCKPORT, TX US","   1517.0","","    1517.0","0","        38","0","        31","0","        13","0","        0","","         0","0","         0","0","         2","0","         0","0","       266","0","         6","0","         2"," ","","","   -1.1","0,0127, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  81.3"," ,0,1102,+","   32.2","0,0831,+","","","0.0","0,0128","","","","","","","","","","","    744.3"," ,0","        0"," ,0","     20.99","0","     24.20","0","     17.79","0"
"USC00417705","1903","28.01667","-97.05","3.0","ROCKPORT, TX US","   1247.3","","    1247.3","0","        53","0","        48","0","        18","0","        0","","         0","0","         0","0","         1","0","         0","0","       229","0","        27","0","        17"," ","","","   -1.1","0,0216, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 123.2"," ,0,0310, ","   33.9","0,0722, ","","","-1.1","0,0216","","","","","","","     588.7","7","     588.7","0","   1285.7"," ,0","        0"," ,0","     19.88","0","     23.20","0","     16.57","0"
"USC00417705","1904","28.01667","-97.05","3.0","ROCKPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","         3"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00417705","1905","28.01667","-97.05","3.0","ROCKPORT, TX US","   1434.5","","    1434.5","0","        47","0","        43","0","        20","0","        0","","         0","0","         0","0","        11","0","         1","0","       231","0","        39","0","","","","","   -5.6","0,0213, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 128.3"," ,0,0622, ","   34.4","0,0806, ","","","0.0","0,0215","-2.2","0,0214","-5.6","0,0213","","","     789.6","6","     789.6","0","   1110.1"," ,0","        0"," ,0","     20.01","0","     23.38","0","     16.64","0"
"USC00417705","1906","28.01667","-97.05","3.0","ROCKPORT, TX US","   1464.7","","    1464.7","0","        29","0","        28","0","        14","0","        0","","         0","0","         0","0","         2","0","         0","0","       279","0","        29","0","        10"," ","","","   -1.1","0,0205, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  58.4"," ,0,1124, ","   34.4","0,0613, ","","","-1.1","0,0205","","","","","","","     573.0","0","     573.0","0","    677.0"," ,0","        0"," ,0","     20.92","0","     24.56","0","     17.27","0"
"USC00417705","1911","28.01667","-97.05","3.0","ROCKPORT, TX US","   1708.4","","    1708.4","0","        40","0","        37","0","        12","0","        0","","         0","0","         0","0","         7","0","         2","0","       271","0","         3","0","         8"," ","         6"," ","   -7.2","0,0103, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  52.1"," ,0,0425, ","   33.3","0,0531, ","-1.7","0,1129","0.0","0,0223","-2.2","0,0104","-7.2","0,0103","-7.2","0,0103","","","","","    638.1"," ,0","        0"," ,0","     21.55","0","     23.92","0","     19.18","0"
"USC00417705","1912","28.01667","-97.05","3.0","ROCKPORT, TX US","   1663.1","","    1663.1","0","        41","0","        34","0","         5","0","        0","","         0","0","         0","0","        10","0","         0","0","       260","0","         2","0","         5"," ","         6"," ","   -6.7","0,0113, ","     0"," ,0,1231,+","     5"," ,0,0112, ","  73.7"," ,0,0409, ","   32.8","0,0612, ","","","-0.6","0,0207","-3.3","0,0204","-6.7","0,0113","-6.7","0,0113","     663.3","3","     663.3","0","    666.3"," ,0","        5"," ,0","     21.14","0","     24.04","0","     18.23","0"
"USC00417705","1913","28.01667","-97.05","3.0","ROCKPORT, TX US","   1581.4","","    1581.4","0","        55","0","        41","0","         5","0","        0","","         0","0","         0","0","         3","0","         0","0","       249","0","         1","0","         7"," ","         6"," ","   -4.4","0,0107, ","     0"," ,0,1231,+","     0","T,0,0108,+","  88.9"," ,0,0617, ","   32.2","0,0807, ","","","0.0","0,0327","-2.8","0,0108","-4.4","0,0107","","","     683.1","1","     683.1","0","    966.8"," ,0","        0","T,0","     20.90","0","     23.45","0","     18.34","0"
"USC00417705","1914","28.01667","-97.05","3.0","ROCKPORT, TX US","","","","","        55","0","        46","0","        13","0","        0","","         0","0","","","","","","","","","","","         7"," ","         5"," ","","","     0"," ,0,1231,+","    20"," ,0,0225, "," 231.1"," ,0,1025, ","","","","","","","","","","","","","     604.1","1","     604.1"," ","   1135.5"," ,0","       20"," ,0","","","","","",""
"USC00417705","1915","28.01667","-97.05","3.0","ROCKPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","         3"," ","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00417705","1916","28.01667","-97.05","3.0","ROCKPORT, TX US","","","","","        35","0","        24","0","         8","0","        0","","         0","0","","","","","","","","","","","         6"," ","         3"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  66.0"," ,0,0629, ","","","","","","","","","","","","","","","","","    598.4"," ,0","        0"," ,0","","","","","",""
"USC00417705","1917","28.01667","-97.05","3.0","ROCKPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","         8"," ","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00417705","1947","28.01667","-97.05","3.0","ROCKPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
