"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00014971","1887","40.8389","-96.6869","350.5","LINCOLN WASTE WATER TREATMENT PLANT, NE US","","","","","        76","Z","        44","Z","         3","Z","","","","","        30","F","       138","Z","        49","F","       165","F","        33","F","","","","","","","  -30.0","Z,0102, ","","","","","  37.6"," ,Z,0513, ","   38.9","F,0729, ","-0.6","F,1018","-8.3","F,1024","-8.3","F,1024","-8.3","F,1024","-9.4","F,1025","-0.6","F,0423","-6.1","F,0404","-6.1","F,0404","-6.7","F,0328","-8.9","Z,0327","","","","","    470.5"," ,Z","","","","","      9.48","Z","     15.77","F","      3.19","Z","","","","","",""
"USW00014971","1888","40.8389","-96.6869","350.5","LINCOLN WASTE WATER TREATMENT PLANT, NE US","    507.3","","     507.3","F","        64","F","        43","F","         5","F","","","","","        26","F","       143","F","        51","F","       146","F","        28","F","","","","","","","  -32.8","F,0115, ","","","","","  80.5"," ,F,0626, ","   37.8","F,0802,+","0.0","F,1006","-3.3","F,1019","-4.4","F,1111","-9.4","F,1116","-9.4","F,1116","-2.8","F,0420","-2.8","F,0420","-7.8","F,0328","-7.8","F,0328","-8.9","F,0327","","","","","    637.4"," ,F","","","","","      9.20","F","     15.39","F","      3.01","F","","","","","",""
"USW00014971","1889","40.8389","-96.6869","350.5","LINCOLN WASTE WATER TREATMENT PLANT, NE US","    406.0","","     406.0","Z","        62","Z","        42","Z","         3","Z","","","","","        10","Z","       139","Z","        29","Z","       149","Z","         7","Z","","","","","","","  -27.2","Z,0206, ","","","","","  64.8"," ,Z,0812, ","   34.4","Z,0707,+","-1.1","F,1006","-3.9","F,1020","-5.6","Z,1104","-7.8","Z,1105","-9.4","F,1116","-1.1","F,0404","-4.4","F,0403","-4.4","F,0403","-8.9","Z,0311","-8.9","Z,0311","    3294.3","3","    3294.3","Z","    575.2"," ,Z","","","","","     10.25","Z","     16.48","Z","      4.02","Z","","","","","",""
"USW00014971","1890","40.8389","-96.6869","350.5","LINCOLN WASTE WATER TREATMENT PLANT, NE US","    581.6","","     581.6","Z","        55","F","        30","F","         2","F","","","","","        19","Z","       131","Z","        39","Z","       152","Z","        32","Z","","","","","","","  -31.7","Z,0106, ","","","","","  27.4"," ,F,0616, ","   39.4","Z,0713, ","-1.7","F,1026","-3.9","F,1031","-5.6","F,1103","-8.3","F,1109","-9.4","Z,1203","-0.6","Z,0507","-6.1","F,0401","-6.1","F,0401","-6.7","F,0328","-15.6","F,0315","    3360.8","8","    3360.8","Z","    376.4"," ,F","","","","","     10.30","Z","     16.71","Z","      3.88","Z","","","","","",""
"USW00014971","1891","40.8389","-96.6869","350.5","LINCOLN WASTE WATER TREATMENT PLANT, NE US","    449.4","","     449.4","F","        82","F","        59","F","        11","F","","","","","         9","F","       142","F","        38","F","       157","F","        15","F","","","","","","","  -24.4","F,0203, ","","","","","  76.2"," ,F,0625, ","   35.0","F,0808,+","-1.7","F,1007","-10.6","F,1111","-10.6","F,1111","-10.6","F,1111","-10.6","F,1111","-1.1","F,0407","-3.9","F,0405","-6.7","F,0404","-6.7","F,0404","-13.9","F,0314","    3293.6","6","    3293.6","F","   1031.3"," ,F","","","","","      9.80","F","     15.61","F","      3.99","F","","","","","",""
"USW00014971","1892","40.8389","-96.6869","350.5","LINCOLN WASTE WATER TREATMENT PLANT, NE US","    563.7","","     563.7","F","        83","F","        54","F","         9","F","","","","","        14","Z","       137","F","        54","Z","       144","Z","        34","Z","","","","","","","  -33.9","F,0119, ","","","","","  51.1"," ,F,0517, ","   38.9","Z,0721, ","-1.1","F,1009","-2.8","F,1024","-9.4","Z,1107","-9.4","Z,1107","-9.4","Z,1107","-1.1","Z,0415","-3.9","Z,0409","-6.1","F,0323","-11.1","F,0322","-11.1","F,0322","    3544.0","0","    3544.0","Z","    755.0"," ,F","","","","","      9.70","F","     15.38","Z","      4.01","F","","","","","",""
"USW00014971","1893","40.8389","-96.6869","350.5","LINCOLN WASTE WATER TREATMENT PLANT, NE US","    578.9","","     578.9","Z","        61","Z","        37","Z","         4","Z","","","","","        14","Z","       146","Z","        41","Z","       160","Z","        28","Z","","","","","","","  -25.6","Z,0204, ","","","","","  84.3"," ,Z,0814, ","   37.2","Z,0713,+","-0.6","Z,0925","-3.9","Z,1028","-5.0","Z,1103","-8.3","Z,1112","-9.4","Z,1118","0.0","Z,0429","-2.2","Z,0423","-8.3","Z,0325","-8.3","Z,0325","-16.1","Z,0318","    3723.5","5","    3723.5","Z","    510.2"," ,Z","","","","","      9.88","Z","     16.11","Z","      3.64","Z","","","","","",""
"USW00014971","1894","40.8389","-96.6869","350.5","LINCOLN WASTE WATER TREATMENT PLANT, NE US","    713.4","","     713.4","Z","        63","Z","        33","Z","         3","Z","","","","","        15","Z","       116","Z","        40","Z","       171","Z","        43","Z","","","","","","","  -28.3","Z,0124, ","","","","","  45.7"," ,Z,0623, ","   40.6","Z,0726, ","-1.7","Z,1008","-2.2","Z,1105","-8.9","Z,1110","-8.9","Z,1110","-8.9","Z,1110","-1.7","Z,0411","-2.2","Z,0410","-8.9","Z,0329","-8.9","Z,0329","-8.9","Z,0329","    3332.9","9","    3332.9","Z","    410.6"," ,Z","","","","","     11.32","Z","     17.68","Z","      4.95","Z","","","","","",""
"USW00014971","1895","40.8389","-96.6869","350.5","LINCOLN WASTE WATER TREATMENT PLANT, NE US","","","","","        65","Z","        38","Z","         3","Z","","","","","        20","Z","       134","Z","        50","Z","       173","Z","        44","Z","","","","","","","  -27.8","Z,0207, ","","","","","  36.3"," ,Z,0809, ","   38.9","Z,0726, ","-2.2","Z,0930","-2.2","Z,0930","-4.4","Z,1023","-7.2","Z,1028","-9.4","Z,1029","-0.6","Z,0402","-2.8","Z,0326","-5.0","Z,0320","-11.1","Z,0316","-11.1","Z,0316","    3284.9","9","    3284.9","Z","    404.9"," ,Z","","","","","     10.56","Z","     16.79","Z","      4.32","Z","","","","","",""
"USW00014971","1896","40.8389","-96.6869","350.5","LINCOLN WASTE WATER TREATMENT PLANT, NE US","    575.0","","     575.0","Z","        96","Z","        59","Z","        14","Z","","","","","         4","Z","       132","Z","        38","Z","       158","Z","        25","Z","","","","","","","  -20.6","Z,0103, ","","","","","  70.1"," ,Z,0513, ","   36.7","Z,0815, ","-0.6","Z,1017","-3.3","Z,1020","-4.4","Z,1105","-8.9","Z,1108","-8.9","Z,1108","-0.6","Z,0406","-3.9","Z,0403","-4.4","Z,0401","-11.7","Z,0323","-11.7","Z,0323","","","","","    966.9"," ,Z","","","","","     10.94","Z","     16.67","Z","      5.21","Z","","","","","",""
