"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00293015","1910","32.6","-106.01667","1223.5","ESCONDIDO, NM US","        29","6","        17","6","         1","6","","","         0","6","       248","6","       129","6","","","  29.2"," ,6,0819, ","   40.0","6,0823, ","","","","","    150.2"," ,6","","","     25.96","6"
"USC00293015","1911","32.6","-106.01667","1223.5","ESCONDIDO, NM US","        61","6","        29","6","         1","6","         2","6","","","","","","","    76"," ,6,1128, ","  25.4"," ,6,0217, ","","","","","","","    299.6"," ,6","      153"," ,6","",""
"USC00293015","1912","32.6","-106.01667","1223.5","ESCONDIDO, NM US","        41","6","        26","6","         0","6","         3","6","         0","6","       202","6","       106","6","    76"," ,6,1206, ","  24.4"," ,6,0912, ","   42.2","6,0802, ","","","","","    217.7"," ,6","      139"," ,6","     23.66","6"
"USC00293015","1913","32.6","-106.01667","1223.5","ESCONDIDO, NM US","        33","6","        24","6","         1","6","","","","","","","","","","","  35.6"," ,6,0907, ","","","    1970.5","5","    1970.5","6","    213.4"," ,6","","","",""
