"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00006060","1945","19.0167","-104.1167","34.7","CUYUTLAN, MX","        19","m","        19","m","        12","m","         0","m","         0","m","         0","m","       349","m","       135","m","   10.6","m,0223, "," 179.8"," ,m,1005, ","   35.0","m,0920,+","","","","","   1103.0"," ,m","     27.17","m","     30.02","m","     24.31","m"
"MXN00006060","1946","19.0167","-104.1167","34.7","CUYUTLAN, MX","        50","m","        47","m","        14","m","","","","","","","","","","","",""," 179.8"," ,m,1006, ","","","       0.0","0","       0.0","m","   1268.8"," ,m","","","","","",""
"MXN00006060","1947","19.0167","-104.1167","34.7","CUYUTLAN, MX","        44","m","        42","m","        11","m","","","","","","","","","","","","","  79.8"," ,m,1008, ","","","","","","","    860.3"," ,m","","","","","",""
"MXN00006060","1949","19.0167","-104.1167","34.7","CUYUTLAN, MX","        42","m","        34","m","         8","m","","","","","","","","","","","",""," 119.9"," ,m,0906, ","","","","","","","    866.7"," ,m","","","","","",""
"MXN00006060","1950","19.0167","-104.1167","34.7","CUYUTLAN, MX","        49","m","        44","m","         5","m","","","","","","","","","","","",""," 110.0"," ,m,0614, ","","","","","","","    747.4"," ,m","","","","","",""
"MXN00006060","1951","19.0167","-104.1167","34.7","CUYUTLAN, MX","        51","m","        45","m","        19","m","","","","","","","","","","","",""," 309.9"," ,m,0824, ","","","","","","","   1614.9"," ,m","","","","","",""
"MXN00006060","1953","19.0167","-104.1167","34.7","CUYUTLAN, MX","        30","m","        25","m","         2","m","","","","","","","","","","","","","  79.8"," ,m,1002, ","","","","","","","    307.3"," ,m","","","","","",""
"MXN00006060","1954","19.0167","-104.1167","34.7","CUYUTLAN, MX","        55","m","        50","m","         6","m","","","","","","","","","","","",""," 103.9"," ,m,0912, ","","","","","","","    918.4"," ,m","","","","","",""
"MXN00006060","1955","19.0167","-104.1167","34.7","CUYUTLAN, MX","        63","m","        57","m","        20","m","","","","","","","","","","","",""," 179.8"," ,m,0920, ","","","","","","","   1851.5"," ,m","","","","","",""
"MXN00006060","1956","19.0167","-104.1167","34.7","CUYUTLAN, MX","        60","m","        49","m","         9","m","","","","","","","","","","","","","  97.8"," ,m,0713, ","","","","","","","    885.4"," ,m","","","","","",""
"MXN00006060","1957","19.0167","-104.1167","34.7","CUYUTLAN, MX","        46","m","        37","m","        10","m","","","","","","","","","","","",""," 106.9"," ,m,0921, ","","","","","","","    869.5"," ,m","","","","","",""
