"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES"
"USC00356814","1914","44.25","-121.05","952.5","POWELL BUTTE, OR US","","","    3529.9","9","    3529.9","6"
"USC00356814","1941","44.25","-121.05","952.5","POWELL BUTTE, OR US","         5"," ","","","",""
