"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES"
"USC00176655","1885","44.36734","-67.86413","4.9","PETIT MANAN, ME US","","","         1"," "
"USC00176655","1893","44.36734","-67.86413","4.9","PETIT MANAN, ME US","        47"," ","",""
"USC00176655","1894","44.36734","-67.86413","4.9","PETIT MANAN, ME US","        84"," ","",""
"USC00176655","1895","44.36734","-67.86413","4.9","PETIT MANAN, ME US","        52"," ","",""
"USC00176655","1896","44.36734","-67.86413","4.9","PETIT MANAN, ME US","        61"," ","",""
"USC00176655","1897","44.36734","-67.86413","4.9","PETIT MANAN, ME US","        44"," ","",""
"USC00176655","1898","44.36734","-67.86413","4.9","PETIT MANAN, ME US","        68"," ","",""
"USC00176655","1899","44.36734","-67.86413","4.9","PETIT MANAN, ME US","        39"," ","",""
"USC00176655","1900","44.36734","-67.86413","4.9","PETIT MANAN, ME US","        24"," ","",""
"USC00176655","1901","44.36734","-67.86413","4.9","PETIT MANAN, ME US","        37"," ","",""
"USC00176655","1902","44.36734","-67.86413","4.9","PETIT MANAN, ME US","         3"," ","",""
