"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"NOE00133050","1921","58.6667","7.8","207.0","BYGLANDSFJORD, NO","       104","E","        66","E","         3","E","       90","","         0"," ","       149","E","  -13.0","E,0125,+","   250"," ,E,0102,+","  35.4"," ,E,0530, ","-1.8","E,0930","-6.6","E,1005","-6.6","E,1005","-8.5","E,1105","-9.0","E,1108","-2.0","E,0507","-4.0","E,0504","-7.0","E,0309","-7.0","E,0309","-10.0","E,0308","    682.5"," ,E","      1.94","E"
"NOE00133050","1923","58.6667","7.8","207.0","BYGLANDSFJORD, NO","","","","","","","       83","","         5"," ","       148","E","  -19.0","E,1226,+","   180"," ,E,1231,+","","","-1.4","E,1015","-2.8","E,1106","-10.0","E,1122","-10.0","E,1122","-10.0","E,1122","-0.4","E,0515","-2.6","E,0511","-5.8","E,0424","-7.6","E,0402","-8.9","E,0228","","","      0.89","E"
"NOE00133050","1924","58.6667","7.8","207.0","BYGLANDSFJORD, NO","       198","E","       124","E","        10","E","      131","","         3"," ","       145","E","  -19.2","E,0229, ","   950"," ,E,0303, ","  51.7"," ,E,1227, ","0.0","E,1010","-2.5","E,1022","-4.7","E,1120","-7.1","E,1205","","","-1.4","E,0510","-2.6","E,0507","-5.4","E,0416","-7.5","E,0413","-9.2","E,0412","   1472.4"," ,E","      0.87","E"
"NOE00133050","1925","58.6667","7.8","207.0","BYGLANDSFJORD, NO","       143","E","       111","E","        10","E","      103","","         5"," ","       166","E","  -20.1","E,1220, ","   300"," ,E,1229, ","  45.7"," ,E,0726, ","-1.0","E,0914","-4.1","E,1012","-8.6","E,1015","-8.6","E,1015","-9.0","E,1016","-3.4","E,0504","-3.4","E,0504","-5.0","E,0422","-7.5","E,0404","-9.2","E,0329","   1337.8"," ,E","      0.60","E"
"NOE00133050","1926","58.6667","7.8","207.0","BYGLANDSFJORD, NO","       182","E","       119","E","         7","E","      138","","         3"," ","       171","E","  -22.7","E,0213, ","   800"," ,E,0216, ","  58.1"," ,E,0928, ","-0.8","E,0909","-2.9","E,1013","-5.0","E,1014","-7.3","E,1018","-9.9","E,1031","-1.0","E,0517","-2.2","E,0417","-4.5","E,0327","-8.8","E,0323","-9.8","E,0311","   1431.5"," ,E","      0.99","E"
"NOE00133050","1927","58.6667","7.8","207.0","BYGLANDSFJORD, NO","       177","E","       126","E","         9","E","      159","","         1"," ","       187","E","  -19.0","E,1219, ","   770"," ,E,0328, ","  39.2"," ,E,0626, ","-0.5","E,0921","-3.9","E,1018","-6.0","E,1022","-7.8","E,1109","-16.0","E,1113","-1.9","E,0612","-2.8","E,0516","-6.9","E,0502","-6.9","E,0502","-9.2","E,0316","   1465.4"," ,E","      0.71","E"
"NOE00133050","1928","58.6667","7.8","207.0","BYGLANDSFJORD, NO","       191","E","       117","E","        11","E","      144","","         0"," ","       183","E","  -17.6","E,1216, ","  1100"," ,E,0206, ","  46.6"," ,E,1123, ","-5.0","E,0923","-5.0","E,0923","-5.0","E,0923","-7.5","E,1012","-10.0","E,1107","-1.0","E,0618","-5.6","E,0511","-5.6","E,0511","-8.1","E,0417","-11.9","E,0317","   1362.1"," ,E","     -0.04","E"
"NOE00133050","1929","58.6667","7.8","207.0","BYGLANDSFJORD, NO","       169","E","       116","E","         9","E","       94","","         6"," ","       169","E","  -21.6","E,0213, ","   400"," ,E,0221,+","  56.0"," ,E,1024, ","0.0","E,0820","-3.0","E,1016","-4.7","E,1118","-7.0","E,1119","","","-0.9","E,0514","-3.9","E,0504","-7.1","E,0503","-7.1","E,0503","-9.9","E,0404","   1366.5"," ,E","      0.12","E"
"NOE00133050","1930","58.6667","7.8","207.0","BYGLANDSFJORD, NO","       203","E","       142","E","         8","E","       92","","         0"," ","       147","E","  -14.9","E,0320, ","   520"," ,E,1228, ","  32.0"," ,E,0803, ","-0.5","E,1003","-3.2","E,1026","-5.6","E,1107","-10.3","E,1119","-10.3","E,1119","-0.4","E,0520","-2.8","E,0507","-4.6","E,0327","-9.8","E,0325","-9.8","E,0325","   1587.0"," ,E","      2.07","E"
"NOE00133050","1931","58.6667","7.8","207.0","BYGLANDSFJORD, NO","       175","E","       110","E","        12","E","      121","","         3"," ","       165","E","  -22.6","E,0302, ","  1140"," ,E,0225, ","  43.2"," ,E,1103, ","-1.0","E,0908","-3.9","E,1018","-7.9","E,1025","-7.9","E,1025","-9.9","E,1026","-1.0","E,0510","-3.0","E,0417","-7.0","E,0416","-7.0","E,0416","-9.0","E,0408","   1231.7"," ,E","      0.08","E"
"NOE00133050","1932","58.6667","7.8","207.0","BYGLANDSFJORD, NO","       157","E","       114","E","         6","E","       34","","         2"," ","       167","E","  -19.9","E,0312, ","   220"," ,E,0309, ","  45.1"," ,E,0110, ","-0.9","E,0921","-3.0","E,1004","-4.6","E,1006","-8.2","E,1114","-9.0","E,1208","-3.3","E,0512","-3.3","E,0512","-4.4","E,0419","-7.7","E,0327","-11.8","E,0325","   1310.7"," ,E","      1.27","E"
"NOE00133050","1933","58.6667","7.8","207.0","BYGLANDSFJORD, NO","       132","E","        83","E","         7","E","       90","","         2"," ","       174","E","  -19.9","E,0220, ","   560"," ,E,0309,+","  64.1"," ,E,0615, ","-4.1","E,1003","-4.1","E,1003","-6.6","E,1031","-8.1","E,1118","-16.2","E,1126","-0.7","E,0505","-2.3","E,0503","-5.0","E,0421","-7.8","E,0417","-10.7","E,0322","    990.1"," ,E","      1.27","E"
"NOE00133050","1934","58.6667","7.8","207.0","BYGLANDSFJORD, NO","       187","E","       126","E","        10","E","       35","","         0"," ","       120","E","  -14.7","E,0102,+","   240"," ,E,0118,+","  45.3"," ,E,1215, ","-0.1","E,0922","-2.2","E,1018","-7.7","E,1101","-7.7","E,1101","-9.6","E,1103","-0.9","E,0622","-2.9","E,0516","-4.9","E,0424","-6.7","E,0309","-11.4","E,0203","   1550.5"," ,E","      2.81","E"
"NOE00133050","1935","58.6667","7.8","207.0","BYGLANDSFJORD, NO","       164","E","       119","E","        15","E","       72","","         0"," ","       163","E","  -16.5","E,1224, ","   700"," ,E,1221, ","  63.0"," ,E,0829, ","-0.7","E,0910","-6.5","E,1022","-6.5","E,1022","-10.0","E,1208","-10.0","E,1208","-1.1","E,0610","-4.1","E,0519","-5.5","E,0516","-6.7","E,0501","-9.6","E,0404","   1630.6"," ,E","      1.25","E"
"NOE00133050","1936","58.6667","7.8","207.0","BYGLANDSFJORD, NO","       169","E","       108","E","         9","E","      119","","         2"," ","       168","E","  -19.3","E,0119,+","   850"," ,E,0301,+","  72.7"," ,E,1214, ","-3.2","E,0926","-3.2","E,0926","-4.4","E,1007","-8.1","E,1203","","","-2.2","E,0603","-2.2","E,0603","-4.5","E,0407","-8.8","E,0406","-9.5","E,0316","   1229.3"," ,E","      1.29","E"
"NOE00133050","1937","58.6667","7.8","207.0","BYGLANDSFJORD, NO","       183","E","       118","E","         3","E","      145","","         3"," ","       152","E","  -19.4","E,0226, ","  1020"," ,E,0326, ","  39.4"," ,E,0421, ","-0.9","E,0926","-2.9","E,1112","-6.9","E,1113","-6.9","E,1113","-9.8","E,1115","0.0","E,0602","-6.0","E,0402","-6.0","E,0402","-8.0","E,0401","-10.5","E,0331","   1120.0"," ,E","      1.46","E"
"NOE00133050","1938","58.6667","7.8","207.0","BYGLANDSFJORD, NO","       194","E","       120","E","        14","E","       86","","         0"," ","       127","E","  -13.6","E,1225, ","   460"," ,E,0113, ","  53.4"," ,E,0830, ","0.0","E,0914","-2.5","E,0916","-4.9","E,1123","-7.5","E,1220","-9.1","E,1224","-1.1","E,0522","-3.7","E,0521","-4.9","E,0511","-7.5","E,0327","-12.6","E,0225","   1539.3"," ,E","      2.74","E"
"NOE00133050","1939","58.6667","7.8","207.0","BYGLANDSFJORD, NO","       167","E","       112","E","        11","E","      125","","         0"," ","       163","E","  -16.9","E,0107, ","   700"," ,E,0110, ","  57.7"," ,E,1126, ","-2.7","E,0925","-2.7","E,0925","-4.7","E,0927","-7.1","E,1031","-9.1","E,1121","-0.8","E,0615","-2.8","E,0521","-6.2","E,0504","-7.4","E,0403","-10.0","E,0326","   1327.1"," ,E","      1.42","E"
"NOE00133050","1940","58.6667","7.8","207.0","BYGLANDSFJORD, NO","       141","E","        82","E","         5","E","      130","","        19"," ","       176","E","  -25.8","E,0209, ","   450"," ,E,0329,+","  45.5"," ,E,0914, ","-0.8","E,0830","-2.9","E,1001","-7.5","E,1024","-7.5","E,1024","-8.9","E,1026","-2.9","E,0514","-2.9","E,0514","-5.1","E,0423","-9.3","E,0406","-9.3","E,0406","    975.9"," ,E","     -0.40","E"
