"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CBUU","2002","32.7397","-114.8839","66.1","BUTTERCUP CALIFORNIA, CA US","   2505.8","","    2505.8","U","         0","U","         3","U","         0","U","       334","U","       185","U","   -1.1","U,1224,+","   47.2","U,0831,+","0.0","U,1219","-1.1","U,0203","","","","","","","","","     24.11","U","     32.77","U","     15.44","U"
"USR0000CBUU","2003","32.7397","-114.8839","66.1","BUTTERCUP CALIFORNIA, CA US","   2719.4","","    2719.4","U","         0","U","         1","U","         0","U","       342","U","       188","U","   -1.1","U,1229, ","   48.9","U,0714, ","-1.1","U,1229","","","","","","","     256.6","6","     256.6","U","     24.94","U","     32.84","U","     17.04","U"
"USR0000CBUU","2004","32.7397","-114.8839","66.1","BUTTERCUP CALIFORNIA, CA US","   2602.7","","    2602.7","U","         0","U","         0","U","         0","U","       317","U","       201","U","    1.1","U,0214,+","   46.7","U,0808,+","","","","","","","","","     408.9","9","     408.9","U","     24.31","U","     32.38","U","     16.24","U"
"USR0000CBUU","2005","32.7397","-114.8839","66.1","BUTTERCUP CALIFORNIA, CA US","   2568.7","","    2568.7","U","         0","U","         0","U","         0","U","       337","U","       192","U","    1.1","U,1217, ","   49.4","U,0717, ","","","","","","","","","     331.4","4","     331.4","U","     24.56","U","     32.53","U","     16.58","U"
"USR0000CBUU","2006","32.7397","-114.8839","66.1","BUTTERCUP CALIFORNIA, CA US","   2606.4","","    2606.4","U","         0","U","         2","U","         0","U","       333","U","       186","U","   -1.7","U,1221, ","   50.0","U,0721, ","-1.1","U,1220","","","","","","","     370.6","6","     370.6","U","     24.32","U","     32.63","U","     16.01","U"
"USR0000CBUU","2007","32.7397","-114.8839","66.1","BUTTERCUP CALIFORNIA, CA US","   2615.5","","    2615.5","U","         0","U","         4","U","         0","U","       319","U","       206","U","   -4.4","U,0114, ","   47.2","U,0704, ","","","0.0","U,0117","-2.8","U,0115","-4.4","U,0114","     442.8","8","     442.8","U","     24.13","U","     32.36","U","     15.91","U"
"USR0000CBUU","2008","32.7397","-114.8839","66.1","BUTTERCUP CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","     466.2","2","     466.2","U","","","","","",""
"USR0000CBUU","2009","32.7397","-114.8839","66.1","BUTTERCUP CALIFORNIA, CA US","   2735.3","","    2735.3","U","         0","U","         0","U","         0","U","       326","U","       204","U","    1.1","U,1227,+","   49.4","U,0828, ","","","","","","","","","","","","","     24.84","U","     33.46","U","     16.21","U"
"USR0000CBUU","2010","32.7397","-114.8839","66.1","BUTTERCUP CALIFORNIA, CA US","   2508.5","","    2508.5","U","         0","U","         0","U","         0","U","       329","U","       182","U","    1.1","U,1231, ","   49.4","U,0824, ","","","","","","","","","     353.6","6","     353.6","U","     24.28","U","     32.40","U","     16.16","U"
"USR0000CBUU","2011","32.7397","-114.8839","66.1","BUTTERCUP CALIFORNIA, CA US","   2568.2","","    2568.2","U","         0","U","         4","U","         0","U","       317","U","       195","U","   -1.1","U,0204,+","   49.4","U,0702, ","0.0","U,1205","-1.1","U,0204","","","","","     390.4","4","     390.4","U","     24.03","U","     32.40","U","     15.67","U"
