"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00030362","1983","20.7","-97.5333","91.7","TIHUATLAN, MX","","","","","        89","m","        66","m","         8","m","         0","m","         2","m","","","","","","","    0.0","m,1226,+","  70.9"," ,m,0717, ","","","0.0","m,1225","      72.5","5","    914.1"," ,m","","","","","     18.46","m"
"MXN00030362","1984","20.7","-97.5333","91.7","TIHUATLAN, MX","   2041.5","","    2041.5","m","       108","m","        90","m","        23","m","         0","m","         0","m","         0","m","       332","m","       101","m","    7.8","m,0121,+","  81.8"," ,m,0914, ","   41.7","m,0427, ","","","","","   1684.4"," ,m","     23.73","m","     29.31","m","     18.14","m"
"MXN00030362","1985","20.7","-97.5333","91.7","TIHUATLAN, MX","","","","","       100","m","        82","m","        17","m","","","","","","","","","","","","","  91.9"," ,m,0729, ","","","","","","","   1476.5"," ,m","","","","","",""
"MXN00030362","1986","20.7","-97.5333","91.7","TIHUATLAN, MX","","","","","        97","m","        83","m","         9","m","","","","","","","","","","","","","  66.8"," ,m,1015, ","","","","","","","   1065.1"," ,m","","","","","",""
"MXN00030362","1992","20.7","-97.5333","91.7","TIHUATLAN, MX","","","","","       132","m","       104","m","        22","m","","","","","","","","","","","",""," 192.8"," ,m,1023, ","","","","","","","   1931.7"," ,m","","","","","",""
"MXN00030362","1994","20.7","-97.5333","91.7","TIHUATLAN, MX","","","","","","","","","","","         0","m","         0","m","","","","","","","    7.8","m,0203, ","","","","","","","","","","","","","","","     19.10","m"
