"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00381937","1893","34.0","-81.05","34.4","COLUMBIA, SC US","","","","","","","","","         1"," ","","","","","",""
"USC00381937","1894","34.0","-81.05","34.4","COLUMBIA, SC US","","","","","","","","","         2"," ","","","","","",""
"USC00381937","1895","34.0","-81.05","34.4","COLUMBIA, SC US","       103","6","        78","6","        17","6","","","         6"," ","","","  78.7"," ,6,0716, ","   1351.3"," ,6"
"USC00381937","1896","34.0","-81.05","34.4","COLUMBIA, SC US","        92","6","        66","6","        12","6","        1","","         6"," ","    76"," ,6,1203, ","  97.3"," ,6,0206, ","   1063.7"," ,6"
"USC00381937","1897","34.0","-81.05","34.4","COLUMBIA, SC US","       111","6","        77","6","        12","6","        0","","         5"," ","     0","T,6,0128, ","  68.8"," ,6,0206, ","   1149.1"," ,6"
"USC00381937","1898","34.0","-81.05","34.4","COLUMBIA, SC US","       113","6","        80","6","        15","6","        0","","         4"," ","     0","T,6,0131,+"," 105.7"," ,6,0706, ","   1257.8"," ,6"
"USC00381937","1899","34.0","-81.05","34.4","COLUMBIA, SC US","       112","6","        73","6","        13","6","","","         6"," ","","","  71.6"," ,6,1031, ","   1262.1"," ,6"
"USC00381937","1900","34.0","-81.05","34.4","COLUMBIA, SC US","       102","6","        76","6","        19","6","","","         1"," ","","","  74.4"," ,6,0419, ","   1289.8"," ,6"
"USC00381937","1901","34.0","-81.05","34.4","COLUMBIA, SC US","       117","6","        77","6","        16","6","","","         2"," ","","","  91.9"," ,6,0521, ","   1295.0"," ,6"
"USC00381937","1902","34.0","-81.05","34.4","COLUMBIA, SC US","       115","6","        75","6","        12","6","","","         4"," ","","","  69.9"," ,6,0815, ","   1200.6"," ,6"
"USC00381937","1903","34.0","-81.05","34.4","COLUMBIA, SC US","       119","6","        82","6","        14","6","","","         8"," ","","","  79.8"," ,6,0208, ","   1261.1"," ,6"
"USC00381937","1904","34.0","-81.05","34.4","COLUMBIA, SC US","       113","6","        72","6","         9","6","","","        10"," ","","","  37.3"," ,6,0820, ","    852.5"," ,6"
"USC00381937","1905","34.0","-81.05","34.4","COLUMBIA, SC US","       112","6","        77","6","        14","6","","","         8"," ","","","  91.2"," ,6,0413, ","   1257.4"," ,6"
"USC00381937","1906","34.0","-81.05","34.4","COLUMBIA, SC US","       128","6","        81","6","        15","6","","","        10"," ","","","  58.4"," ,6,0918, ","   1233.3"," ,6"
"USC00381937","1907","34.0","-81.05","34.4","COLUMBIA, SC US","       112","6","        70","6","         9","6","","","         9"," ","","","  78.7"," ,6,0601, ","    990.0"," ,6"
"USC00381937","1908","34.0","-81.05","34.4","COLUMBIA, SC US","       101","6","        71","6","        10","6","","","        11"," ","","","  62.5"," ,6,0820, ","   1129.6"," ,6"
"USC00381937","1909","34.0","-81.05","34.4","COLUMBIA, SC US","       106","6","        66","6","        10","6","","","        15"," ","","","  54.6"," ,6,0627, ","    922.5"," ,6"
"USC00381937","1910","34.0","-81.05","34.4","COLUMBIA, SC US","       108","6","        77","6","        11","6","","","        11"," ","","","  89.9"," ,6,0224, ","   1109.6"," ,6"
"USC00381937","1911","34.0","-81.05","34.4","COLUMBIA, SC US","       113","6","        58","6","        14","6","","","         2"," ","",""," 104.9"," ,6,0620, ","   1082.8"," ,6"
"USC00381937","1912","34.0","-81.05","34.4","COLUMBIA, SC US","       117","6","        70","6","        15","6","","","","","","","  95.0"," ,6,0924, ","   1164.6"," ,6"
"USC00381937","1914","34.0","-81.05","34.4","COLUMBIA, SC US","       109","6","        73","6","         9","6","","","","","","","  67.8"," ,6,0629, ","    965.5"," ,6"
"USC00381937","1917","34.0","-81.05","34.4","COLUMBIA, SC US","       110","6","        61","6","         6","6","","","","","","","  52.3"," ,6,0508, ","    783.0"," ,6"
"USC00381937","1918","34.0","-81.05","34.4","COLUMBIA, SC US","        99","6","        55","6","         6","6","","","","","","","  62.0"," ,6,0907, ","    858.0"," ,6"
"USC00381937","1919","34.0","-81.05","34.4","COLUMBIA, SC US","        95","6","        63","6","         9","6","","","","","","","  74.2"," ,6,0721, ","   1020.4"," ,6"
"USC00381937","1920","34.0","-81.05","34.4","COLUMBIA, SC US","       103","6","        64","6","         9","6","","","","","","","  54.6"," ,6,0930, ","   1006.4"," ,6"
"USC00381937","1923","34.0","-81.05","34.4","COLUMBIA, SC US","       116","6","        69","6","         6","6","","","","","","","  68.6"," ,6,0626, ","    886.1"," ,6"
"USC00381937","1924","34.0","-81.05","34.4","COLUMBIA, SC US","       117","6","        82","6","        19","6","","","","","","","  65.0"," ,6,0405, ","   1379.7"," ,6"
"USC00381937","1925","34.0","-81.05","34.4","COLUMBIA, SC US","        90","6","        56","6","         7","6","","","","","","","  60.2"," ,6,0120, ","    761.5"," ,6"
"USC00381937","1928","34.0","-81.05","34.4","COLUMBIA, SC US","       111","6","        83","6","        18","6","","","","","",""," 139.7"," ,6,0906, ","   1576.2"," ,6"
