"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA002303694","1961","68.6","-92.0167","371.0","SIMPSON LAKE, NU CA","","","","","","","","","       199","C","       314","C","  -47.8","C,0111, ","","","","","0.0","C,0802","-3.9","C,0817","-4.4","C,0818","-6.7","C,0902","-8.9","C,0918","0.0","C,0730","-2.8","C,0629","-4.4","C,0613","-7.8","C,0610","-10.0","C,0609","","","","","","","","","    -19.92","C"
"CA002303694","1962","68.6","-92.0167","371.0","SIMPSON LAKE, NU CA","        66","C","        39","C","         0","C","        16","C","       198","C","       295","C","  -51.2","C,0129, ","   102"," ,C,0402, ","  18.0"," ,C,0728, ","0.0","C,0801","-4.4","C,0812","-4.4","C,0812","-7.2","C,0917","-10.0","C,1003","-0.6","C,0628","-2.2","C,0627","-8.9","C,0604","-8.9","C,0604","-8.9","C,0604","","","","","    248.6"," ,C","     1076"," ,C","    -18.75","C"
"CA002303694","1963","68.6","-92.0167","371.0","SIMPSON LAKE, NU CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   12390.6","6","   12390.6","C","","","","","",""
