"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000FOAS","2004","25.85","-81.03","2.4","OASIS FLORIDA, FL US","   2192.5","","    2192.5","U","         0","U","         0","U","         0","U","       355","U","       126","U","    4.4","U,1221,+","   37.8","U,0827, ","","","","","     117.5","5","     117.5","U","     24.05","U","     30.01","U","     18.08","U"
"USR0000FOAS","2005","25.85","-81.03","2.4","OASIS FLORIDA, FL US","   2320.0","","    2320.0","U","         0","U","         0","U","         0","U","       356","U","       141","U","    2.8","U,0213,+","   37.2","U,0814,+","","","","","     126.1","1","     126.1","U","     24.35","U","     30.17","U","     18.53","U"
"USR0000FOAS","2006","25.85","-81.03","2.4","OASIS FLORIDA, FL US","   2202.8","","    2202.8","U","         0","U","         0","U","         0","U","       352","U","       161","U","    1.1","U,0214, ","   37.2","U,0616, ","","","","","     122.6","6","     122.6","U","     24.01","U","     30.39","U","     17.62","U"
"USR0000FOAS","2007","25.85","-81.03","2.4","OASIS FLORIDA, FL US","   2333.2","","    2333.2","U","         0","U","         1","U","         0","U","       357","U","       142","U","    0.0","U,0219, ","   37.2","U,0807, ","","","0.0","U,0219","      96.2","2","      96.2","U","     24.50","U","     30.69","U","     18.32","U"
"USR0000FOAS","2008","25.85","-81.03","2.4","OASIS FLORIDA, FL US","","","","","","","","","","","","","","","","","","","","","","","      50.3","3","      50.3","U","","","","","",""
"USR0000FOAS","2010","25.85","-81.03","2.4","OASIS FLORIDA, FL US","   2245.6","","    2245.6","U","         0","U","         5","U","         0","U","       330","U","       167","U","   -1.1","U,1215,+","   38.3","U,0912,+","0.0","U,1214","-1.1","U,0111","     245.8","8","     245.8","U","     23.51","U","     29.75","U","     17.26","U"
"USR0000FOAS","2011","25.85","-81.03","2.4","OASIS FLORIDA, FL US","","","","","","","","","","","","","","","","","","","","","","","     197.5","5","     197.5"," ","","","","","",""
"USR0000FOAS","2012","25.85","-81.03","2.4","OASIS FLORIDA, FL US","   2297.9","","    2297.9","U","         0","U","         0","U","         0","U","       361","U","       137","U","    0.6","U,0104, ","   36.7","U,0911,+","","","","","","","","","     24.38","U","     30.39","U","     18.37","U"
"USR0000FOAS","2013","25.85","-81.03","2.4","OASIS FLORIDA, FL US","","","","","","","","","","","","","","","","","","","","","","","      92.9","9","      92.9","U","","","","","",""
"USR0000FOAS","2014","25.85","-81.03","2.4","OASIS FLORIDA, FL US","   2325.7","","    2325.7","U","         0","U","         0","U","         0","U","       358","U","       165","U","    1.1","U,0119,+","   38.3","U,0818,+","","","","","","","","","     24.44","U","     31.13","U","     17.75","U"
"USR0000FOAS","2015","25.85","-81.03","2.4","OASIS FLORIDA, FL US","   2690.9","","    2690.9","U","         0","U","         1","U","         0","U","       364","U","       196","U","    0.0","U,0220, ","   38.9","U,0712, ","","","0.0","U,0220","      87.4","4","      87.4","U","     25.49","U","     31.73","U","     19.26","U"
"USR0000FOAS","2016","25.85","-81.03","2.4","OASIS FLORIDA, FL US","   2582.1","","    2582.1","U","         0","U","         0","U","         0","U","       349","U","       152","U","    6.7","U,0124, ","   37.8","U,0708, ","","","","","      61.0","0","      61.0","U","     25.19","U","     30.48","U","     19.90","U"
