"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00243372","1967","45.21667","-111.28333","2012.9","BIG SKY 2 WNW, MT US","","","","","","","","","","","","","","","","","","","","","         3"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00243372","1968","45.21667","-111.28333","2012.9","BIG SKY 2 WNW, MT US","      0.8","","       0.8","0","       148","0","        85","0","         0","0","        42","0","       272","0","        55","0","        75","0","         0","0","","","  -35.0","0,1231, ","  18.3"," ,0,0928, ","   30.6","0,0729, ","-3.9","0,0801","-3.9","0,0801","-4.4","0,0921","-6.7","0,1003","-8.9","0,1008","-1.1","0,0731","-2.2","0,0702","-5.0","0,0520","-8.3","0,0506","-15.0","0,0423","","","","","    592.0"," ,0","      2.37","0","     10.64","0","     -5.90","0"
"USC00243372","1969","45.21667","-111.28333","2012.9","BIG SKY 2 WNW, MT US","      2.6","","       2.6","0","       117","0","        76","0","         0","0","        45","0","       266","0","        60","0","        89","0","         1","0","         1"," ","  -29.4","0,0125,+","  20.3"," ,0,0123, ","   32.8","0,0810, ","-1.7","0,0807","-3.3","0,0831","-6.7","0,0904","-6.7","0,0904","-10.0","0,1005","0.0","0,0708","-2.8","0,0704","-4.4","0,0614","-8.9","0,0430","-8.9","0,0430","    5719.8","8","    5719.8","0","    575.4"," ,0","      2.83","0","     11.39","0","     -5.73","0"
"USC00243372","1970","45.21667","-111.28333","2012.9","BIG SKY 2 WNW, MT US","      4.3","","       4.3","0","       149","0","        87","0","         2","0","        32","0","       262","0","        59","0","        92","0","         2","0","        15"," ","  -34.4","0,0105, ","  30.5"," ,0,0727, ","   32.2","0,0807,+","-1.1","0,0805","-5.0","0,0910","-5.0","0,0910","-7.8","0,0915","-9.4","0,0924","0.0","0,0715","-3.3","0,0601","-4.4","0,0515","-6.7","0,0502","-13.9","0,0422","    5583.8","8","    5583.8","0","    659.3"," ,0","      2.40","0","     10.58","0","     -5.78","0"
"USC00243372","1971","45.21667","-111.28333","2012.9","BIG SKY 2 WNW, MT US","      3.9","","       3.9","0","       136","0","        82","0","         1","0","        43","0","       281","0","        77","0","        81","0","         0","0","         3"," ","  -32.2","0,1208, ","  36.8"," ,0,0627, ","   31.7","0,0814,+","-3.9","0,0824","-3.9","0,0824","-6.7","0,0915","-6.7","0,0915","-10.6","0,0918","-0.6","0,0712","-2.2","0,0707","-5.0","0,0703","-7.2","0,0428","-16.1","0,0413","    5754.2","2","    5754.2","0","    615.6"," ,0","      2.06","0","     10.13","0","     -6.01","0"
"USC00243372","1972","45.21667","-111.28333","2012.9","BIG SKY 2 WNW, MT US","      0.9","","       0.9","0","       139","0","        80","0","         1","0","        39","0","       268","0","        67","0","        91","0","         0","0","","","  -35.6","0,0104, ","  26.9"," ,0,0910, ","   31.1","0,0811,+","0.0","0,0806","-2.8","0,0907","-4.4","0,0920","-7.2","0,0924","-8.9","0,0929","-0.6","0,0723","-3.9","0,0704","-5.0","0,0503","-8.9","0,0502","-8.9","0,0502","    5842.5","5","    5842.5","0","    562.7"," ,0","      2.33","0","     10.33","0","     -5.67","0"
"USC00243372","1973","45.21667","-111.28333","2012.9","BIG SKY 2 WNW, MT US","      2.2","","       2.2","0","       127","0","        62","0","         1","0","        36","0","       268","0","        60","0","       103","0","         2","0","","","  -35.6","0,0108, ","  35.6"," ,0,0420, ","   32.2","0,0711,+","0.0","0,0819","-4.4","0,0903","-4.4","0,0903","-7.2","0,0917","-9.4","0,1010","-1.1","0,0703","-2.8","0,0702","-4.4","0,0618","-6.7","0,0512","-10.6","0,0502","    5932.0","0","    5932.0","0","    560.2"," ,0","      2.66","0","     11.03","0","     -5.71","0"
"USC00243372","1974","45.21667","-111.28333","2012.9","BIG SKY 2 WNW, MT US","      2.5","","       2.5","0","       108","0","        69","0","         0","0","        33","0","       267","0","        55","0","       104","0","         0","0","","","  -33.9","0,0108, ","  24.6"," ,0,0702, ","   31.7","0,0715, ","-2.2","0,0810","-2.2","0,0810","-6.7","0,0902","-6.7","0,0902","-8.9","0,0913","0.0","0,0703","-2.2","0,0610","-4.4","0,0523","-10.6","0,0516","-10.6","0,0516","    5438.8","8","    5438.8","0","    472.1"," ,0","      3.01","0","     11.78","0","     -5.77","0"
"USC00243372","1975","45.21667","-111.28333","2012.9","BIG SKY 2 WNW, MT US","      5.0","","       5.0","0","       129","0","        90","0","         0","0","        52","0","       278","0","        82","0","        84","0","         1","0","","","  -32.2","0,0112, ","  24.9"," ,0,1023, ","   32.8","0,0727, ","-0.6","0,0801","-2.2","0,0826","-6.1","0,0919","-6.7","0,0921","-12.8","0,1008","-3.9","0,0628","-3.9","0,0628","-4.4","0,0529","-7.2","0,0526","-9.4","0,0502","    5975.7","7","    5975.7","0","    648.2"," ,0","      1.63","0","      9.93","0","     -6.66","0"
"USC00243372","1976","45.21667","-111.28333","2012.9","BIG SKY 2 WNW, MT US","      0.0","","       0.0","0","       111","0","        76","0","         1","0","        32","0","       260","0","        55","0","        91","0","         0","0","         3"," ","  -32.2","0,0205, ","  27.9"," ,0,0614, ","   30.6","0,0711, ","0.0","0,0808","-5.0","0,0827","-5.0","0,0827","-6.7","0,0908","-12.8","0,1019","-1.1","0,0728","-2.2","0,0627","-5.0","0,0516","-6.7","0,0501","-10.0","0,0424","    5602.5","5","    5602.5","0","    595.6"," ,0","      3.12","0","     11.85","0","     -5.62","0"
