"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES"
"UKW00015041","1954","53.36667","-0.68333","21.0","STURGATE, UK","","","         9"," ","","","",""
"UKW00015041","1955","53.36667","-0.68333","21.0","STURGATE, UK","       23","","        93"," ","         3"," ","   152"," ,X,0225,+"
"UKW00015041","1956","53.36667","-0.68333","21.0","STURGATE, UK","","","        20"," ","","","",""
"UKW00015041","1957","53.36667","-0.68333","21.0","STURGATE, UK","","","         1"," ","","","",""
