"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES"
"ASN00040680","1979","-25.35","152.5983","30.0","TORBANLEA RAILWAY, AS","    651.0"," ,a"
"ASN00040680","1980","-25.35","152.5983","30.0","TORBANLEA RAILWAY, AS","    881.1"," ,a"
"ASN00040680","1981","-25.35","152.5983","30.0","TORBANLEA RAILWAY, AS","   1235.2"," ,a"
"ASN00040680","1982","-25.35","152.5983","30.0","TORBANLEA RAILWAY, AS","    861.1"," ,a"
"ASN00040680","1983","-25.35","152.5983","30.0","TORBANLEA RAILWAY, AS","   1354.7"," ,a"
"ASN00040680","1984","-25.35","152.5983","30.0","TORBANLEA RAILWAY, AS","   1171.8"," ,a"
"ASN00040680","1985","-25.35","152.5983","30.0","TORBANLEA RAILWAY, AS","    935.3"," ,a"
"ASN00040680","1986","-25.35","152.5983","30.0","TORBANLEA RAILWAY, AS","    798.2"," ,a"
"ASN00040680","1988","-25.35","152.5983","30.0","TORBANLEA RAILWAY, AS","   1141.7"," ,a"
"ASN00040680","1989","-25.35","152.5983","30.0","TORBANLEA RAILWAY, AS","    985.7"," ,a"
"ASN00040680","1990","-25.35","152.5983","30.0","TORBANLEA RAILWAY, AS","    791.0"," ,a"
