"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00244558","1897","48.30408","-114.26426","903.2","KALISPELL GLACIER AIRPORT, MT US","","","","","","","        86","6","        53","6","         2","6","","","","","","","","","","","","","","","","","","","","","","","","","","","  35.6"," ,6,1130, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    431.4"," ,6","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00244558","1898","48.30408","-114.26426","903.2","KALISPELL GLACIER AIRPORT, MT US","","","    242.5","","     242.5","6","","","","","","","","","","","         9","6","       178","6","        48","6","       111","6","        12","6","","","","","","","  -22.2","6,0110, ","","","","","","","   35.6","6,0820, ","0.0","6,0906","-4.4","6,1002","-4.4","6,1002","-6.7","6,1108","-10.0","6,1109","-3.9","6,0411","-3.9","6,0411","-6.7","6,0408","-6.7","6,0408","-8.9","6,0407","    4103.2","2","    4103.2","6","","","","","      7.16","6","     13.08","6","      1.23","6","","","","","","","","","","","","","","","",""
"USC00244558","1899","48.30408","-114.26426","903.2","KALISPELL GLACIER AIRPORT, MT US","","","     31.9","","      31.9","0","       112","0","        65","0","         1","0","","","        23","0","        16","0","       162","0","        48","0","        70","0","         0","0","","","","","","","  -32.2","0,0204, ","","","   178"," ,0,0102, ","  32.3"," ,0,0913, ","   31.7","0,0718,+","0.0","0,1003","-2.2","0,1012","-7.2","0,1014","-7.2","0,1014","-11.1","0,1214","-1.7","0,0513","-3.3","0,0512","-8.3","0,0501","-8.3","0,0501","-12.2","6,0329","    4667.9","9","    4667.9","0","    493.9"," ,0","     1762"," ,0","      5.01","0","     10.41","0","     -0.39","0","","","","","","","","","","","","","","","",""
"USC00244558","1900","48.30408","-114.26426","903.2","KALISPELL GLACIER AIRPORT, MT US","","","     66.4","","      66.4","0","       116","0","        48","0","         3","0","","","","","        10","0","       152","0","        39","0","        81","0","         7","0","","","","","","","  -28.3","0,0215, ","","","","","  50.8"," ,0,1119, ","   33.3","0,0724,+","0.0","0,0925","-4.4","0,0926","-4.4","0,0926","-7.8","0,1111","-10.0","0,1116","0.0","0,0523","-3.3","0,0408","-8.3","0,0306","-8.3","0,0306","-13.3","0,0305","    4114.0","0","    4114.0","0","    499.6"," ,0","","","      6.91","0","     12.55","0","      1.27","0","","","","","","","","","","","","","","","",""
"USC00244558","1901","48.30408","-114.26426","903.2","KALISPELL GLACIER AIRPORT, MT US","","","     66.4","","      66.4","0","       121","0","        39","0","         0","0","","","","","         8","0","       177","0","        49","0","        81","0","         6","0","","","","","","","  -20.6","0,0106,+","","","","","  18.8"," ,0,0611,+","   32.8","0,0815,+","0.0","0,0915","-4.4","0,1102","-4.4","0,1102","-11.7","0,1211","-11.7","0,1211","-0.6","0,0608","-3.3","0,0510","-4.4","0,0408","-7.8","0,0306","-11.1","0,0305","    4613.0","0","    4613.0","0","    327.6"," ,0","","","      6.26","0","     11.90","0","      0.63","0","","","","","","","","","","","","","","","",""
"USC00244558","1902","48.30408","-114.26426","903.2","KALISPELL GLACIER AIRPORT, MT US","","","     28.5","","      28.5","0","       132","0","        54","0","         3","0","","","","","         8","0","       181","0","        50","0","        73","0","         0","0","","","","","","","  -27.8","0,0127, ","","","","","  30.7"," ,0,0518, ","   31.7","0,0721, ","-1.1","0,0918","-2.8","0,1023","-5.0","0,1105","-7.2","0,1106","-9.4","0,1122","0.0","0,0620","-2.8","0,0430","-5.0","0,0414","-6.7","0,0330","-14.4","0,0316","    4393.4","4","    4393.4","0","    489.1"," ,0","","","      5.67","0","     11.21","0","      0.13","0","","","","","","","","","","","","","","","",""
"USC00244558","1903","48.30408","-114.26426","903.2","KALISPELL GLACIER AIRPORT, MT US","","","     34.4","","      34.4","0","       118","0","        51","0","         1","0","","","","","         6","0","       180","0","        70","0","        80","0","         2","0","","","","","","","  -23.3","0,1118, ","","","","","  35.6"," ,0,1114, ","   32.2","0,0819,+","-0.6","0,0914","-2.8","0,0915","-5.0","0,1031","-10.0","0,1112","-10.0","0,1112","-0.6","0,0518","-2.2","0,0502","-5.6","0,0429","-6.7","0,0322","-8.9","0,0319","    4621.9","9","    4621.9","0","    372.4"," ,0","","","      5.53","0","     11.01","0","      0.06","0","","","","","","","","","","","","","","","",""
"USC00244558","1904","48.30408","-114.26426","903.2","KALISPELL GLACIER AIRPORT, MT US","","","     75.6","","      75.6","0","       114","0","        35","0","         0","0","","","","","         3","0","       161","0","        45","0","        92","0","         4","0","","","","","        12"," ","  -20.6","0,0325, ","","","","","  14.0"," ,0,0224, ","   34.4","0,0722, ","0.0","0,0921","-3.3","0,1005","-4.4","0,1027","-6.7","0,1119","-9.4","0,1205","-1.1","0,0525","-2.8","0,0508","-4.4","0,0402","-13.3","0,0327","-13.3","0,0327","    4620.8","8","    4620.8","0","    285.6"," ,0","","","      7.02","0","     12.94","0","      1.09","0","","","","","","","","","","","","","","","",""
"USC00244558","1905","48.30408","-114.26426","903.2","KALISPELL GLACIER AIRPORT, MT US","","","     86.9","","      86.9","0","       118","0","        47","0","         0","0","","","","","        17","0","       188","0","        58","0","        99","0","         9","0","","","","","        19"," ","  -33.3","0,0211, ","","","","","  17.3"," ,0,0530, ","   35.0","0,0808, ","-0.6","0,0918","-3.3","0,1010","-9.4","0,1017","-9.4","0,1017","-9.4","0,1017","0.0","0,0523","-3.3","0,0501","-4.4","0,0414","-8.9","0,0312","-8.9","0,0312","    4212.6","6","    4212.6","0","    386.2"," ,0","","","      5.98","0","     12.17","0","     -0.20","0","","","","","","","","","","","","","","","",""
"USC00244558","1906","48.30408","-114.26426","903.2","KALISPELL GLACIER AIRPORT, MT US","","","    101.4","","     101.4","0","       119","0","        42","0","         0","0","","","","","         6","0","       165","0","        60","0","       102","0","         9","0","","","","","        14"," ","  -23.3","0,0315, ","","","","","  16.0"," ,0,0515, ","   35.6","0,0705, ","-1.1","0,0911","-2.2","0,1015","-4.4","0,1021","-8.9","0,1118","-8.9","0,1118","-2.8","0,0505","-2.8","0,0505","-6.7","0,0321","-6.7","0,0321","-13.9","0,0320","    4481.4","4","    4481.4","0","    343.6"," ,0","","","      6.89","0","     13.06","0","      0.72","0","","","","","","","","","","","","","","","",""
