"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IRM00040831","1952","30.371","48.228","3.0","ABADAN, IR","","","","","","","","","","","         0","S","         0","S","         0","S","       295","S","       201","S","    0.6","S,0107, ","","","   49.4","S,0718, ","","","","","     25.48","S","     33.47","S","     17.48","S"
"IRM00040831","1953","30.371","48.228","3.0","ABADAN, IR","","","","","","","","","","","","","","","         0","S","       274","S","       189","S","","","","","   48.9","S,0723,+","","","","","","","     32.59","S","",""
"IRM00040831","1955","30.371","48.228","3.0","ABADAN, IR","","","","","","","","","","","","","","","         0","S","       292","S","       195","S","","","","","   50.0","S,0803, ","","","","","","","     33.52","S","",""
"IRM00040831","1958","30.371","48.228","3.0","ABADAN, IR","   2956.5","","    2956.5","S","","","","","","","         0","S","         3","S","         0","S","       298","S","       220","S","   -1.1","S,0102,+","","","   48.9","S,0830,+","0.0","S,0202","","","     25.26","S","     33.61","S","     16.91","S"
"IRM00040831","2006","30.371","48.228","3.0","ABADAN, IR","","","","","        28","S","        12","S","         4","S","","","","","","","","","","","",""," 106.9"," ,S,0414, ","","","","","    286.8"," ,S","","","","","",""
"IRM00040831","2007","30.371","48.228","3.0","ABADAN, IR","","","","","        25","S","        16","S","         1","S","","","","","","","","","","","","","  70.1"," ,S,0616, ","","","","","    213.8"," ,S","","","","","",""
"IRM00040831","2011","30.371","48.228","3.0","ABADAN, IR","","","","","        31","S","        11","S","         1","S","","","","","         0","S","       293","S","       202","S","","","  31.0"," ,S,0331, ","   51.6","S,0714,+","","","    112.4"," ,S","","","     33.80","S","",""
"IRM00040831","2012","30.371","48.228","3.0","ABADAN, IR","","","","","        27","S","        13","S","         0","S","","","","","         0","S","       279","S","       204","S","","","  23.1"," ,S,1126, ","   52.0","S,0731, ","","","    134.5"," ,S","","","     34.31","S","",""
"IRM00040831","2013","30.371","48.228","3.0","ABADAN, IR","","","","","","","","","","","","","","","         0","S","       311","S","       194","S","","","","","   51.8","S,0719, ","","","","","","","     33.56","S","",""
"IRM00040831","2017","30.371","48.228","3.0","ABADAN, IR","","","","","        17","S","         8","S","         1","S","","","","","","","","","","","","","  31.8"," ,S,0325, ","","","","","     74.2"," ,S","","","","","",""
"IRM00040831","2020","30.371","48.228","3.0","ABADAN, IR","","","","","        31","S","         9","S","         2","S","","","","","","","","","","","","","  33.5"," ,S,1129, ","","","","","    129.0"," ,S","","","","","",""
"IRM00040831","2022","30.371","48.228","3.0","ABADAN, IR","","","","","        27","S","        14","S","         0","S","","","","","","","","","","","","","  16.5"," ,S,1111, ","","","","","    137.0"," ,S","","","","","",""
"IRM00040831","2024","30.371","48.228","3.0","ABADAN, IR","","","","","        23","S","        13","S","         0","S","","","","","","","","","","","","","  21.8"," ,S,0319, ","","","","","     93.6"," ,S","","","","","",""
