"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00119148","2008","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","        76","0","        68","0","        14","0","","","","","","","        22"," ","","","",""," 190.5"," ,0,0317, ","   1190.5"," ,0","",""
"USC00119148","2009","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","","","","","","","","","","","","","        25"," ","","","","","","","","","",""
"USC00119148","2010","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","        80","0","        66","0","         9","0","","","         0","0","","","        17"," ","","","     0"," ,0,1231,+","  57.7"," ,0,0814, ","    874.6"," ,0","        0"," ,0"
"USC00119148","2011","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","        81","K","        74","K","        26","K","","","","","","","        16"," ","","","","","  72.6"," ,K,0501, ","   1663.2"," ,K","",""
"USC00119148","2012","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","","","","","","","","","","","","","        15"," ","","","","","","","","","",""
"USC00119148","2016","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","       106","7","        79","7","        15","7","","","","","","","","","","","","","  90.7"," ,7,0814, ","   1387.6"," ,7","",""
"USC00119148","2017","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","        90","7","        72","7","        12","7","","","","","","","","","","","",""," 130.8"," ,7,0429, ","   1127.9"," ,7","",""
"USC00119148","2018","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","       114","7","        88","7","        11","7","","","","","","","","","","","","","  58.7"," ,7,0225, ","   1321.2"," ,7","",""
"USC00119148","2019","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","       124","7","        91","7","        12","7","","","","","","","","","","","","","  50.8"," ,7,1130,+","   1310.9"," ,7","",""
"USC00119148","2020","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","       122","7","        80","7","         7","7","","","","","","","","","","","",""," 113.8"," ,7,0630, ","   1227.5"," ,7","",""
"USC00119148","2021","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","       106","7","        83","7","        12","7","","","","","","","","","","","","","  59.4"," ,7,0318, ","   1294.5"," ,7","",""
"USC00119148","2022","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","","","","","","","","","","","","","","","","","","","","","   1066.9"," ,7","",""
"USC00119148","2023","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","        76","7","        64","7","        18","7","","","","","","","","","","","","","  85.6"," ,7,0303, ","   1350.4"," ,7","",""
