"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00069010","1888","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","        38","a","        33","a","         5","a","","","","","","","","","","","","","  77.2"," ,a,1217, ","","","","","","","","","","","    438.4"," ,a","","","","","",""
"ASN00069010","1889","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","        78","a","        55","a","         5","a","","","","","","","","","","","","","  38.1"," ,a,1127,+","","","","","","","","","","","    594.1"," ,a","","","","","",""
"ASN00069010","1891","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","        79","a","        61","a","        17","a","","","","","","","","","","","",""," 113.3"," ,a,0627, ","","","","","","","","","","","   1269.2"," ,a","","","","","",""
"ASN00069010","1894","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","        75","a","        52","a","         5","a","","","","","","","","","","","","","  53.3"," ,a,0420, ","","","","","","","","","","","    622.5"," ,a","","","","","",""
"ASN00069010","1895","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","        61","a","        36","a","         1","a","","","","","","","","","","","","","  28.7"," ,a,0101, ","","","","","","","","","","","    393.3"," ,a","","","","","",""
"ASN00069010","1896","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","        74","a","        54","a","         5","a","","","","","","","","","","","","","  89.7"," ,a,0514, ","","","","","","","","","","","    684.2"," ,a","","","","","",""
"ASN00069010","1897","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","        68","a","        45","a","         5","a","","","","","","","","","","","","","  71.1"," ,a,0111, ","","","","","","","","","","","    577.2"," ,a","","","","","",""
"ASN00069010","1898","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","        53","a","        35","a","         6","a","","","","","","","","","","","",""," 175.0"," ,a,0214, ","","","","","","","","","","","    707.5"," ,a","","","","","",""
"ASN00069010","1899","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","        85","a","        59","a","         6","a","","","","","","","","","","","","","  74.9"," ,a,0605, ","","","","","","","","","","","    737.6"," ,a","","","","","",""
"ASN00069010","1900","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","        88","a","        57","a","         9","a","","","","","","","","","","","","","  86.9"," ,a,1119, ","","","","","","","","","","","    927.6"," ,a","","","","","",""
"ASN00069010","1901","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","        68","a","        41","a","         4","a","","","","","","","","","","","","","  86.1"," ,a,0821, ","","","","","","","","","","","    491.3"," ,a","","","","","",""
"ASN00069010","1902","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","        70","a","        44","a","         4","a","","","","","","","","","","","","","  53.3"," ,a,1208, ","","","","","","","","","","","    523.0"," ,a","","","","","",""
"ASN00069010","1903","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","        89","a","        61","a","         5","a","","","","","","","","","","","","","  52.1"," ,a,0731, ","","","","","","","","","","","    577.1"," ,a","","","","","",""
"ASN00069010","1904","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","        72","a","        48","a","         5","a","","","","","","","","","","","","","  72.9"," ,a,0711, ","","","","","","","","","","","    564.7"," ,a","","","","","",""
"ASN00069010","1905","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","        66","a","        45","a","         1","a","","","","","","","","","","","","","  26.2"," ,a,0414, ","","","","","","","","","","","    441.4"," ,a","","","","","",""
"ASN00069010","1906","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","        64","a","        40","a","         4","a","","","","","","","","","","","","","  62.7"," ,a,0831, ","","","","","","","","","","","    540.0"," ,a","","","","","",""
"ASN00069010","1907","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","        47","a","        32","a","         3","a","","","","","","","","","","","","","  70.6"," ,a,0128, ","","","","","","","","","","","    418.8"," ,a","","","","","",""
"ASN00069010","1908","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","        57","a","        37","a","         6","a","","","","","","","","","","","","","  79.2"," ,a,1123, ","","","","","","","","","","","    544.9"," ,a","","","","","",""
"ASN00069010","1909","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","        74","a","        48","a","         6","a","","","","","","","","","","","","","  60.2"," ,a,0226, ","","","","","","","","","","","    578.8"," ,a","","","","","",""
"ASN00069010","1910","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","        62","a","        45","a","         6","a","","","","","","","","","","","","","  61.7"," ,a,0112, ","","","","","","","","","","","    633.9"," ,a","","","","","",""
"ASN00069010","1911","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","        87","a","        57","a","        10","a","","","","","","","","","","","","","  73.7"," ,a,0113, ","","","","","","","","","","","    759.2"," ,a","","","","","",""
"ASN00069010","1912","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","        77","a","        52","a","         7","a","","","","","","","","","","","","","  52.1"," ,a,0725, ","","","","","","","","","","","    669.6"," ,a","","","","","",""
"ASN00069010","1913","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","        90","a","        62","a","         7","a","","","","","","","","","","","","","  76.2"," ,a,0623,+","","","","","","","","","","","    788.0"," ,a","","","","","",""
"ASN00069010","1914","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","        75","a","        51","a","        11","a","","","","","","","","","","","","","  74.4"," ,a,0321, ","","","","","","","","","","","    821.0"," ,a","","","","","",""
"ASN00069010","1915","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","        77","a","        42","a","         6","a","","","","","","","","","","","","","  75.2"," ,a,0913, ","","","","","","","","","","","    587.8"," ,a","","","","","",""
"ASN00069010","1916","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","       109","a","        70","a","         8","a","","","","","","","","","","","",""," 106.7"," ,a,1005, ","","","","","","","","","","","   1037.9"," ,a","","","","","",""
"ASN00069010","1917","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","        88","a","        63","a","         5","a","","","","","","","","","","","","","  64.3"," ,a,1123, ","","","","","","","","","","","    638.5"," ,a","","","","","",""
"ASN00069010","1918","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","        86","a","        52","a","         4","a","","","","","","","","","","","","","  33.8"," ,a,0724, ","","","","","","","","","","","    532.2"," ,a","","","","","",""
"ASN00069010","1919","-35.4489","149.799","643.0","BRAIDWOOD WALLACE STREET, AS","        75","a","        52","a","         5","a","","","","","","","","","","","",""," 100.3"," ,a,0226, ","","","","","","","","","","","    674.1"," ,a","","","","","",""
