"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"TUM00017285","2017","37.567","43.767","1728.0","HAKKARI, TU","         0"," ","        91","S","  -14.7","S,0219, ","-0.9","S,1123","-2.8","S,1124","-8.1","S,1208","-8.1","S,1208","-9.1","S,1211","-1.0","S,0326","-2.5","S,0309","-7.2","S,0226","-7.2","S,0226","-11.0","S,0222","      6.86","S"
"TUM00017285","2018","37.567","43.767","1728.0","HAKKARI, TU","         0"," ","        67","S","   -8.8","S,0129, ","-0.4","S,1202","-4.5","S,1204","-4.5","S,1204","-7.0","S,1226","","","-0.9","S,0317","-3.7","S,0204","-6.1","S,0203","-8.2","S,0131","","","      8.38","S"
"TUM00017285","2019","37.567","43.767","1728.0","HAKKARI, TU","         0"," ","       103","S","  -16.4","S,0111, ","0.0","S,1117","-3.0","S,1212","-7.1","S,1231","-7.1","S,1231","","","0.0","S,0423","-3.4","S,0321","-6.8","S,0320","-6.8","S,0320","-10.2","S,0221","      7.01","S"
"TUM00017285","2023","37.567","43.767","1728.0","HAKKARI, TU","         0"," ","        74","S","  -14.8","S,0215, ","-2.9","S,1122","-2.9","S,1122","","","","","","","-3.4","S,0402","-3.4","S,0402","-5.8","S,0401","-12.3","S,0219","-12.3","S,0219","      7.68","S"
