"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"MOW00013020","1951","34.23333","-6.06667","55.2","SIDI SLIMANE, MO","","","","","","","","","","","","","","","","","","","","","","","","","        25"," ","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MOW00013020","1952","34.23333","-6.06667","55.2","SIDI SLIMANE, MO","","","","","        59","X","        35","X","         4","X","        0","","         0","X","","","","","","","","","","","        69"," ","        11"," ","","","     0"," ,X,1231,+","     0"," ,X,1231,+","  33.8"," ,X,1230, ","","","","","","","","","    437.2"," ,X","        0"," ,X","","","","","","","","","",""
"MOW00013020","1953","34.23333","-6.06667","55.2","SIDI SLIMANE, MO","   1129.3","","    1129.3","X","        54","X","        30","X","         3","X","        0","","         0","X","         0","X","         1","X","         0","X","       269","X","        83","X","        52"," ","        10"," ","    0.0","X,0111, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  47.0"," ,X,0116, ","   46.7","X,0720, ","0.0","X,0111","     728.1","1","     728.1","X","    297.8"," ,X","        0"," ,X","     19.55","X","     26.00","X","     13.09","X","","","",""
"MOW00013020","1954","34.23333","-6.06667","55.2","SIDI SLIMANE, MO","   1053.2","","    1053.2","X","        56","X","        30","X","         2","X","        0","","         0","X","         0","X","         1","X","         0","X","       248","X","        81","X","       103"," ","         5"," ","   -0.6","X,0109, ","     0"," ,X,1231,+","     0","T,X,0204,+","  35.8"," ,X,1209, ","   46.1","X,0724, ","-0.6","X,0109","     743.6","6","     743.6","X","    302.6"," ,X","        0","T,X","     19.10","X","     25.67","X","     12.54","X","","","",""
"MOW00013020","1955","34.23333","-6.06667","55.2","SIDI SLIMANE, MO","   1310.9","","    1310.9","X","        84","X","        55","X","         1","X","        0","","         0","X","         0","X","         0","X","         0","X","       269","X","        93","X","       100"," ","        18"," ","    4.4","X,0311, ","     0"," ,X,1231,+","     0","T,X,0311,+","  27.4"," ,X,0224, ","   44.4","X,0831, ","","","     496.9","9","     496.9","X","    478.9"," ,X","        0","T,X","     20.69","X","     26.54","X","     14.84","X","","","",""
"MOW00013020","1956","34.23333","-6.06667","55.2","SIDI SLIMANE, MO","    852.6","","     852.6","X","        70","X","        40","X","         1","X","        0","","         0","X","         0","X","         0","X","         0","X","       206","X","        43","X","        71"," ","         7"," ","    1.7","X,0221,+","     0"," ,X,1231,+","     0","T,X,0404, ","  25.9"," ,X,0216, ","   41.7","X,0801, ","","","     721.7","7","     721.7","X","    369.0"," ,X","        0","T,X","     18.05","X","     23.49","X","     12.62","X","","","",""
"MOW00013020","1957","34.23333","-6.06667","55.2","SIDI SLIMANE, MO","    921.2","","     921.2","X","        67","X","        42","X","         3","X","        0","","         0","X","         0","X","         0","X","         0","X","       225","X","        59","X","        79"," ","        11"," ","    2.2","X,0116, ","     0"," ,X,1231,+","     0","T,X,1213, ","  71.1"," ,X,1212, ","   45.0","X,0801, ","","","     850.5","5","     850.5","X","    498.8"," ,X","        0","T,X","     18.62","X","     24.19","X","     13.05","X","","","",""
"MOW00013020","1958","34.23333","-6.06667","55.2","SIDI SLIMANE, MO","    957.8","","     957.8","X","        61","X","        35","X","         1","X","        0","","         0","X","         0","X","         0","X","         0","X","       235","X","        53","X","        76"," ","        13"," ","    3.9","X,0228,+","     0"," ,X,1231,+","     0","T,X,0414,+","  35.6"," ,X,1222, ","   42.8","X,0816,+","","","     761.5","5","     761.5","X","    369.9"," ,X","        0","T,X","     19.12","X","     24.61","X","     13.63","X","","","",""
"MOW00013020","1959","34.23333","-6.06667","55.2","SIDI SLIMANE, MO","    874.2","","     874.2","X","        67","X","        35","X","         0","X","        0","","         0","X","         0","X","         0","X","         0","X","       217","X","        54","X","        97"," ","        16"," ","    3.9","X,1205, ","     0"," ,X,1231,+","     0","T,X,1215, ","  21.8"," ,X,1215, ","   43.9","X,0817,+","","","     636.7","7","     636.7","X","    310.9"," ,X","        0","T,X","     18.76","X","     24.39","X","     13.14","X","","","",""
"MOW00013020","1960","34.23333","-6.06667","55.2","SIDI SLIMANE, MO","    893.4","","     893.4","X","        88","X","        61","X","         1","X","        0","","         0","X","         0","X","         0","X","         0","X","       247","X","        59","X","       120"," ","        15"," ","    2.2","X,1216,+","     0"," ,X,1231,+","     0","T,X,1217, ","  30.7"," ,X,0115, ","   43.9","X,0725, ","","","     723.5","5","     723.5","X","    578.0"," ,X","        0","T,X","     18.78","X","     24.82","X","     12.74","X","","","",""
