"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYTS","DYTS_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES"
"USC00104154","2010","46.613","-115.7988","993.6","HEADQUARTERS 1 SSE, ID US","         7"," ","","","",""
"USC00104154","2011","46.613","-115.7988","993.6","HEADQUARTERS 1 SSE, ID US","","","    4835.3","3","    4835.3"," "
