"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"NLE00100506","1916","51.6831","3.8667","7.0","KERKWERVE, NL","       153","E","       101","E","         1","E","","","","","  37.5"," ,E,0829, ","    751.5"," ,E"
"NLE00100506","1917","51.6831","3.8667","7.0","KERKWERVE, NL","       121","E","        81","E","         6","E","","","","","  47.5"," ,E,0801, ","    767.4"," ,E"
"NLE00100506","1918","51.6831","3.8667","7.0","KERKWERVE, NL","       145","E","        90","E","         1","E","","","","","  45.0"," ,E,1016, ","    739.0"," ,E"
"NLE00100506","1919","51.6831","3.8667","7.0","KERKWERVE, NL","       139","E","        93","E","         0","E","","","","","  24.3"," ,E,1203, ","    693.5"," ,E"
"NLE00100506","1920","51.6831","3.8667","7.0","KERKWERVE, NL","       110","E","        68","E","         1","E","","","","","  32.0"," ,E,0707, ","    503.2"," ,E"
"NLE00100506","1921","51.6831","3.8667","7.0","KERKWERVE, NL","        84","E","        48","E","         0","E","","","","","  22.0"," ,E,1107, ","    314.7"," ,E"
"NLE00100506","1922","51.6831","3.8667","7.0","KERKWERVE, NL","       162","E","        85","E","         0","E","","","","","  18.5"," ,E,0919, ","    632.8"," ,E"
"NLE00100506","1923","51.6831","3.8667","7.0","KERKWERVE, NL","       156","E","        94","E","         2","E","","","","","  44.2"," ,E,0528, ","    813.1"," ,E"
"NLE00100506","1924","51.6831","3.8667","7.0","KERKWERVE, NL","       143","E","        87","E","         2","E","","","","","  38.0"," ,E,0813, ","    677.0"," ,E"
"NLE00100506","1925","51.6831","3.8667","7.0","KERKWERVE, NL","       156","E","        98","E","         1","E","","","","","  28.5"," ,E,0727, ","    849.9"," ,E"
"NLE00100506","1926","51.6831","3.8667","7.0","KERKWERVE, NL","       138","E","        75","E","         2","E","","","","","  29.5"," ,E,1014, ","    644.0"," ,E"
"NLE00100506","1927","51.6831","3.8667","7.0","KERKWERVE, NL","       151","E","        87","E","         6","E","","","","","  34.0"," ,E,0625, ","    937.1"," ,E"
"NLE00100506","1928","51.6831","3.8667","7.0","KERKWERVE, NL","       147","E","        81","E","         0","E","","","","","  22.2"," ,E,0727, ","    619.8"," ,E"
"NLE00100506","1929","51.6831","3.8667","7.0","KERKWERVE, NL","       118","E","        70","E","         0","E","","","","","  22.5"," ,E,1002, ","    547.5"," ,E"
"NLE00100506","1930","51.6831","3.8667","7.0","KERKWERVE, NL","       141","E","        89","E","         1","E","","","","","  26.5"," ,E,0925, ","    728.1"," ,E"
"NLE00100506","1931","51.6831","3.8667","7.0","KERKWERVE, NL","       141","E","        90","E","         1","E","","","","","  44.0"," ,E,0707, ","    751.1"," ,E"
"NLE00100506","1932","51.6831","3.8667","7.0","KERKWERVE, NL","       147","E","        81","E","         1","E","","","","","  25.8"," ,E,1014, ","    716.2"," ,E"
"NLE00100506","1933","51.6831","3.8667","7.0","KERKWERVE, NL","       101","E","        54","E","         1","E","","","","","  28.5"," ,E,0920, ","    530.4"," ,E"
"NLE00100506","1934","51.6831","3.8667","7.0","KERKWERVE, NL","       129","E","        74","E","         1","E","","","","","  30.0"," ,E,1031, ","    548.4"," ,E"
"NLE00100506","1935","51.6831","3.8667","7.0","KERKWERVE, NL","       151","E","        78","E","         1","E","","","","","  27.0"," ,E,0614, ","    572.4"," ,E"
"NLE00100506","1936","51.6831","3.8667","7.0","KERKWERVE, NL","       144","E","        64","E","         1","E","","","","","  25.5"," ,E,1019, ","    569.3"," ,E"
"NLE00100506","1937","51.6831","3.8667","7.0","KERKWERVE, NL","       175","E","       102","E","         1","E","","","","","  55.5"," ,E,0813, ","    829.6"," ,E"
"NLE00100506","1938","51.6831","3.8667","7.0","KERKWERVE, NL","       143","E","        87","E","         1","E","","","","","  25.4"," ,E,0517, ","    640.1"," ,E"
"NLE00100506","1939","51.6831","3.8667","7.0","KERKWERVE, NL","       161","E","        96","E","         2","E","","","","","  42.5"," ,E,0730, ","    789.7"," ,E"
"NLE00100506","1940","51.6831","3.8667","7.0","KERKWERVE, NL","       140","E","        77","E","         3","E","","","","","  45.0"," ,E,1103, ","    726.2"," ,E"
"NLE00100506","1941","51.6831","3.8667","7.0","KERKWERVE, NL","       137","E","        79","E","         1","E","","","","","  26.0"," ,E,0605, ","    679.2"," ,E"
"NLE00100506","1942","51.6831","3.8667","7.0","KERKWERVE, NL","       141","E","        92","E","         2","E","","","","","  57.0"," ,E,0710, ","    719.0"," ,E"
"NLE00100506","1943","51.6831","3.8667","7.0","KERKWERVE, NL","       138","E","        89","E","         1","E","","","","","  32.0"," ,E,1106, ","    660.1"," ,E"
"NLE00100506","1944","51.6831","3.8667","7.0","KERKWERVE, NL","       139","E","        91","E","         2","E","","","","","  39.4"," ,E,0908, ","    697.2"," ,E"
"NLE00100506","1945","51.6831","3.8667","7.0","KERKWERVE, NL","       163","E","        74","E","         3","E","","","","","  28.3"," ,E,0521, ","    708.2"," ,E"
"NLE00100506","1946","51.6831","3.8667","7.0","KERKWERVE, NL","       154","E","        86","E","         2","E","","","","","  40.5"," ,E,0817, ","    703.5"," ,E"
"NLE00100506","1947","51.6831","3.8667","7.0","KERKWERVE, NL","       143","E","        76","E","         2","E","","","","","  31.8"," ,E,1225, ","    626.2"," ,E"
"NLE00100506","1948","51.6831","3.8667","7.0","KERKWERVE, NL","       150","E","        88","E","         1","E","","","","","  39.1"," ,E,0627, ","    729.8"," ,E"
"NLE00100506","1949","51.6831","3.8667","7.0","KERKWERVE, NL","       143","E","        65","E","         1","E","","","","","  25.5"," ,E,0524, ","    638.1"," ,E"
"NLE00100506","1950","51.6831","3.8667","7.0","KERKWERVE, NL","       165","E","       101","E","         2","E","","","","","  39.5"," ,E,0915, ","    836.7"," ,E"
"NLE00100506","1951","51.6831","3.8667","7.0","KERKWERVE, NL","       166","E","        95","E","         0","E","","","","","  22.1"," ,E,0804, ","    727.8"," ,E"
"NLE00100506","1952","51.6831","3.8667","7.0","KERKWERVE, NL","       184","E","       107","E","         2","E","","","","","  38.0"," ,E,0728, ","    860.7"," ,E"
"NLE00100506","1953","51.6831","3.8667","7.0","KERKWERVE, NL","         9","E","         0","E","         0","E","","","","","   2.1"," ,E,0130, ","     11.0"," ,E"
"NLE00100506","1954","51.6831","3.8667","7.0","KERKWERVE, NL","       131","E","        71","E","         4","E","","","","","  42.0"," ,E,0619, ","    648.2"," ,E"
"NLE00100506","1955","51.6831","3.8667","7.0","KERKWERVE, NL","       141","E","        72","E","         1","E","","","","","  49.8"," ,E,0914, ","    637.7"," ,E"
"NLE00100506","1956","51.6831","3.8667","7.0","KERKWERVE, NL","       160","E","        71","E","         2","E","        0","","    20"," ,E,0127,+","  40.5"," ,E,0802, ","    706.0"," ,E"
"NLE00100506","1957","51.6831","3.8667","7.0","KERKWERVE, NL","       165","E","        93","E","         0","E","        0","","     0"," ,E,1231,+","  23.2"," ,E,0925, ","    802.1"," ,E"
"NLE00100506","1958","51.6831","3.8667","7.0","KERKWERVE, NL","       180","E","        91","E","         1","E","        5","","   150"," ,E,0125,+","  34.1"," ,E,0701, ","    793.6"," ,E"
"NLE00100506","1959","51.6831","3.8667","7.0","KERKWERVE, NL","       121","E","        68","E","         0","E","        1","","   150"," ,E,0111, ","  22.9"," ,E,0429, ","    533.3"," ,E"
"NLE00100506","1960","51.6831","3.8667","7.0","KERKWERVE, NL","       185","E","       101","E","         3","E","        0","","    20"," ,E,0114, ","  38.3"," ,E,0920, ","    905.7"," ,E"
"NLE00100506","1961","51.6831","3.8667","7.0","KERKWERVE, NL","       171","E","        90","E","         4","E","        0","","     0"," ,E,1231,+","  32.8"," ,E,1017, ","    893.7"," ,E"
"NLE00100506","1962","51.6831","3.8667","7.0","KERKWERVE, NL","       153","E","        77","E","         3","E","        0","","    20"," ,E,1231,+","  35.9"," ,E,0726, ","    644.6"," ,E"
"NLE00100506","1963","51.6831","3.8667","7.0","KERKWERVE, NL","       153","E","        82","E","         1","E","       19","","    80"," ,E,0216,+","  28.7"," ,E,0613, ","    695.4"," ,E"
"NLE00100506","1964","51.6831","3.8667","7.0","KERKWERVE, NL","       142","E","        69","E","         2","E","        0","","    20"," ,E,1228,+","  38.8"," ,E,0618, ","    704.3"," ,E"
"NLE00100506","1965","51.6831","3.8667","7.0","KERKWERVE, NL","       171","E","       101","E","         2","E","        0","","    20"," ,E,1229,+","  40.6"," ,E,1209, ","    899.9"," ,E"
"NLE00100506","1966","51.6831","3.8667","7.0","KERKWERVE, NL","       187","E","       107","E","         1","E","        4","","   150"," ,E,0213, ","  28.2"," ,E,0618, ","    930.8"," ,E"
"NLE00100506","1967","51.6831","3.8667","7.0","KERKWERVE, NL","       168","E","        88","E","         0","E","        2","","    80"," ,E,1210, ","  23.4"," ,E,0227, ","    682.5"," ,E"
"NLE00100506","1968","51.6831","3.8667","7.0","KERKWERVE, NL","       177","E","        92","E","         4","E","        3","","    40"," ,E,1230,+","  28.4"," ,E,0904, ","    785.1"," ,E"
"NLE00100506","1969","51.6831","3.8667","7.0","KERKWERVE, NL","       156","E","        84","E","         1","E","        3","","    80"," ,E,0210, ","  27.6"," ,E,0822, ","    667.8"," ,E"
"NLE00100506","1970","51.6831","3.8667","7.0","KERKWERVE, NL","       161","E","        79","E","         2","E","        3","","    40"," ,E,1229,+","  32.1"," ,E,0714, ","    645.9"," ,E"
"NLE00100506","1971","51.6831","3.8667","7.0","KERKWERVE, NL","       126","E","        61","E","         2","E","        0","","    20"," ,E,0306,+","  33.8"," ,E,1118, ","    558.1"," ,E"
"NLE00100506","1972","51.6831","3.8667","7.0","KERKWERVE, NL","       150","E","        74","E","         2","E","        0","","    20"," ,E,0201, ","  38.9"," ,E,0723, ","    599.4"," ,E"
"NLE00100506","1973","51.6831","3.8667","7.0","KERKWERVE, NL","       160","E","        78","E","         1","E","        1","","    40"," ,E,1202, ","  36.6"," ,E,1019, ","    648.2"," ,E"
