"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN023420800","1901","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       118","I","        84","I","        13","I","","","","","","","","","","","",""," 115.8"," ,I,0925, ","","","","","","","   1444.7"," ,I","","","","","",""
"IN023420800","1902","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       107","I","        71","I","         8","I","","","","","","","","","","","","","  74.2"," ,I,0706, ","","","","","","","   1071.9"," ,I","","","","","",""
"IN023420800","1903","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       126","I","        79","I","         6","I","","","","","","","","","","","","","  41.7"," ,I,0814, ","","","","","","","    898.7"," ,I","","","","","",""
"IN023420800","1904","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       123","I","        71","I","        18","I","","","","","","","","","","","",""," 145.8"," ,I,0917, ","","","","","","","   1445.9"," ,I","","","","","",""
"IN023420800","1905","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       126","I","        83","I","         9","I","","","","","","","","","","","","","  76.5"," ,I,0217, ","","","","","","","   1094.7"," ,I","","","","","",""
"IN023420800","1906","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       109","I","        75","I","        15","I","","","","","","","","","","","","","  66.5"," ,I,0915, ","","","","","","","   1176.7"," ,I","","","","","",""
"IN023420800","1907","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","        95","I","        77","I","         9","I","","","","","","","","","","","",""," 159.5"," ,I,0725, ","","","","","","","   1047.6"," ,I","","","","","",""
"IN023420800","1908","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","        94","I","        56","I","        10","I","","","","","","","","","","","","","  65.5"," ,I,0801, ","","","","","","","    882.8"," ,I","","","","","",""
"IN023420800","1909","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       130","I","        92","I","        19","I","","","","","","","","","","","","","  85.9"," ,I,0628, ","","","","","","","   1609.0"," ,I","","","","","",""
"IN023420800","1910","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       127","I","        89","I","        20","I","","","","","","","","","","","",""," 182.4"," ,I,1002, ","","","","","","","   1873.7"," ,I","","","","","",""
"IN023420800","1911","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       125","I","        89","I","        14","I","","","","","","","","","","","","","  56.6"," ,I,0819, ","","","","","","","   1288.4"," ,I","","","","","",""
"IN023420800","1912","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       114","I","        77","I","        16","I","","","","","","","","","","","",""," 120.4"," ,I,0721, ","","","","","","","   1338.3"," ,I","","","","","",""
"IN023420800","1913","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       104","I","        64","I","        14","I","","","","","","","","","","","",""," 119.6"," ,I,0613, ","","","","","","","   1133.7"," ,I","","","","","",""
"IN023420800","1914","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       135","I","        95","I","        16","I","","","","","","","","","","","",""," 254.5"," ,I,0918, ","","","","","","","   1885.8"," ,I","","","","","",""
"IN023420800","1915","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       123","I","        88","I","        14","I","","","","","","","","","","","","","  90.4"," ,I,0803, ","","","","","","","   1504.5"," ,I","","","","","",""
"IN023420800","1916","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       112","I","        80","I","        16","I","","","","","","","","","","","",""," 137.2"," ,I,0721, ","","","","","","","   1561.9"," ,I","","","","","",""
"IN023420800","1917","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       158","I","       115","I","        20","I","","","","","","","","","","","","","  75.9"," ,I,0919, ","","","","","","","   1844.1"," ,I","","","","","",""
"IN023420800","1918","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       100","I","        66","I","         3","I","","","","","","","","","","","","","  47.2"," ,I,0610, ","","","","","","","    693.9"," ,I","","","","","",""
"IN023420800","1919","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       132","I","        91","I","        16","I","","","","","","","","","","","","","  86.4"," ,I,0906, ","","","","","","","   1406.3"," ,I","","","","","",""
"IN023420800","1920","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","        99","I","        68","I","        12","I","","","","","","","","","","","",""," 109.5"," ,I,0624, ","","","","","","","   1144.6"," ,I","","","","","",""
"IN023420800","1921","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       108","I","        83","I","        21","I","","","","","","","","","","","",""," 220.7"," ,I,0624, ","","","","","","","   1749.2"," ,I","","","","","",""
"IN023420800","1922","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       124","I","        90","I","        17","I","","","","","","","","","","","",""," 110.5"," ,I,0721, ","","","","","","","   1628.9"," ,I","","","","","",""
"IN023420800","1923","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       111","I","        75","I","        14","I","","","","","","","","","","","","","  82.3"," ,I,0924, ","","","","","","","   1229.4"," ,I","","","","","",""
"IN023420800","1924","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       127","I","        81","I","        14","I","","","","","","","","","","","",""," 208.3"," ,I,0929, ","","","","","","","   1590.6"," ,I","","","","","",""
"IN023420800","1925","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       109","I","        75","I","        22","I","","","","","","","","","","","",""," 125.2"," ,I,0608, ","","","","","","","   1516.1"," ,I","","","","","",""
"IN023420800","1926","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       130","I","        82","I","        11","I","","","","","","","","","","","",""," 110.5"," ,I,0715, ","","","","","","","   1214.7"," ,I","","","","","",""
"IN023420800","1927","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       118","I","        85","I","        20","I","","","","","","","","","","","",""," 137.9"," ,I,0620, ","","","","","","","   1795.1"," ,I","","","","","",""
"IN023420800","1928","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       114","I","        70","I","        13","I","","","","","","","","","","","","","  62.0"," ,I,0709, ","","","","","","","   1061.9"," ,I","","","","","",""
"IN023420800","1929","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       134","I","        84","I","        13","I","","","","","","","","","","","","","  50.3"," ,I,0126, ","","","","","","","   1260.7"," ,I","","","","","",""
"IN023420800","1930","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       130","I","        85","I","        10","I","","","","","","","","","","","","","  56.1"," ,I,0705, ","","","","","","","   1148.1"," ,I","","","","","",""
"IN023420800","1931","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       114","I","        78","I","        15","I","","","","","","","","","","","","","  79.2"," ,I,1016, ","","","","","","","   1406.6"," ,I","","","","","",""
"IN023420800","1932","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       107","I","        74","I","        10","I","","","","","","","","","","","",""," 149.1"," ,I,0925, ","","","","","","","   1142.7"," ,I","","","","","",""
"IN023420800","1933","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       121","I","        98","I","        21","I","","","","","","","","","","","","","  69.1"," ,I,1020, ","","","","","","","   1674.6"," ,I","","","","","",""
"IN023420800","1934","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       102","I","        79","I","        12","I","","","","","","","","","","","",""," 127.8"," ,I,0820, ","","","","","","","   1231.0"," ,I","","","","","",""
"IN023420800","1935","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       100","I","        79","I","         7","I","","","","","","","","","","","","","  56.4"," ,I,0915, ","","","","","","","   1013.6"," ,I","","","","","",""
"IN023420800","1936","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       131","I","       105","I","        29","I","","","","","","","","","","","",""," 139.7"," ,I,0728, ","","","","","","","   2254.8"," ,I","","","","","",""
"IN023420800","1937","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       118","I","        84","I","        13","I","","","","","","","","","","","",""," 109.5"," ,I,0916, ","","","","","","","   1385.6"," ,I","","","","","",""
"IN023420800","1938","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       104","I","        84","I","        13","I","","","","","","","","","","","","","  77.5"," ,I,0812, ","","","","","","","   1339.6"," ,I","","","","","",""
"IN023420800","1939","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       107","I","        72","I","        10","I","","","","","","","","","","","","","  59.4"," ,I,0628, ","","","","","","","   1142.0"," ,I","","","","","",""
"IN023420800","1940","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       115","I","        83","I","        10","I","","","","","","","","","","","","","  49.8"," ,I,0723, ","","","","","","","   1109.4"," ,I","","","","","",""
"IN023420800","1941","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","        97","I","        68","I","         6","I","","","","","","","","","","","","","  38.6"," ,I,0817, ","","","","","","","    853.4"," ,I","","","","","",""
"IN023420800","1942","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       115","I","        87","I","        15","I","","","","","","","","","","","",""," 126.7"," ,I,0720, ","","","","","","","   1503.0"," ,I","","","","","",""
"IN023420800","1943","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","        98","I","        74","I","        12","I","","","","","","","","","","","","","  90.7"," ,I,0617, ","","","","","","","   1128.3"," ,I","","","","","",""
"IN023420800","1945","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       125","I","        88","I","        16","I","","","","","","","","","","","",""," 172.7"," ,I,0926, ","","","","","","","   1631.1"," ,I","","","","","",""
"IN023420800","1946","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       122","I","        78","I","        12","I","","","","","","","","","","","","","  80.0"," ,I,0728, ","","","","","","","   1093.0"," ,I","","","","","",""
"IN023420800","1947","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       112","I","        76","I","        14","I","","","","","","","","","","","","","  99.8"," ,I,0817, ","","","","","","","   1240.4"," ,I","","","","","",""
