"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXM00076750","1981","18.505","-88.327","11.9","CHETUMAL INTERNATIONAL, MX","","","","","","","         0","S","         0","S","   10.0","S,0126,+","","","","","     20.94","S"
"MXM00076750","1984","18.505","-88.327","11.9","CHETUMAL INTERNATIONAL, MX","       134","S","        89","S","        11","S","         0","S","         0","S","   10.2","S,0301,+","  72.1"," ,S,0730, ","   1185.1"," ,S","     21.37","S"
"MXM00076750","1987","18.505","-88.327","11.9","CHETUMAL INTERNATIONAL, MX","        90","S","        50","S","         5","S","","","","","","","  56.9"," ,S,0629, ","    600.9"," ,S","",""
"MXM00076750","1989","18.505","-88.327","11.9","CHETUMAL INTERNATIONAL, MX","       116","S","        78","S","        12","S","","","","","",""," 133.1"," ,S,0711, ","   1182.7"," ,S","",""
"MXM00076750","1990","18.505","-88.327","11.9","CHETUMAL INTERNATIONAL, MX","       122","S","        69","S","        12","S","","","","","","","  89.4"," ,S,0608, ","   1110.8"," ,S","",""
"MXM00076750","1991","18.505","-88.327","11.9","CHETUMAL INTERNATIONAL, MX","       122","S","        77","S","        10","S","","","","","","","  98.3"," ,S,0704, ","   1129.0"," ,S","",""
"MXM00076750","1992","18.505","-88.327","11.9","CHETUMAL INTERNATIONAL, MX","       124","S","        80","S","        13","S","         0","S","         0","S","   13.2","S,0207, "," 158.2"," ,S,0615, ","   1428.5"," ,S","     21.62","S"
"MXM00076750","1994","18.505","-88.327","11.9","CHETUMAL INTERNATIONAL, MX","       113","S","        63","S","        11","S","","","","","",""," 126.7"," ,S,0118, ","   1127.3"," ,S","",""
"MXM00076750","1995","18.505","-88.327","11.9","CHETUMAL INTERNATIONAL, MX","       113","S","        72","S","        14","S","","","","","",""," 228.1"," ,S,0910, ","   1507.0"," ,S","",""
"MXM00076750","1996","18.505","-88.327","11.9","CHETUMAL INTERNATIONAL, MX","       123","S","        76","S","        15","S","","","","","",""," 254.0"," ,S,0704, ","   1773.3"," ,S","",""
"MXM00076750","1997","18.505","-88.327","11.9","CHETUMAL INTERNATIONAL, MX","       111","S","        65","S","        14","S","","","","","",""," 151.9"," ,S,1006, ","   1223.5"," ,S","",""
"MXM00076750","2000","18.505","-88.327","11.9","CHETUMAL INTERNATIONAL, MX","        90","S","        56","S","        12","S","","","","","",""," 107.4"," ,S,0812, ","   1037.3"," ,S","",""
"MXM00076750","2006","18.505","-88.327","11.9","CHETUMAL INTERNATIONAL, MX","       116","S","        63","S","         8","S","","","","","","","  50.5"," ,S,0712, ","    883.9"," ,S","",""
"MXM00076750","2007","18.505","-88.327","11.9","CHETUMAL INTERNATIONAL, MX","       106","S","        68","S","        10","S","","","","","","","  87.1"," ,S,0822, ","    990.9"," ,S","",""
"MXM00076750","2008","18.505","-88.327","11.9","CHETUMAL INTERNATIONAL, MX","       106","S","        66","S","         9","S","","","","","",""," 137.9"," ,S,0602, ","   1105.7"," ,S","",""
"MXM00076750","2011","18.505","-88.327","11.9","CHETUMAL INTERNATIONAL, MX","       101","S","        63","S","        10","S","","","","","",""," 158.2"," ,S,1014, ","   1239.2"," ,S","",""
"MXM00076750","2012","18.505","-88.327","11.9","CHETUMAL INTERNATIONAL, MX","       106","S","        63","S","         9","S","","","","","",""," 158.5"," ,S,0816, ","   1321.6"," ,S","",""
"MXM00076750","2014","18.505","-88.327","11.9","CHETUMAL INTERNATIONAL, MX","        98","S","        60","S","        15","S","","","","","","","  95.5"," ,S,0503, ","   1170.2"," ,S","",""
