"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXM00076848","1990","16.25","-92.133","1646.0","COMITAN CHIS., MX","         0","S","         0","S","    6.6","S,1126,+","     12.34","S"
"MXM00076848","1992","16.25","-92.133","1646.0","COMITAN CHIS., MX","         0","S","         0","S","    5.5","S,0210,+","     12.90","S"
