"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00262497","1991","36.3091","-114.4255","381.0","ECHO BAY, NV US","","","","","        27","0","        18","0","         0","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  17.8"," ,0,0301, ","","","","","","","","","","","","","","","","","","","    176.9"," ,0","        0"," ,0","","","","","",""
"USC00262497","1992","36.3091","-114.4255","381.0","ECHO BAY, NV US","   1914.9","","    1914.9","0","        43","0","        29","0","         2","0","        0","","         0","0","         0","0","        13","0","         0","0","       240","0","       160","0","","","","","   -4.4","0,1221, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  30.5"," ,0,1025, ","   47.2","0,0817, ","0.0","0,1201","-2.8","0,1220","-4.4","0,1221","-0.6","0,0118","","","","","","","","","    329.4"," ,0","        0"," ,0","     20.97","0","     27.83","0","     14.10","0"
"USC00262497","1993","36.3091","-114.4255","381.0","ECHO BAY, NV US","   1864.9","","    1864.9","0","        39","0","        26","0","         1","0","        0","","         0","0","         0","0","         9","0","         0","0","       238","0","       144","0","","","","","   -3.3","0,0104, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  31.2"," ,0,0209, ","   47.2","0,0802, ","-1.1","0,1127","","","","","0.0","0,0124","-2.2","0,0105","","","    1065.0","0","    1065.0","0","    259.2"," ,0","        0"," ,0","     20.62","0","     27.49","0","     13.74","0"
"USC00262497","1994","36.3091","-114.4255","381.0","ECHO BAY, NV US","","","","","        27","0","        11","0","         0","0","        0","","         0","0","","","","","         0","0","       249","0","       148","0","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","   8.6"," ,0,0326, ","   49.4","0,0701,+","","","","","","","","","","","","","    1104.1","1","    1104.1","0","     85.2"," ,0","        0"," ,0","","","     28.66","0","",""
"USC00262497","1996","36.3091","-114.4255","381.0","ECHO BAY, NV US","","","","","        20","0","        12","0","         0","0","        0","","         0","0","","","","","         0","0","       244","0","       160","0","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  21.6"," ,0,1122, ","   47.2","0,0707,+","","","","","","","","","","","","","","","","","     98.8"," ,0","        0"," ,0","","","     29.08","0","",""
"USC00262497","1998","36.3091","-114.4255","381.0","ECHO BAY, NV US","","","","","        34","0","        19","0","         1","0","","","         0","0","         0","0","         7","0","         0","0","       241","0","       139","0","         1"," ","","","   -1.1","0,0412,+","","","     0"," ,0,1231,+","  39.4"," ,0,0724, ","   48.9","0,0717, ","0.0","0,1208","","","","","-1.1","0,0412","","","","","","","","","    175.5"," ,0","        0"," ,0","     20.81","0","     27.77","0","     13.85","0"
"USC00262497","1999","36.3091","-114.4255","381.0","ECHO BAY, NV US","","","","","        29","0","        11","0","         0","0","        0","","         0","0","","","","","         0","0","       252","0","       142","0","         1"," ","         6"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  16.0"," ,0,0404, ","   45.0","0,0702,+","","","","","","","","","","","","","","","","","     98.6"," ,0","        0"," ,0","","","     27.98","0","",""
"USC00262497","2000","36.3091","-114.4255","381.0","ECHO BAY, NV US","","","","","        29","0","        11","0","         0","0","        0","","         0","0","","","","","","","","","","","","","         1"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  16.0"," ,0,0306, ","","","","","","","","","","","","","","","","","","","     92.8"," ,0","        0"," ,0","","","","","",""
"USC00262497","2001","36.3091","-114.4255","381.0","ECHO BAY, NV US","   2211.5","","    2211.5","0","        31","0","        14","0","         0","0","        0","","         0","0","         0","0","        10","0","         0","0","       236","0","       158","0","","","","","   -2.2","0,1218, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  23.4"," ,0,0228, ","   47.8","0,0713, ","0.0","0,1212","-2.2","0,1218","","","","","","","","","    1125.7","7","    1125.7","0","    132.4"," ,0","        0"," ,0","     21.85","0","     28.57","0","     15.13","0"
"USC00262497","2003","36.3091","-114.4255","381.0","ECHO BAY, NV US","","","","","        25","0","        14","0","         0","0","","","         0","0","         0","0","         7","0","         0","0","       233","0","       147","0","","","","","   -2.2","0,1228, ","","","     0"," ,0,1231,+","  21.8"," ,0,0226, ","   47.8","0,0716,+","0.0","0,1210","-2.2","0,1228","","","-0.6","0,0210","","","","","","","","","    128.7"," ,0","        0"," ,0","     21.88","0","     28.76","0","     15.00","0"
