"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087448","2006","-33.73","-65.387","484.9","VILLA REYNOLDS, AR","         0","S","        59","S","   -9.7","S,0904, ","-2.0","S,0415","-3.0","S,0430","-6.0","S,0521","-8.6","S,0731","","","0.0","S,1117","-2.3","S,0915","-7.4","S,0905","-7.4","S,0905","-9.7","S,0904","      8.02","S"
"ARM00087448","2010","-33.73","-65.387","484.9","VILLA REYNOLDS, AR","         0","S","        63","S","  -13.5","S,0716, ","-3.7","S,0423","-3.7","S,0423","-5.0","S,0507","-9.4","S,0714","-9.4","S,0714","-0.6","S,1002","-6.2","S,0824","-6.2","S,0824","-6.8","S,0807","","","      7.45","S"
"ARM00087448","2011","-33.73","-65.387","484.9","VILLA REYNOLDS, AR","         0","S","        71","S","  -11.4","S,0703, ","0.0","S,0423","-4.0","S,0502","-5.2","S,0613","-10.7","S,0626","-10.7","S,0626","-0.8","S,0919","-3.5","S,0911","-5.2","S,0905","-6.7","S,0831","-10.4","S,0821","      7.14","S"
"ARM00087448","2012","-33.73","-65.387","484.9","VILLA REYNOLDS, AR","         0","S","        62","S","  -10.0","S,0727, ","0.0","S,0429","-6.2","S,0605","-6.2","S,0605","-8.7","S,0607","-10.0","S,0727","-3.2","S,0925","-3.2","S,0925","-6.8","S,0825","-6.8","S,0825","","","      8.40","S"
"ARM00087448","2013","-33.73","-65.387","484.9","VILLA REYNOLDS, AR","         0","S","        73","S","   -9.0","S,0825, ","-1.0","S,0413","-4.4","S,0516","-4.4","S,0516","-7.1","S,0619","","","-1.2","S,1004","-8.4","S,0924","-8.4","S,0924","-8.4","S,0924","-9.0","S,0825","      7.52","S"
"ARM00087448","2014","-33.73","-65.387","484.9","VILLA REYNOLDS, AR","         0","S","        59","S","   -9.6","S,0813, ","-5.0","S,0413","-5.0","S,0413","-5.0","S,0413","-8.7","S,0725","","","-1.0","S,0926","-2.6","S,0910","-6.3","S,0827","-9.6","S,0813","-9.6","S,0813","      8.14","S"
"ARM00087448","2015","-33.73","-65.387","484.9","VILLA REYNOLDS, AR","         0","S","        43","S","   -7.7","S,0618, ","-2.6","S,0503","-2.6","S,0503","-5.0","S,0615","-7.7","S,0618","","","-3.7","S,0916","-3.7","S,0916","-5.2","S,0912","-7.0","S,0911","","","      8.97","S"
"ARM00087448","2017","-33.73","-65.387","484.9","VILLA REYNOLDS, AR","         0","S","        45","S","   -8.8","S,0619, ","-1.2","S,0526","-3.0","S,0531","-8.8","S,0619","-8.8","S,0619","","","-1.7","S,0922","-2.9","S,0916","-4.4","S,0816","","","","","      8.20","S"
"ARM00087448","2018","-33.73","-65.387","484.9","VILLA REYNOLDS, AR","         0","S","        58","S","  -10.2","S,0820, ","-1.7","S,0325","-5.2","S,0602","-5.2","S,0602","-6.7","S,0615","-8.9","S,0725","-0.4","S,0903","-3.4","S,0902","-5.8","S,0825","-10.2","S,0820","-10.2","S,0820","      8.22","S"
"ARM00087448","2019","-33.73","-65.387","484.9","VILLA REYNOLDS, AR","         0","S","        62","S","  -11.0","S,0904,+","-1.0","S,0519","-2.2","S,0603","-6.4","S,0701","-7.8","S,0705","","","-1.0","S,0921","-2.7","S,0920","-11.0","S,0904","-11.0","S,0904","-11.0","S,0904","      8.06","S"
"ARM00087448","2021","-33.73","-65.387","484.9","VILLA REYNOLDS, AR","         0","S","        64","S","   -8.4","S,0824, ","-0.2","S,0505","-2.5","S,0511","-8.2","S,0629","-8.2","S,0629","","","-1.2","S,1015","-2.2","S,1004","-4.5","S,0826","-8.4","S,0824","","","      7.45","S"
"ARM00087448","2022","-33.73","-65.387","484.9","VILLA REYNOLDS, AR","         0","S","        77","S","   -9.8","S,0518, ","-2.7","S,0330","-2.7","S,0330","-5.0","S,0516","-7.2","S,0517","-9.8","S,0518","-2.2","S,1101","-2.2","S,1101","-4.4","S,0903","","","","","      6.92","S"
"ARM00087448","2023","-33.73","-65.387","484.9","VILLA REYNOLDS, AR","         0","S","        51","S","   -8.8","S,0614, ","-3.2","S,0501","-3.2","S,0501","-6.6","S,0611","-8.7","S,0612","","","-1.6","S,1012","-4.7","S,0927","-4.7","S,0927","","","","","      8.25","S"
