"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00056037","1998","-30.5264","151.6697","987.0","ARMIDALE TREE GROUP NURSERY, AS","    229.7","","     229.7","a","       115","a","        62","a","         7","a","         0","a","        38","a","         0","a","       159","a","         4","a","   -6.9","a,0801, ","  56.2"," ,a,0728, ","   33.8","a,0204, ","-2.5","a,0509","-2.5","a,0509","-5.9","a,0510","","","","","0.0","a,1103","-2.4","a,1028","-4.6","a,0802","-6.9","a,0801","    1890.2","2","    1890.2","a","    880.8"," ,a","     13.70","a","     20.34","a","      7.06","a"
"ASN00056037","1999","-30.5264","151.6697","987.0","ARMIDALE TREE GROUP NURSERY, AS","    111.5","","     111.5","a","       133","a","        64","a","         8","a","         0","a","        48","a","         0","a","       125","a","         1","a","   -8.2","a,0621, ","  39.8"," ,a,0227, ","   32.4","a,0217, ","-0.5","a,0423","-2.2","a,0601","-5.8","a,0617","-6.7","a,0618","","","-0.1","a,0922","-3.4","a,0920","-6.3","a,0816","","","    2106.2","2","    2106.2","a","    901.0"," ,a","     12.81","a","     19.05","a","      6.56","a"
"ASN00056037","2000","-30.5264","151.6697","987.0","ARMIDALE TREE GROUP NURSERY, AS","     68.0","","      68.0","a","       105","a","        53","a","         7","a","         0","a","        71","a","         0","a","       159","a","         1","a","   -9.0","a,0607, ","  42.0"," ,a,1115, ","   32.9","a,0120, ","-1.5","a,0423","-2.4","a,0517","-5.1","a,0521","-8.9","a,0604","-8.9","a,0604","-3.1","a,1004","-3.1","a,1004","-5.6","a,0822","-7.9","a,0817","    2046.2","2","    2046.2","a","    659.0"," ,a","     13.01","a","     19.85","a","      6.17","a"
"ASN00056037","2001","-30.5264","151.6697","987.0","ARMIDALE TREE GROUP NURSERY, AS","    168.4","","     168.4","a","       105","a","        53","a","         4","a","         0","a","        83","a","         0","a","       145","a","         8","a","   -8.0","a,0625, ","  65.2"," ,a,0129, ","   35.1","a,0115, ","-0.5","a,0425","-2.5","a,0518","-4.6","a,0531","-6.8","a,0624","","","-1.8","a,1021","-3.3","a,1020","-7.1","a,0824","-7.1","a,0824","    2206.1","1","    2206.1","a","    677.8"," ,a","     12.81","a","     19.97","a","      5.65","a"
"ASN00056037","2002","-30.5264","151.6697","987.0","ARMIDALE TREE GROUP NURSERY, AS","    128.8","","     128.8","a","        82","a","        42","a","         8","a","         0","a","        86","a","         0","a","       190","a","         4","a","  -10.5","a,0713, ","  42.6"," ,a,0329, ","   34.0","a,0112, ","-0.8","a,0502","-3.6","a,0513","-5.3","a,0518","-7.5","a,0624","-8.9","a,0627","-0.5","a,1207","-3.5","a,1001","-5.6","a,0816","-8.6","a,0814","    2023.7","7","    2023.7","a","    651.6"," ,a","     13.24","a","     21.19","a","      5.29","a"
"ASN00056037","2003","-30.5264","151.6697","987.0","ARMIDALE TREE GROUP NURSERY, AS","    172.2","","     172.2","a","        97","a","        57","a","         6","a","         0","a","        73","a","         0","a","       144","a","        10","a","  -10.5","a,0728, ","  67.4"," ,a,0222, ","   36.3","a,0131, ","0.0","a,0509","-5.0","a,0523","-5.0","a,0523","-10.5","a,0728","-10.5","a,0728","-3.0","a,1103","-3.0","a,1103","-5.2","a,0928","-7.2","a,0803","    2177.1","1","    2177.1","a","    790.6"," ,a","     12.89","a","     19.78","a","      5.99","a"
"ASN00056037","2004","-30.5264","151.6697","987.0","ARMIDALE TREE GROUP NURSERY, AS","    234.9","","     234.9","a","        84","a","        57","a","        11","a","         0","a","        87","a","         0","a","       173","a","         8","a","   -9.3","a,0630, ","  63.0"," ,a,0117, ","   35.0","a,0107,+","-0.2","a,0425","-5.0","a,0426","-5.0","a,0426","-6.9","a,0530","-9.3","a,0630","-1.3","a,1009","-2.8","a,0917","-5.4","a,0913","-6.8","a,0812","    2103.4","4","    2103.4","a","    834.4"," ,a","     13.19","a","     20.59","a","      5.79","a"
"ASN00056037","2005","-30.5264","151.6697","987.0","ARMIDALE TREE GROUP NURSERY, AS","    146.9","","     146.9","a","        97","a","        60","a","        10","a","         0","a","        69","a","         0","a","       181","a","         7","a","   -8.4","a,0813, ","  55.2"," ,a,0904, ","   33.7","a,0114, ","-0.5","a,0501","-3.1","a,0519","-4.4","a,0527","-6.9","a,0718","","","-0.4","a,1010","-2.5","a,0930","-4.6","a,0825","-6.7","a,0823","    1957.0","0","    1957.0","a","    764.4"," ,a","     13.47","a","     20.91","a","      6.03","a"
"ASN00056037","2006","-30.5264","151.6697","987.0","ARMIDALE TREE GROUP NURSERY, AS","    222.8","","     222.8","a","       113","a","        56","a","         4","a","         0","a","        91","a","         0","a","       175","a","         6","a","  -10.8","a,0710, ","  33.4"," ,a,0331, ","   35.8","a,0203, ","0.0","a,0402","-2.4","a,0409","-7.1","a,0509","-7.1","a,0509","-9.0","a,0708","-2.2","a,1117","-2.2","a,1117","-6.0","a,0821","-6.9","a,0820","    2101.3","3","    2101.3","a","    619.2"," ,a","     13.17","a","     20.75","a","      5.59","a"
"ASN00056037","2007","-30.5264","151.6697","987.0","ARMIDALE TREE GROUP NURSERY, AS","    167.5","","     167.5","a","       112","a","        63","a","         7","a","         0","a","        65","a","         0","a","       183","a","         2","a","   -8.7","a,0716, ","  51.8"," ,a,0821, ","   32.8","a,0113, ","-1.7","a,0503","-2.6","a,0523","-5.5","a,0524","-8.7","a,0716","","","-2.0","a,1014","-2.9","a,0924","-4.5","a,0813","-7.0","a,0807","    2004.5","5","    2004.5","a","    838.8"," ,a","     13.29","a","     20.15","a","      6.42","a"
