"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00047846","1963","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","         1"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","","","","","",""
"USC00047846","1964","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    781.9","","     781.9","0","        65","0","        24","0","         1","0","        0","","         0","0","         0","0","        23","0","         0","0","       199","0","        72","0","","","   -4.4","0,0105, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  29.0"," ,0,1029, ","   41.1","0,0713,+","    2859.7","0","-0.6","0,1116","-2.2","0,1214","","","","","","","0.0","0,0308","-2.2","0,0112","-4.4","0,0105","    1665.6","6","    1665.6","0","      9.15","0","     22.85","0","    222.3"," ,0","        0"," ,0","     16.24","0","     23.05","0","      9.43","0","     83360","0"
"USC00047846","1965","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    702.8","","     702.8","0","        63","0","        29","0","         2","0","        0","","         0","0","         0","0","        12","0","         0","0","       199","0","        56","0","","","   -5.0","0,1220, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  40.6"," ,0,1117, ","   39.4","0,0706, ","    2577.6","0","-0.6","0,1215","-2.2","0,1218","-5.0","0,1220","","","","","0.0","0,0108","","","","","    1470.3","3","    1470.3","0","      9.59","0","     22.74","0","    297.3"," ,0","        0"," ,0","     16.09","0","     22.28","0","      9.90","0","     77245","0"
"USC00047846","1966","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","","","","","        42","0","        17","0","         1","0","        0","","         0","0","         0","0","        19","0","","","","","","","","","   -3.3","0,0126,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  32.3"," ,0,1206, ","","","    2815.7","0","0.0","0,1225","","","","","","","","","-0.6","0,0304","-3.3","0,0126","","","    1416.7","7","    1416.7","0","      9.36","0","     23.79","0","    169.0"," ,0","        0"," ,0","","","","","     10.51","0","",""
"USC00047846","1967","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","   1046.5","","    1046.5","0","        63","0","        33","0","         0","0","        0","","         0","0","         0","0","        15","0","         0","0","       186","0","        91","0","","","   -3.3","0,1216, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  18.5"," ,0,0124, ","   40.6","0,0713, ","    2540.0","0","-0.6","0,1214","-3.3","0,1216","","","","","","","-1.1","0,0118","-2.2","0,0102","","","","","","","","","     22.81","0","    250.2"," ,0","        0"," ,0","     16.85","0","     22.68","0","     11.01","0","     65143","0"
"USC00047846","1968","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    776.9","","     776.9","0","        49","0","        21","0","         0","0","        0","","         0","0","         0","0","        16","0","         0","0","       206","0","        62","0","","","   -3.9","0,0105, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  14.5"," ,0,1103, ","   40.0","0,0706, ","    2879.9","0","0.0","0,1220","-2.8","0,1221","","","","","","","-1.1","0,0129","-2.8","0,0106","","","    1248.0","0","    1248.0","0","      9.83","0","     22.87","0","    173.5"," ,0","        0"," ,0","     16.75","0","     22.76","0","     10.75","0","",""
"USC00047846","1969","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    720.8","","     720.8","0","        53","0","        33","0","         3","0","        0","","         0","0","         0","0","         6","0","         0","0","       193","0","        74","0","","","   -1.1","0,1231, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  39.1"," ,0,0119, ","   38.3","0,0804, ","    2770.7","0","0.0","0,1229","","","","","","","","","0.0","0,0131","","","","","    1526.6","6","    1526.6","0","     10.28","0","     23.24","0","    382.5"," ,0","        0"," ,0","     16.19","0","     22.55","0","      9.82","0","     79499","0"
"USC00047846","1970","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    829.1","","     829.1","0","        64","0","        33","0","         1","0","        0","","         0","0","         0","0","         8","0","         0","0","       202","0","        75","0","","","   -1.7","0,0106,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  37.1"," ,0,1129, ","   41.1","0,0705, ","    3024.7","0","","","","","","","","","","","0.0","0,0413","","","","","    1317.4","4","    1317.4","0","     10.62","0","     23.59","0","    307.2"," ,0","        0"," ,0","     16.93","0","     23.26","0","     10.59","0","",""
"USC00047846","1971","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    757.8","","     757.8","0","        45","0","        21","0","         0","0","        0","","         0","0","         0","0","        24","0","         0","0","       171","0","        57","0","","","   -2.8","0,1221,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  22.4"," ,0,1225, ","   41.1","0,0811, ","    2874.4","0","-0.6","0,1201","-2.8","0,1211","","","","","","","-0.6","0,0307","-2.2","0,0302","","","    1532.3","3","    1532.3","0","      8.80","0","     21.83","0","    171.7"," ,0","        0"," ,0","     15.72","0","     21.90","0","      9.55","0","",""
"USC00047846","1972","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    766.0","","     766.0","0","        47","0","        16","0","         2","0","        0","","         0","0","         0","0","        34","0","         1","0","       209","0","        60","0","","","   -6.7","0,1211, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  37.1"," ,0,1115, ","   41.1","0,0715, ","","","0.0","0,1205","-4.4","0,1209","-4.4","0,1209","-6.7","0,1211","","","-2.8","0,0203","-2.8","0,0203","","","    1516.7","7","    1516.7","0","      9.61","0","     22.86","0","    207.6"," ,0","        0"," ,0","     16.24","0","     22.13","0","     10.36","0","     91206","0"
