"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00094836","1957","46.35","-87.4","372.2","GWINN K I SAWYER AFB, MI US","","","","","","","","","","","","","","","","","","","","","","","","","       132"," ","        24"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094836","1958","46.35","-87.4","372.2","GWINN K I SAWYER AFB, MI US","","","","","","","","","","","","","","","","","","","","","","","","","        85"," ","        29"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094836","1959","46.35","-87.4","372.2","GWINN K I SAWYER AFB, MI US","","","","","","","","","","","","","","","","","","","","","","","","","        30"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094836","1960","46.35","-87.4","372.2","GWINN K I SAWYER AFB, MI US","     89.9","","      89.9","X","       158","X","        86","X","         8","X","      147","","        46","X","        31","X","       181","X","       107","X","        90","X","         0","X","       167"," ","        30"," ","  -25.6","X,1224,+","  1067"," ,X,0228,+","   330"," ,X,0304, ","  59.7"," ,X,0828, ","   31.1","X,0708, ","-0.6","X,1007","-2.8","X,1021","-4.4","X,1024","-11.1","X,1107","-11.1","X,1107","-1.7","X,0513","-6.7","X,0501","-6.7","X,0501","-6.7","X,0501","-16.1","X,0410","","","","","   1028.8"," ,X","     3392"," ,X","      4.32","X","      9.40","X","     -0.76","X","","","",""
"USW00094836","1961","46.35","-87.4","372.2","GWINN K I SAWYER AFB, MI US","    159.3","","     159.3","X","       145","X","        69","X","         8","X","      131","","        26","X","        31","X","       194","X","        84","X","       102","X","         4","X","       148"," ","        28"," ","  -27.8","X,0127, ","   508"," ,X,0219, ","   282"," ,X,0218, ","  58.2"," ,X,0622, ","   33.9","X,0830, ","-1.1","X,0926","-3.3","X,0928","-5.0","X,0929","-6.7","X,1117","-10.0","X,1118","0.0","X,0530","-3.3","X,0517","-5.0","X,0411","-10.0","X,0408","-10.0","X,0408","    5095.9","9","    5095.9","X","    859.0"," ,X","     2716"," ,X","      5.05","X","     10.35","X","     -0.24","X","","","",""
"USW00094836","1962","46.35","-87.4","372.2","GWINN K I SAWYER AFB, MI US","     77.7","","      77.7","X","       143","X","        78","X","         3","X","      143","","        39","X","        36","X","       180","X","        94","X","        83","X","         1","X","       164"," ","        29"," ","  -29.4","X,0301,+","   914"," ,X,0228,+","   224"," ,X,0213, ","  30.7"," ,X,0910, ","   32.2","X,0516, ","-1.1","X,1021","-4.4","X,1024","-4.4","X,1024","-8.3","X,1123","-10.6","X,1208","-0.6","X,0621","-3.3","X,0507","-7.2","X,0420","-7.2","X,0420","-12.8","X,0403","    5163.2","2","    5163.2","X","    769.4"," ,X","     3057"," ,X","      4.11","X","      9.27","X","     -1.04","X","","","",""
"USW00094836","1963","46.35","-87.4","372.2","GWINN K I SAWYER AFB, MI US","    133.9","","     133.9","X","       145","X","        71","X","         1","X","      130","","        32","X","        61","X","       183","X","       100","X","       105","X","         4","X","       135"," ","        24"," ","  -32.8","X,0123, ","   483"," ,X,1218, ","   178"," ,X,1209, ","  25.9"," ,X,0902, ","   38.9","X,0630, ","-0.6","X,0913","-2.2","X,0923","-5.6","X,1102","-6.7","X,1103","-9.4","X,1123","-5.0","X,0523","-5.0","X,0523","-5.0","X,0523","-7.8","X,0410","-10.0","X,0328","    5444.3","3","    5444.3","X","    710.8"," ,X","     2490"," ,X","      3.92","X","      9.81","X","     -1.98","X","       338","X","      23.1","X"
"USW00094836","1964","46.35","-87.4","372.2","GWINN K I SAWYER AFB, MI US","    118.2","","     118.2","X","       165","X","        82","X","         3","X","      136","","        32","X","        27","X","       193","X","       105","X","        78","X","         4","X","       141"," ","        34"," ","  -25.0","X,0224, ","   686"," ,X,0226,+","   221"," ,X,0326, ","  28.7"," ,X,0726, ","   33.3","X,0716,+","-1.1","X,0912","-3.3","X,0928","-4.4","X,1006","-12.2","X,1119","-12.2","X,1119","-0.6","X,0616","-3.3","X,0604","-4.4","X,0419","-9.4","X,0409","-9.4","X,0409","    5005.5","5","    5005.5","X","    865.1"," ,X","     2732"," ,X","      4.38","X","      9.72","X","     -0.96","X","       210","X","      30.3","X"
"USW00094836","1965","46.35","-87.4","372.2","GWINN K I SAWYER AFB, MI US","     47.0","","      47.0","X","       173","X","        70","X","         4","X","      157","","        24","X","        35","X","       194","X","       103","X","        55","X","         2","X","       154"," ","        30"," ","  -31.7","X,0115, ","   762"," ,X,0401, ","   323"," ,X,0212, ","  33.0"," ,X,0509, ","   33.9","X,0814, ","0.0","X,0911","-4.4","X,0926","-4.4","X,0926","-7.8","X,1005","-8.9","X,1114","-1.1","X,0615","-2.8","X,0529","-8.3","X,0428","-8.3","X,0428","-14.4","X,0403","    5329.7","7","    5329.7","X","    689.9"," ,X","     2320"," ,X","      2.93","X","      8.01","X","     -2.16","X","       310","X","      23.6","X"
"USW00094836","1966","46.35","-87.4","372.2","GWINN K I SAWYER AFB, MI US","    161.2","","     161.2","X","       168","X","        73","X","         6","X","      161","","        30","X","        28","X","       195","X","        93","X","        87","X","         6","X","       132"," ","        30"," ","  -31.7","X,0219,+","   813"," ,X,1230,+","   300"," ,X,1101, ","  49.0"," ,X,1015, ","   35.0","X,0710,+","-1.1","X,1001","-2.8","X,1012","-4.4","X,1020","-7.2","X,1029","-11.1","X,1030","0.0","X,0531","-6.1","X,0510","-6.1","X,0510","-7.8","X,0416","-8.9","X,0413","    5410.1","1","    5410.1","X","    801.0"," ,X","     3299"," ,X","      4.12","X","      9.11","X","     -0.87","X","       360","X","      29.3","X"
"USW00094836","1967","46.35","-87.4","372.2","GWINN K I SAWYER AFB, MI US","     58.1","","      58.1","X","       173","X","        84","X","         4","X","      152","","        38","X","        38","X","       198","X","       104","X","        84","X","         0","X","       167"," ","        27"," ","  -30.6","X,0207, ","  1092"," ,X,0112,+","   279"," ,X,0107, ","  39.6"," ,X,1008, ","   30.0","X,0721, ","-1.1","X,0910","-5.0","X,1012","-5.0","X,1012","-7.8","X,1105","-9.4","X,1107","-5.0","X,0522","-5.0","X,0522","-5.0","X,0522","-9.4","X,0425","-9.4","X,0425","    5185.8","8","    5185.8","X","    908.1"," ,X","     3141"," ,X","      3.43","X","      8.64","X","     -1.79","X","       180","X","      20.0","X"
"USW00094836","1968","46.35","-87.4","372.2","GWINN K I SAWYER AFB, MI US","    103.0","","     103.0","X","","","","","","","","","","","        30","X","       183","X","       100","X","        78","X","         3","X","       144"," ","        37"," ","  -30.0","X,0107, ","","","","","","","   32.2","X,0823,+","0.0","X,1004","-2.2","X,1021","-4.4","X,1025","-7.2","X,1030","-8.9","X,1128","-1.1","X,0518","-3.9","X,0510","-7.2","X,0506","-7.2","X,0506","-12.8","X,0405","    5206.2","2","    5206.2","X","","","","","      4.36","X","      9.35","X","     -0.62","X","       225","X","      25.7","X"
"USW00094836","1969","46.35","-87.4","372.2","GWINN K I SAWYER AFB, MI US","","","","","","","","","","","","","","","","","","","","","","","","","       111"," ","        23"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    5244.5","5","    5244.5","X","","","","","","","","","","","","","",""
