"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00003164","1999","32.6261","-116.4681","805.0","CAMPO ASOS, CA US","       3.7","W","    303.5","","     303.5","W","        43","W","        23","W","         0","W","","","         0","W","        93","W","         0","W","       215","W","        54","W","","","   -6.1","W,0203, ","","","  13.2"," ,W,0204, ","   38.3","W,0827, ","0.0","W,1108","-3.3","W,1118","-4.4","W,1123","","","-0.6","W,0520","-2.2","W,0411","-4.4","W,0410","","","","","","","","","    138.8"," ,W","     13.65","W","     23.25","W","      4.04","W","       360","W","        20","W","      30.4","W","      38.9","W"
"USW00003164","2000","32.6261","-116.4681","805.0","CAMPO ASOS, CA US","","","","","","","        48","W","        17","W","         1","W","","","","","","","","","","","","","","","","","","","  35.6"," ,W,0221, ","","","","","","","","","","","","","","","","","","","","","","","","","    170.2"," ,W","","","","","","","","","","","","","",""
"USW00003164","2001","32.6261","-116.4681","805.0","CAMPO ASOS, CA US","       3.4","W","    389.0","","     389.0","W","        51","W","        26","W","         2","W","","","         0","W","        75","W","         0","W","       226","W","        73","W","","","   -6.1","W,1205, ","","","  26.9"," ,W,0213, ","   38.3","W,0816, ","0.0","W,1007","-2.8","W,1127","-6.1","W,1205","","","0.0","W,0429","-2.8","W,0414","-5.0","W,0209","","","","","    2051.7","7","    2051.7","W","    263.4"," ,W","     14.10","W","     23.37","W","      4.84","W","        40","W","        40","W","      19.7","W","      24.1","W"
"USW00003164","2002","32.6261","-116.4681","805.0","CAMPO ASOS, CA US","       3.9","W","    389.3","","     389.3","W","        38","W","        19","W","         0","W","","","         0","W","       101","W","         0","W","       222","W","        70","W","","","   -8.9","W,0131, ","","","  16.3"," ,W,1216, ","   39.4","W,0810, ","-2.2","W,1025","-2.2","W,1025","-6.1","W,1224","","","0.0","W,0523","-3.3","W,0421","-4.4","W,0420","-7.8","W,0315","-8.9","W,0131","    1909.8","8","    1909.8","W","    135.2"," ,W","     13.95","W","     23.65","W","      4.25","W","        30","W","        40","W","      21.5","W","      29.5","W"
"USW00003164","2003","32.6261","-116.4681","805.0","CAMPO ASOS, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1858.1","1","    1858.1","W","","","","","","","","","","","","","","","",""
"USW00003164","2004","32.6261","-116.4681","805.0","CAMPO ASOS, CA US","       3.7","W","    359.6","","     359.6","W","        50","W","        27","W","         5","W","","","         0","W","        62","W","         0","W","       214","W","        69","W","","","   -5.6","W,0211, ","","","  67.1"," ,W,1020, ","   38.3","W,0810,+","0.0","W,1029","-2.8","W,1123","-5.0","W,1201","","","0.0","W,0420","-2.2","W,0225","-5.6","W,0211","","","","","","","","","    419.1"," ,W","     14.22","W","     23.35","W","      5.09","W","        30","W","        20","W","      21.0","W","      26.4","W"
"USW00003164","2005","32.6261","-116.4681","805.0","CAMPO ASOS, CA US","       3.5","B","    363.1","","     363.1","B","        52","B","        26","B","         1","B","","","         0","B","        49","B","         0","B","       214","B","        59","B","","","   -6.1","B,1216, ","","","  41.4"," ,B,0801, ","   40.0","B,0714,+","-0.6","B,1104","-2.8","B,1128","-5.6","B,1207","","","0.0","W,0511","-2.2","W,0420","","","","","","","    1952.2","2","    1952.2","B","    317.8"," ,B","     14.43","B","     23.29","B","      5.58","B","        40","B","        50","B","      21.9","B","      26.4","B"
"USW00003164","2008","32.6261","-116.4681","805.0","CAMPO ASOS, CA US","       3.7","W","    541.0","","     541.0","W","        37","W","        22","W","         5","W","","","         0","W","        74","W","         0","W","       223","W","        91","W","","","   -9.3","W,0215, ","","","  50.3"," ,W,1217, ","   39.4","W,0620, ","-1.6","W,1011","-2.7","W,1012","","","","","0.0","W,0504","-2.7","W,0421","-9.3","W,0215","-9.3","W,0215","-9.3","W,0215","","","","","    362.8"," ,W","     14.84","W","     24.00","W","      5.68","W","        50","W","        50","W","      20.6","W","      25.0","W"
"USW00003164","2012","32.6261","-116.4681","805.0","CAMPO ASOS, CA US","       3.5","W","    507.4","","     507.4","W","        51","W","        27","W","         0","W","        0","","         0","W","        76","W","         0","W","       238","W","        79","W","","","   -4.9","W,0120,+","     0"," ,W,1231,+","  21.6"," ,W,0413, ","   39.4","W,0810,+","-1.0","W,1102","-3.2","W,1212","","","","","0.0","W,0415","-3.8","W,0406","-4.9","W,0120","","","","","    1877.2","2","    1877.2","W","    267.2"," ,W","     14.95","W","     24.37","W","      5.54","W","        60","W","       240","W","      19.7","W","      24.1","W"
"USW00003164","2013","32.6261","-116.4681","805.0","CAMPO ASOS, CA US","       3.7","W","    491.1","","     491.1","W","        39","W","        19","W","         3","W","        0","","         0","W","        69","W","         0","W","       237","W","        69","W","         2"," ","   -6.0","W,0113,+","     0"," ,W,1231,+","  31.8"," ,W,0125, ","   41.1","W,0629, ","0.0","W,1030","-2.7","W,1212","-4.9","W,1213","","","0.0","W,0524","-5.5","W,0226","-5.5","W,0226","","","","","    1702.5","5","    1702.5","W","    228.4"," ,W","     14.77","W","     24.00","W","      5.53","W","        70","W","        20","W","      17.4","W","      24.6","W"
"USW00003164","2014","32.6261","-116.4681","805.0","CAMPO ASOS, CA US","       3.8","W","    480.4","","     480.4","W","        37","W","        23","W","         1","W","        0","","         0","W","        39","W","         0","W","       261","W","        76","W","         2"," ","   -6.6","W,1229,+","     0"," ,W,1231,+","  30.0"," ,W,1203, ","   40.6","W,0724, ","-0.5","W,1103","-3.2","W,1226","-5.5","W,1228","","","0.0","W,0406","-2.7","W,0331","-6.6","W,0202","","","","","    1509.0","0","    1509.0","W","    220.1"," ,W","     15.84","W","     25.34","W","      6.35","W","        50","W","        60","W","      24.1","W","      33.1","W"
"USW00003164","2015","32.6261","-116.4681","805.0","CAMPO ASOS, CA US","       3.7","W","    528.4","","     528.4","W","        49","W","        22","W","         2","W","","","         0","W","        54","W","         0","W","       249","W","        73","W","","","   -8.2","W,0101, ","","","  37.3"," ,W,0515, ","   40.6","W,0816, ","0.0","W,1110","-2.7","W,1111","-6.0","W,1215","-7.1","W,1228","0.0","W,0513","-2.7","W,0210","-5.5","W,0102","-8.2","W,0101","","","    1428.2","2","    1428.2","W","    241.8"," ,W","     15.57","W","     24.57","W","      6.57","W","        40","W","        60","W","      20.1","W","      25.9","W"
"USW00003164","2016","32.6261","-116.4681","805.0","CAMPO ASOS, CA US","       3.8","W","    516.0","","     516.0","W","        43","W","        24","W","         4","W","        0","","         0","W","        47","W","         0","W","       247","W","        81","W","","","   -6.0","W,0202, ","     0"," ,W,1231,+","  29.5"," ,W,0411, ","   42.2","W,0620, ","0.0","W,1101","-2.7","W,1130","","","","","-1.0","W,0522","-6.0","W,0202","-6.0","W,0202","","","","","    1606.6","6","    1606.6","W","    320.9"," ,W","     15.61","W","     24.78","W","      6.44","W","       250","W","       260","W","      19.2","W","      26.8","W"
"USW00003164","2017","32.6261","-116.4681","805.0","CAMPO ASOS, CA US","       3.7","W","    589.7","","     589.7","W","        33","W","        18","W","         4","W","","","         0","W","        41","W","         0","W","       251","W","        86","W","","","   -4.3","W,1220,+","","","  58.4"," ,W,0227, ","   41.1","W,0830,+","0.0","W,1111","-2.7","W,1204","","","","","-0.5","W,0415","-4.3","W,0225","","","","","","","    1533.4","4","    1533.4","W","    306.8"," ,W","     15.84","W","     25.05","W","      6.63","W","        50","W","        30","W","      21.5","W","      28.2","W"
"USW00003164","2018","32.6261","-116.4681","805.0","CAMPO ASOS, CA US","       3.9","W","    581.3","","     581.3","W","        40","W","        13","W","         2","W","","","         0","W","        45","W","         0","W","       257","W","        88","W","","","   -8.8","W,0224, ","","","  50.0"," ,W,0109, ","   41.1","W,0724,+","-1.6","W,1111","-2.7","W,1228","","","","","0.0","W,0514","-3.2","W,0302","-4.9","W,0226","-8.8","W,0224","","","    1425.8","8","    1425.8","W","    222.3"," ,W","     15.77","W","     24.91","W","      6.64","W","        70","W","        50","W","      17.9","W","      24.6","W"
