"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00413675","2004","32.5216","-97.8069","237.4","GRANBURY 5 N, TX US","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","",""
"USC00413675","2005","32.5216","-97.8069","237.4","GRANBURY 5 N, TX US","        70","0","        34","0","         4","0","","","         0","0","","","","","","","","","","","     0"," ,0,1231,+","  30.5"," ,0,0809, ","","","","","","","    455.7"," ,0","        0"," ,0","",""
"USC00413675","2006","32.5216","-97.8069","237.4","GRANBURY 5 N, TX US","","","","","","","","","         0","0","","","","","","","","","","","     0"," ,0,1231,+","","","","","","","","","","","        0"," ,0","",""
"USC00413675","2008","32.5216","-97.8069","237.4","GRANBURY 5 N, TX US","","","","","","","        0","","         0","0","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","        0"," ,0","",""
"USC00413675","2010","32.5216","-97.8069","237.4","GRANBURY 5 N, TX US","","","","","","","        0","","         0","0","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","        0"," ,0","",""
"USC00413675","2011","32.5216","-97.8069","237.4","GRANBURY 5 N, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","    1341.7","7","    1341.7","7","","","","","",""
"USC00413675","2020","32.5216","-97.8069","237.4","GRANBURY 5 N, TX US","        81","7","        49","7","        10","7","","","","","         0","7","       237","7","       104","7","","","","","","","  95.3"," ,7,0902, ","   42.8","7,0815, ","","","","","    948.1"," ,7","","","     25.46","7"
