"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00005060","1969","-22.3333","114.05","7.0","NAVY CHARLIE, AS","","","        14","a","         5","a","         2","a","","","","","         0","a","       362","a","       202","a","","","  42.4"," ,a,0519, ","   45.9","a,0102, ","","","","","    132.6"," ,a","","","     33.04","a","",""
"ASN00005060","1970","-22.3333","114.05","7.0","NAVY CHARLIE, AS","","","        32","a","        20","a","         6","a","         0","a","         0","a","         0","a","       357","a","       173","a","    6.7","a,0716, "," 146.1"," ,a,0202, ","   44.8","a,1214, ","      52.6","6","      52.6","a","    646.8"," ,a","     24.33","a","     32.28","a","     16.39","a"
"ASN00005060","1971","-22.3333","114.05","7.0","NAVY CHARLIE, AS","   2212.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
