"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BMM00048062","2019","20.133","92.873","8.2","SITTWE, BM","         0","S","         0","S","","","","","","","    8.0","S,0116, ","","","","","","","","","","","     19.21","S"
"BMM00048062","2020","20.133","92.873","8.2","SITTWE, BM","         0","S","         0","S","","","","","","","   10.5","S,1231,+","","","","","","","","","","","     20.51","S"
"BMM00048062","2022","20.133","92.873","8.2","SITTWE, BM","         0","S","         0","S","         0","S","       344","S","       170","S","    7.5","S,0201, ","   35.8","S,0508, ","       7.1","1","       7.1","S","     25.01","S","     31.77","S","     18.25","S"
